REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"SC","IMPDSL","CO2",2019,0.870265599612649
"SC","IMPDSL","CO2",2020,0.622599374784652
"SC","IMPDSL","CO2",2021,0.739664173602652
"SC","IMPDSL","CO2",2022,0.908352810906651
"SC","IMPDSL","CO2",2023,0.783147959405789
"SC","IMPDSL","CO2",2024,1.07976
"SC","IMPDSL","CO2",2025,1.07976
"SC","IMPDSL","CO2",2026,1.07976
"SC","IMPDSL","CO2",2027,1.07976
"SC","IMPDSL","CO2",2028,1.07976
"SC","IMPDSL","CO2",2029,1.07976
"SC","IMPDSL","CO2",2030,1.07976
"SC","IMPDSL","CO2",2031,1.07976
"SC","IMPDSL","CO2",2032,1.07976
"SC","IMPDSL","CO2",2033,1.07976
"SC","IMPDSL","CO2",2034,1.07976
"SC","IMPDSL","CO2",2035,1.07976
"SC","IMPDSL","CO2",2036,1.07976
"SC","IMPDSL","CO2",2037,1.07976
"SC","IMPDSL","CO2",2038,1.07976
"SC","IMPDSL","CO2",2039,1.07976
"SC","IMPDSL","CO2",2040,1.07976
"SC","IMPDSL","CO2",2041,1.07976
"SC","IMPDSL","CO2",2042,1.07975999999999
"SC","IMPDSL","CO2",2043,1.07976
"SC","IMPDSL","CO2",2044,1.07976
"SC","IMPDSL","CO2",2045,1.07976
"SC","IMPDSL","CO2",2046,1.07976
"SC","IMPDSL","CO2",2047,1.07976
"SC","IMPDSL","CO2",2048,1.07976
"SC","IMPDSL","CO2",2049,1.07976
"SC","IMPDSL","CO2",2050,1.07976
"STC","IMPDSL","CO2",2019,2.188885044984
"STC","IMPDSL","CO2",2020,1.61964
"STC","IMPDSL","CO2",2021,2.080767218508
"STC","IMPDSL","CO2",2022,2.707343767326
"STC","IMPDSL","CO2",2023,2.6994
"STC","IMPDSL","CO2",2024,2.42946
"STC","IMPDSL","CO2",2025,2.6994
"STC","IMPDSL","CO2",2026,2.6994
"STC","IMPDSL","CO2",2027,2.6994
"STC","IMPDSL","CO2",2028,2.6994
"STC","IMPDSL","CO2",2029,2.6994
"STC","IMPDSL","CO2",2030,2.6994
"STC","IMPDSL","CO2",2031,2.6994
"STC","IMPDSL","CO2",2032,2.6994
"STC","IMPDSL","CO2",2033,2.6994
"STC","IMPDSL","CO2",2034,2.69939999999999
"STC","IMPDSL","CO2",2035,2.69939999999999
"STC","IMPDSL","CO2",2036,2.69939999999999
"STC","IMPDSL","CO2",2037,2.69939999999999
"STC","IMPDSL","CO2",2038,2.69939999999999
"STC","IMPDSL","CO2",2039,2.69939999999999
"STC","IMPDSL","CO2",2040,2.69939999999999
"STC","IMPDSL","CO2",2041,2.69939999999999
"STC","IMPDSL","CO2",2042,2.69939999999999
"STC","IMPDSL","CO2",2043,2.69939999999999
"STC","IMPDSL","CO2",2044,2.69939999999999
"STC","IMPDSL","CO2",2045,2.69939999999999
"STC","IMPDSL","CO2",2046,2.69939999999999
"STC","IMPDSL","CO2",2047,2.69939999999999
"STC","IMPDSL","CO2",2048,2.69939999999999
"STC","IMPDSL","CO2",2049,2.69939999999999
"STC","IMPDSL","CO2",2050,2.69939999999999
"IS","IMPDSL","CO2",2019,0.40491
"IS","IMPDSL","CO2",2020,0.26994
"IS","IMPDSL","CO2",2021,0.26994
"IS","IMPDSL","CO2",2022,0.408395800866552
"IS","IMPDSL","CO2",2023,0.407647349512648
"IS","IMPDSL","CO2",2024,0.296934
"IS","IMPDSL","CO2",2025,0.296934
"IS","IMPDSL","CO2",2026,0.296934
"IS","IMPDSL","CO2",2027,0.296934
"IS","IMPDSL","CO2",2028,0.296934
"IS","IMPDSL","CO2",2029,0.296934
"IS","IMPDSL","CO2",2030,0.296934
"IS","IMPDSL","CO2",2031,0.296934
"IS","IMPDSL","CO2",2032,0.296934
"IS","IMPDSL","CO2",2033,0.296934
"IS","IMPDSL","CO2",2034,0.296934
"IS","IMPDSL","CO2",2035,0.296934
"IS","IMPDSL","CO2",2036,0.296934
"IS","IMPDSL","CO2",2037,0.296934
"IS","IMPDSL","CO2",2038,0.296934
"IS","IMPDSL","CO2",2039,0.296934
"IS","IMPDSL","CO2",2040,0.296934
"IS","IMPDSL","CO2",2041,0.296934
"IS","IMPDSL","CO2",2042,0.296934
"IS","IMPDSL","CO2",2043,0.296934
"IS","IMPDSL","CO2",2044,0.296934
"IS","IMPDSL","CO2",2045,0.296934
"FL","IMPDSL","CO2",2019,0.0161964
"FL","IMPDSL","CO2",2020,0.0115320486283347
"FL","IMPDSL","CO2",2021,0.013497
"FL","IMPDSL","CO2",2022,0.0174879508003346
"FL","IMPDSL","CO2",2023,0.0161964
"FL","IMPDSL","CO2",2024,0.0161964
"FL","IMPDSL","CO2",2025,0.013497
"FL","IMPDSL","CO2",2026,0.013497
"FL","IMPDSL","CO2",2027,0.013497
"FL","IMPDSL","CO2",2028,0.013497
"FL","IMPDSL","CO2",2029,0.013497
"FL","IMPDSL","CO2",2030,0.013497
"FL","IMPDSL","CO2",2031,0.013497
"FL","IMPDSL","CO2",2032,0.013497
"FL","IMPDSL","CO2",2033,0.013497
"FL","IMPDSL","CO2",2034,0.013497
"FL","IMPDSL","CO2",2035,0.013497
