REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","MINWND",2046,0
"SC","MINWND",2047,0
"SC","MINWND",2048,0
"SC","MINWND",2049,0
"SC","MINWND",2050,0
"SC","IMPDSL",2019,3.16934134626661
"SC","IMPDSL",2020,1.89291521404576
"SC","IMPDSL",2021,2.87004167116725
"SC","IMPDSL",2022,3.47017424704559
"SC","IMPDSL",2023,2.93728354456842
"SC","IMPDSL",2024,4.28999999999998
"SC","IMPDSL",2025,4.38767999999999
"SC","IMPDSL",2026,4.49064
"SC","IMPDSL",2027,4.61735999999999
"SC","IMPDSL",2028,4.77047999999999
"SC","IMPDSL",2029,4.91435999999999
"SC","IMPDSL",2030,5.02127999999998
"SC","IMPDSL",2031,5.2734
"SC","IMPDSL",2032,5.41331999999999
"SC","IMPDSL",2033,5.56379999999999
"SC","IMPDSL",2034,5.69711999999998
"SC","IMPDSL",2035,5.84759999999998
"SC","IMPDSL",2036,6.02183999999999
"SC","IMPDSL",2037,6.20532
"SC","IMPDSL",2038,6.37823999999999
"SC","IMPDSL",2039,6.54323999999999
"SC","IMPDSL",2040,6.74651999999999
"SC","IMPDSL",2041,6.93131999999999
"SC","IMPDSL",2042,7.09235999999995
"SC","IMPDSL",2043,7.32995999999999
"SC","IMPDSL",2044,7.58339999999997
"SC","IMPDSL",2045,7.78667999999999
"SC","IMPDSL",2046,8.02031999999999
"SC","IMPDSL",2047,8.22227999999998
"SC","IMPDSL",2048,8.39387999999998
"SC","IMPDSL",2049,8.57867999999997
"SC","IMPDSL",2050,8.75423999999999
"SC","PWRDIE",2019,0.00928489637284001
"SC","PWRDIE",2020,0.00664253611684003
"SC","PWRDIE",2021,0.00789150485284002
"SC","PWRDIE",2022,0.00969125026084003
