REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,8.0028
"SC","PWRDIE",2024,1.51013729071537
"SC","PWRDIE",2034,8.00280000000004
"SC","PWRDIE",2039,1.51013729071537
"SC","PWRDIE",2049,8.00280000000004
"SC","PWRWND",2024,9.11232
"SC","PWRWND",2049,1.32046217195808
"SC","PWRSOL",2024,3.8862
"SC","PWRSOL",2049,4.1670825
"SC","PWRSOL",2050,0.175066446989912
"SC","PWRSOLDIST",2019,7.76721553245416
"SC","PWRSOLDIST",2049,0.445271314653395
"STC","PWRDIE",2019,15.9948
"STC","PWRDIE",2022,3.08706373489023
"STC","PWRDIE",2034,15.9388108465406
"STC","PWRDIE",2037,3.08706373489026
"STC","PWRDIE",2049,15.9388108465406
"STC","PWRWND",2024,15.80418
"STC","PWRWND",2049,2.19672958396142
"STC","PWRWND",2050,0.00286271493105018
"STC","PWRSOL",2024,6.89798016
"STC","PWRSOL",2049,5.126654736
"STC","PWRSOLDIST",2019,6.68618045378645
"STC","PWRSOLDIST",2049,2.00372091594028
"IS","PWRDIE",2019,5.2698
"IS","PWRDIE",2020,0.802200000000001
"IS","PWRDIE",2034,1.36265286443239
"IS","PWRDIE",2035,0.802200000000001
"IS","PWRSOL",2024,2.19455136
"IS","PWRSOL",2030,0.0564787615966496
"IS","PWRSOL",2031,0.00671484226392039
"IS","PWRSOL",2032,0.0299279285086778
"IS","PWRSOL",2033,0.0300910829802808
"IS","PWRSOL",2034,0.030254324507169
"IS","PWRSOL",2035,0.0102587182520997
"IS","PWRSOL",2037,0.0307444319332527
"IS","PWRSOL",2038,0.030907876259397
"IS","PWRSOL",2039,0.0310709060836507
"IS","PWRSOL",2040,0.0291825650832652
"IS","PWRSOL",2042,0.0315603754340391
"IS","PWRSOL",2043,0.0317232509330128
"IS","PWRSOL",2044,0.0641712767156385
"IS","PWRSOL",2045,0.0637847027595254
"IS","PWRSOL",2046,1.81558383052199
"IS","PWRSOL",2047,0.0630115548472834
"IS","PWRSOL",2048,0.062624980891165
"IS","PWRSOL",2049,0.989656366935044
"IS","PWRSOL",2050,0.0409237415579756
"IS","PWRSOLDIST",2019,0.0101057228803944
"IS","PWRSOLDIST",2020,0.00914275032237779
"IS","PWRSOLDIST",2022,0.04563
"IS","PWRSOLDIST",2031,0.03222
"IS","PWRSOLDIST",2035,0.0281790444344591
"IS","PWRSOLDIST",2036,0.0427474483965156
"IS","PWRSOLDIST",2040,0.00286798977202314
"IS","PWRSOLDIST",2041,0.0438885404929568
"IS","PWRSOLDIST",2046,0.045356829567178
"IS","PWRSOLDIST",2049,0.00561041856463274
"IS","PWRSOLDIST",2050,0.00522442875564447
"FL","PWRDIE",2026,0.4752
"FL","PWRSOL",2024,0.000405302608692896
"FL","PWRSOL",2025,0.207094585000003
"FL","PWRSOLDIST",2019,0.00752274823465554
"FL","PWRSOLDIST",2020,0.0065966568768843
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2040,0.0153
"FL","PWRSOLDIST",2049,0.00417642229579153
"FL","PWRSOLDIST",2050,0.00376951821536246
