REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","MINSOL","SOL",2019,0.0253015309446048
"SC","MINSOL","SOL",2020,0.024175178880958
"SC","MINSOL","SOL",2021,0.0245749180519594
"SC","MINSOL","SOL",2022,0.0246884150932107
"SC","MINSOL","SOL",2023,0.0200879362360441
"SC","MINSOL","SOL",2024,0.0163091550965124
"SC","MINSOL","SOL",2025,0.019145119737007
"SC","MINSOL","SOL",2026,0.0211373702221741
"SC","MINSOL","SOL",2027,0.0217790831196817
"SC","MINSOL","SOL",2028,0.0264966568330975
"SC","MINSOL","SOL",2029,0.0279429397197325
"SC","MINSOL","SOL",2030,0.0238983615295489
"SC","MINSOL","SOL",2031,0.0295556454147614
"SC","MINSOL","SOL",2032,0.0316487771111119
"SC","MINSOL","SOL",2033,0.0342873910299016
"SC","MINSOL","SOL",2034,0.0335123035451683
"SC","MINSOL","SOL",2035,0.0320166355460916
"SC","MINSOL","SOL",2036,0.0361971597332934
"SC","MINSOL","SOL",2037,0.0345512165766398
"SC","MINSOL","SOL",2038,0.0354286851697329
"SC","MINSOL","SOL",2039,0.0315817389964017
"SC","MINSOL","SOL",2040,0.0384430383941453
"SC","MINSOL","SOL",2041,0.0361023528450376
"SC","MINSOL","SOL",2042,0.040738262098593
"SC","MINSOL","SOL",2043,0.0397499917383054
"SC","MINSOL","SOL",2044,0.0409018875042988
"SC","MINSOL","SOL",2045,0.0376347825549371
"SC","MINSOL","SOL",2046,0.038083990696579
"SC","MINSOL","SOL",2047,0.0390125025967083
"SC","MINSOL","SOL",2048,0.0388281066924086
"SC","MINSOL","SOL",2049,0.0541748461081446
"SC","MINSOL","SOL",2050,0.0555646016016698
"SC","MINWND","WND",2019,0.00913493408743749
"SC","MINWND","WND",2020,0.00987808888654128
"SC","MINWND","WND",2021,0.00560976150980957
"SC","MINWND","WND",2022,0.0103862014657476
"SC","MINWND","WND",2023,0.0158903003820424
"SC","MINWND","WND",2024,0.0218423217716901
"SC","MINWND","WND",2025,0.0200066371752124
"SC","MINWND","WND",2026,0.0234572348340878
"SC","MINWND","WND",2027,0.029006185071703
"SC","MINWND","WND",2028,0.0212329446548687
"SC","MINWND","WND",2029,0.0216457999417421
"SC","MINWND","WND",2030,0.0319097505313126
"SC","MINWND","WND",2031,0.0304654032562697
"SC","MINWND","WND",2032,0.0261800928568507
"SC","MINWND","WND",2033,0.0195371719853491
"SC","MINWND","WND",2034,0.0189494332971535
"SC","MINWND","WND",2035,0.0225051337811159
"SC","MINWND","WND",2036,0.019214753996949
