REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","MINWND",1,2019,0.0068599254927744
"SC","TM01","MINWND",1,2022,0.0068599254927744
"SC","TM01","MINWND",1,2023,0.0068599254927744
"SC","TM01","MINWND",1,2025,0.056002716665856
"SC","TM01","MINWND",1,2026,0.0205797764783232
"SC","TM01","MINWND",1,2027,0.00364337778888686
"SC","TM01","MINWND",1,2028,0.0622319490512602
"SC","TM01","MINWND",1,2029,0.0650649977250577
"SC","TM01","MINWND",1,2030,0.0679005469445279
"SC","TM01","MINWND",1,2031,0.0687523340229304
"SC","TM01","MINWND",1,2032,0.0696134139093643
"SC","TM01","MINWND",1,2033,0.0496983179204352
"SC","TM01","MINWND",1,2034,0.0512521357169427
"SC","TM01","MINWND",1,2035,0.0496983179204352
"SC","TM01","MINWND",1,2036,0.0496983179204352
"SC","TM01","MINWND",1,2037,0.0496983179204352
"SC","TM01","MINWND",1,2038,0.0104838018030118
"SC","TM01","MINWND",1,2039,0.0496983179204352
"SC","TM01","MINWND",1,2040,0.0496983179204352
"SC","TM01","MINWND",1,2041,0.0496983179204352
"SC","TM01","MINWND",1,2042,0.0496983179204352
"SC","TM01","MINWND",1,2043,0.0573798094214773
"SC","TM01","MINWND",1,2044,0.0450849119424109
"SC","TM01","MINWND",1,2045,0.0642649646974464
"SC","TM01","MINWND",1,2046,0.0574293661003008
"SC","TM01","MINWND",1,2047,0.062821019860992
"SC","TM01","MINWND",1,2048,0.0616101081199737
"SC","TM01","MINWND",1,2049,0.0149556324311958
"SC","TM01","MINWND",1,2050,0.0149556324311958
"SC","TM01","IMPDSL",1,2019,0.111045572352
"SC","TM01","IMPDSL",1,2020,0.111045572352
"SC","TM01","IMPDSL",1,2021,0.111045572352
"SC","TM01","IMPDSL",1,2022,0.111045572352
"SC","TM01","IMPDSL",1,2023,0.111045572352
"SC","TM01","IMPDSL",1,2024,0.131999995776
"SC","TM01","IMPDSL",1,2025,0.131999995776
"SC","TM01","IMPDSL",1,2026,0.131999995776
"SC","TM01","IMPDSL",1,2027,0.131999995776
"SC","TM01","IMPDSL",1,2028,0.131999995776
"SC","TM01","IMPDSL",1,2029,0.131999995776
"SC","TM01","IMPDSL",1,2030,0.131999995775999
"SC","TM01","IMPDSL",1,2031,0.131999995775999
"SC","TM01","IMPDSL",1,2032,0.131999995775999
"SC","TM01","IMPDSL",1,2033,0.131999995775999
"SC","TM01","IMPDSL",1,2034,0.131999995776
"SC","TM01","IMPDSL",1,2035,0.131999995776
"SC","TM01","IMPDSL",1,2036,0.131999995776
"SC","TM01","IMPDSL",1,2037,0.131999995776
"SC","TM01","IMPDSL",1,2038,0.131999995776
"SC","TM01","IMPDSL",1,2039,0.131999995776
"SC","TM01","IMPDSL",1,2040,0.131999995776
"SC","TM01","IMPDSL",1,2041,0.131999995776
"SC","TM01","IMPDSL",1,2042,0.131999995776
"SC","TM01","IMPDSL",1,2043,0.131999995776
"SC","TM01","IMPDSL",1,2044,0.131999995776
"SC","TM01","IMPDSL",1,2045,0.131999995776
"SC","TM01","IMPDSL",1,2046,0.131999995776
"SC","TM01","IMPDSL",1,2047,0.131999995776
"SC","TM01","IMPDSL",1,2048,0.131999995776
"SC","TM01","IMPDSL",1,2049,0.131999995776
"SC","TM01","IMPDSL",1,2050,0.131999995776
"SC","TM01","PWRDIE",1,2019,0.03365017344
"SC","TM01","PWRDIE",1,2020,0.03365017344
"SC","TM01","PWRDIE",1,2021,0.03365017344
"SC","TM01","PWRDIE",1,2022,0.03365017344
"SC","TM01","PWRDIE",1,2023,0.03365017344
"SC","TM01","PWRDIE",1,2024,0.03999999872
"SC","TM01","PWRDIE",1,2025,0.03999999872
"SC","TM01","PWRDIE",1,2026,0.03999999872
"SC","TM01","PWRDIE",1,2027,0.03999999872
"SC","TM01","PWRDIE",1,2028,0.03999999872
"SC","TM01","PWRDIE",1,2029,0.03999999872
"SC","TM01","PWRDIE",1,2030,0.0399999987199998
"SC","TM01","PWRDIE",1,2031,0.0399999987199998
"SC","TM01","PWRDIE",1,2032,0.0399999987199998
"SC","TM01","PWRDIE",1,2033,0.0399999987199998
"SC","TM01","PWRDIE",1,2034,0.03999999872
"SC","TM01","PWRDIE",1,2035,0.03999999872
"SC","TM01","PWRDIE",1,2036,0.03999999872
"SC","TM01","PWRDIE",1,2037,0.03999999872
"SC","TM01","PWRDIE",1,2038,0.03999999872
"SC","TM01","PWRDIE",1,2039,0.03999999872
"SC","TM01","PWRDIE",1,2040,0.03999999872
"SC","TM01","PWRDIE",1,2041,0.03999999872
"SC","TM01","PWRDIE",1,2042,0.03999999872
"SC","TM01","PWRDIE",1,2043,0.03999999872
"SC","TM01","PWRDIE",1,2044,0.03999999872
"SC","TM01","PWRDIE",1,2045,0.03999999872
"SC","TM01","PWRDIE",1,2046,0.03999999872
"SC","TM01","PWRDIE",1,2047,0.03999999872
"SC","TM01","PWRDIE",1,2048,0.03999999872
"SC","TM01","PWRDIE",1,2049,0.03999999872
"SC","TM01","PWRDIE",1,2050,0.03999999872
"SC","TM01","PWRWND",1,2019,0.0068599254927744
"SC","TM01","PWRWND",1,2022,0.0068599254927744
"SC","TM01","PWRWND",1,2023,0.0068599254927744
"SC","TM01","PWRWND",1,2025,0.0205797764783232
"SC","TM01","PWRWND",1,2026,0.0205797764783232
"SC","TM01","PWRWND",1,2027,0.00364337778888686
"SC","TM01","PWRWND",1,2028,0.0205797764783232
"SC","TM01","PWRWND",1,2029,0.0205797764783232
"SC","TM01","PWRWND",1,2030,0.0205797764783232
"SC","TM01","PWRWND",1,2031,0.0205797764783232
"SC","TM01","PWRWND",1,2032,0.0205797764783232
"SC","TM01","PWRWND",1,2033,0.0137198509855488
"SC","TM01","PWRWND",1,2034,0.0137198509855488
"SC","TM01","PWRWND",1,2035,0.0137198509855488
"SC","TM01","PWRWND",1,2036,0.0137198509855488
"SC","TM01","PWRWND",1,2037,0.0137198509855488
"SC","TM01","PWRWND",1,2038,0.0104838018030118
"SC","TM01","PWRWND",1,2039,0.0137198509855488
"SC","TM01","PWRWND",1,2040,0.0137198509855488
"SC","TM01","PWRWND",1,2041,0.0137198509855488
"SC","TM01","PWRWND",1,2042,0.0137198509855488
"SC","TM01","PWRWND",1,2043,0.0137198509855488
"SC","TM01","PWRWND",1,2044,0.0137198509855488
"SC","TM01","PWRWND",1,2045,0.0137198509855488
"SC","TM01","PWRWND",1,2046,0.0137198509855488
