REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2039,0.493748181958958
"SC","PWRDIE",2049,7.47385548248409
"SC","PWRWND",2049,1.29226640711189
"SC","PWRSOL",2024,1.02519273312665
"SC","PWRSOL",2049,4.11388376908592
"SC","PWRSOL",2050,0.174002174597953
"SC","PWRSOLDIST",2049,0.43958679344413
"STC","PWRDIE",2037,0.368970844289145
"STC","PWRDIE",2049,14.8853362360291
"STC","PWRWND",2049,2.14982292347891
"STC","PWRWND",2050,0.00283360663897181
"STC","PWRSOL",2024,1.8197105484236
"STC","PWRSOL",2049,5.06120570162406
"STC","PWRSOLDIST",2049,1.97814057049858
"IS","PWRSOL",2024,0.578930087680819
"IS","PWRSOL",2030,0.0345036050011755
"IS","PWRSOL",2031,0.00437680844982381
"IS","PWRSOL",2032,0.0206200790410705
"IS","PWRSOL",2033,0.021749573178247
"IS","PWRSOL",2034,0.0227971988498514
"IS","PWRSOL",2035,0.00801670274368785
"IS","PWRSOL",2037,0.0255158226644486
"IS","PWRSOL",2038,0.0263001407313829
"IS","PWRSOL",2039,0.0270316768050655
"IS","PWRSOL",2040,0.0258949867263768
"IS","PWRSOL",2042,0.0289549714049328
"IS","PWRSOL",2043,0.0295177996837334
"IS","PWRSOL",2044,0.0604702068193717
"IS","PWRSOL",2045,0.0607928743489011
"IS","PWRSOL",2046,1.74819949240117
"IS","PWRSOL",2047,0.0612337599993856
"IS","PWRSOL",2048,0.0613648215044508
"IS","PWRSOL",2049,0.977021996782308
"IS","PWRSOL",2050,0.0406749559736181
"IS","PWRSOLDIST",2022,0.00440036008887972
"IS","PWRSOLDIST",2031,0.0210013523342229
"IS","PWRSOLDIST",2035,0.0220205894421551
"IS","PWRSOLDIST",2036,0.0344906588825332
"IS","PWRSOLDIST",2040,0.00254489476391203
"IS","PWRSOLDIST",2041,0.0396362868637932
"IS","PWRSOLDIST",2046,0.0436734372124641
"IS","PWRSOLDIST",2049,0.00553879359739601
"IS","PWRSOLDIST",2050,0.00519266815626071
"FL","PWRSOL",2024,0.000106920202035209
"FL","PWRSOL",2025,0.069636992190434
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2040,0.0135763698558755
"FL","PWRSOLDIST",2049,0.00412310432910923
"FL","PWRSOLDIST",2050,0.00374660237833845
