REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.0253015309446048
"SC","MINSOL",2020,0.024175178880958
"SC","MINSOL",2021,0.0245749180519594
"SC","MINSOL",2022,0.0246884150932107
"SC","MINSOL",2023,0.0200879362360441
"SC","MINSOL",2024,0.0163091550965124
"SC","MINSOL",2025,0.019145119737007
"SC","MINSOL",2026,0.0211373702221741
"SC","MINSOL",2027,0.0217790831196817
"SC","MINSOL",2028,0.0264966568330975
"SC","MINSOL",2029,0.0279429397197325
"SC","MINSOL",2030,0.0238983615295489
"SC","MINSOL",2031,0.0295556454147614
"SC","MINSOL",2032,0.0316487771111119
"SC","MINSOL",2033,0.0342873910299016
"SC","MINSOL",2034,0.0335123035451683
"SC","MINSOL",2035,0.0320166355460916
"SC","MINSOL",2036,0.0361971597332934
"SC","MINSOL",2037,0.0345512165766398
"SC","MINSOL",2038,0.0354286851697329
"SC","MINSOL",2039,0.0315817389964017
"SC","MINSOL",2040,0.0384430383941453
"SC","MINSOL",2041,0.0361023528450376
"SC","MINSOL",2042,0.040738262098593
"SC","MINSOL",2043,0.0397499917383054
"SC","MINSOL",2044,0.0409018875042988
"SC","MINSOL",2045,0.0376347825549371
"SC","MINSOL",2046,0.038083990696579
"SC","MINSOL",2047,0.0390125025967083
"SC","MINSOL",2048,0.0388281066924086
"SC","MINSOL",2049,0.0541748461081446
"SC","MINSOL",2050,0.0555646016016698
"SC","MINWND",2019,0.00913493408743749
"SC","MINWND",2020,0.00987808888654128
"SC","MINWND",2021,0.00560976150980957
"SC","MINWND",2022,0.0103862014657476
"SC","MINWND",2023,0.0158903003820424
"SC","MINWND",2024,0.0218423217716901
"SC","MINWND",2025,0.0200066371752124
"SC","MINWND",2026,0.0234572348340878
"SC","MINWND",2027,0.029006185071703
"SC","MINWND",2028,0.0212329446548687
"SC","MINWND",2029,0.0216457999417421
"SC","MINWND",2030,0.0319097505313126
"SC","MINWND",2031,0.0304654032562697
"SC","MINWND",2032,0.0261800928568507
"SC","MINWND",2033,0.0195371719853491
"SC","MINWND",2034,0.0189494332971535
"SC","MINWND",2035,0.0225051337811159
"SC","MINWND",2036,0.019214753996949
"SC","MINWND",2037,0.0210715185967286
"SC","MINWND",2038,0.0216947008160849
"SC","MINWND",2039,0.0252393543731694
"SC","MINWND",2040,0.0193209645664557
"SC","MINWND",2041,0.0221152266824783
"SC","MINWND",2042,0.0175828736154811
"SC","MINWND",2043,0.0198936446444991
"SC","MINWND",2044,0.018189173698763
"SC","MINWND",2045,0.0263124396217372
"SC","MINWND",2046,0.0259356088452789
"SC","MINWND",2047,0.0272342476853824
"SC","MINWND",2048,0.0276511994566493
"SC","MINWND",2049,0.00931528836885126
"SC","MINWND",2050,0.00914767858705956
"SC","IMPDSL",2019,0.106389437605459
"SC","IMPDSL",2020,0.0761123930054586
"SC","IMPDSL",2021,0.0904234931054587
"SC","IMPDSL",2022,0.111045575905459
"SC","IMPDSL",2023,0.0957393593405611
"SC","IMPDSL",2024,0.132
"SC","IMPDSL",2025,0.132
"SC","IMPDSL",2026,0.132
"SC","IMPDSL",2027,0.132
"SC","IMPDSL",2028,0.132
"SC","IMPDSL",2029,0.132
"SC","IMPDSL",2030,0.132
"SC","IMPDSL",2031,0.132
"SC","IMPDSL",2032,0.132
"SC","IMPDSL",2033,0.132
"SC","IMPDSL",2034,0.132
"SC","IMPDSL",2035,0.132
"SC","IMPDSL",2036,0.132
"SC","IMPDSL",2037,0.132
"SC","IMPDSL",2038,0.132
"SC","IMPDSL",2039,0.132
"SC","IMPDSL",2040,0.132
"SC","IMPDSL",2041,0.132
"SC","IMPDSL",2042,0.131999999999999
"SC","IMPDSL",2043,0.132
"SC","IMPDSL",2044,0.132
"SC","IMPDSL",2045,0.132
"SC","IMPDSL",2046,0.132
"SC","IMPDSL",2047,0.132
"SC","IMPDSL",2048,0.132
"SC","IMPDSL",2049,0.132
"SC","IMPDSL",2050,0.132
"SC","PWRDIE",2019,0.0322392235168057
"SC","PWRDIE",2020,0.0230643615168057
"SC","PWRDIE",2021,0.0274010585168057
"SC","PWRDIE",2022,0.0336501745168057
"SC","PWRDIE",2023,0.0290119270728973
"SC","PWRDIE",2024,0.04
"SC","PWRDIE",2025,0.04
"SC","PWRDIE",2026,0.04
"SC","PWRDIE",2027,0.04
"SC","PWRDIE",2028,0.04
"SC","PWRDIE",2029,0.04
"SC","PWRDIE",2030,0.0399999999999999
"SC","PWRDIE",2031,0.04
"SC","PWRDIE",2032,0.0399999999999999
"SC","PWRDIE",2033,0.04
"SC","PWRDIE",2034,0.04
"SC","PWRDIE",2035,0.04
"SC","PWRDIE",2036,0.04
"SC","PWRDIE",2037,0.04
"SC","PWRDIE",2038,0.04
"SC","PWRDIE",2039,0.04
"SC","PWRDIE",2040,0.04
"SC","PWRDIE",2041,0.04
"SC","PWRDIE",2042,0.04
"SC","PWRDIE",2043,0.04
"SC","PWRDIE",2044,0.04
"SC","PWRDIE",2045,0.04
"SC","PWRDIE",2046,0.04
"SC","PWRDIE",2047,0.04
"SC","PWRDIE",2048,0.04
"SC","PWRDIE",2049,0.04
"SC","PWRDIE",2050,0.04
"SC","PWRWND",2019,0.008249
"SC","PWRWND",2020,0.007759
"SC","PWRWND",2021,0.005322
"SC","PWRWND",2022,0.009748
"SC","PWRWND",2023,0.0155717914439085
"SC","PWRWND",2024,0.0119482224350927
"SC","PWRWND",2025,0.0111292400117225
"SC","PWRWND",2026,0.0121581657410545
"SC","PWRWND",2027,0.0133498533375803
"SC","PWRWND",2028,0.0120840313450319
"SC","PWRWND",2029,0.0119551809977732
"SC","PWRWND",2030,0.0195869360428893
"SC","PWRWND",2031,0.0149129436047927
"SC","PWRWND",2032,0.0137567394203099
"SC","PWRWND",2033,0.0117789659607457
"SC","PWRWND",2034,0.0128805909011063
"SC","PWRWND",2035,0.0149595742329426
"SC","PWRWND",2036,0.0118256022573541
"SC","PWRWND",2037,0.0141379844140077
"SC","PWRWND",2038,0.0139250172752122
"SC","PWRWND",2039,0.0170352072912016
"SC","PWRWND",2040,0.0122472519260973
"SC","PWRWND",2041,0.0153574146187171
"SC","PWRWND",2042,0.0113829335105308
"SC","PWRWND",2043,0.0130771164246296
"SC","PWRWND",2044,0.0131175951048246
"SC","PWRWND",2045,0.0175715760541867
"SC","PWRWND",2046,0.0183037454663561
"SC","PWRWND",2047,0.0185914046192187
"SC","PWRWND",2048,0.0201719361385424
"SC","PWRWND",2049,0.00724768122807634
"SC","PWRWND",2050,0.00724768122807634
"SC","PWRSOL",2019,8.13548926415752e-05
