REGION,TECHNOLOGY,VALUE
"SC","MINSOL",1.03355058141846
"SC","MINWND",0.647556069044501
"SC","IMPDSL",4.04371025896226
"SC","PWRDIE",1.22536674514011
"SC","PWRWND",0.418390383031982
"SC","PWRSOL",0.398555023622989
"SC","BAT",0.657994110182787
"SC","DEMRESELC",0.889354961668065
"SC","DEMCOMELC",1.64492393893477
"SC","PWRSOLDIST",0.491966739204915
"SC","IMPLPG",0.001157
"SC","CONLPG",0.001157
"STC","MINSOL",1.76087768822295
"STC","MINWND",1.32279456285034
"STC","IMPDSL",10.2579335001003
"STC","PWRDIE",3.10846469700002
"STC","PWRWND",0.706044696973214
"STC","PWRSOL",0.795691211658345
"STC","BAT",1.62384819186893
"STC","DEMRESELC",2.00956740400957
"STC","DEMCOMELC",2.98268863998269
"STC","PWRDIST",5.39043451272571
"STC","PWRSOLDIST",0.382055435368432
"STC","IMPLPG",0.002498
"STC","CONLPG",0.002498
"IS","MINSOL",0.67143413123901
"IS","IMPDSL",1.01386077632998
"IS","PWRDIE",0.307230538281812
"IS","PWRSOL",0.512460961516157
"IS","BAT",0.309920709273372
"IS","DEMRESELC",0.296235664407529
"IS","DEMCOMELC",0.538470141923059
"IS","PWRDIST",0.869399789490165
"IS","PWRSOLDIST",0.015014316202032
"IS","IMPLPG",0.000387999999999998
"IS","CONLPG",0.000387999999999998
"FL","MINSOL",0.0262541344832187
"FL","IMPDSL",0.0292876771917687
"FL","PWRDIE",0.00887505369447536
"FL","PWRSOL",0.0179170089839808
"FL","BAT",0.000798552504965404
"FL","DEMCOMELC",0.000770602711989043
"FL","PWRDIST",0.000773206108869523
"FL","PWRSOLDIST",0.00282700532154377
"FL","IMPLPG",1.927e-05
"FL","CONLPG",1.927e-05
