REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","MINWND",2046,0
"SC","MINWND",2047,0
"SC","MINWND",2048,0
"SC","MINWND",2049,0
"SC","MINWND",2050,0
"SC","IMPDSL",2019,1.310305321685
"SC","IMPDSL",2020,1.069905587561
"SC","IMPDSL",2021,1.72164201425696
"SC","IMPDSL",2022,2.14478044782213
"SC","IMPDSL",2023,1.95130987044182
"SC","IMPDSL",2024,1.66848
"SC","IMPDSL",2025,1.66848
"SC","IMPDSL",2026,1.66848
"SC","IMPDSL",2027,1.66848
"SC","IMPDSL",2028,1.66848
"SC","IMPDSL",2029,1.85724
"SC","IMPDSL",2030,1.89684
"SC","IMPDSL",2031,1.99188
"SC","IMPDSL",2032,2.04468
"SC","IMPDSL",2033,2.10144
"SC","IMPDSL",2034,2.15159999999999
"SC","IMPDSL",2035,2.20836
"SC","IMPDSL",2036,2.27436
"SC","IMPDSL",2037,2.34432
"SC","IMPDSL",2038,2.40899999999999
"SC","IMPDSL",2039,2.47235999999999
"SC","IMPDSL",2040,2.54892
"SC","IMPDSL",2041,2.61888
"SC","IMPDSL",2042,2.6796
"SC","IMPDSL",2043,2.76935999999999
"SC","IMPDSL",2044,2.8644
"SC","IMPDSL",2045,2.94228
"SC","IMPDSL",2046,3.03071999999999
"SC","IMPDSL",2047,3.10595999999999
"SC","IMPDSL",2048,3.17063999999999
"SC","IMPDSL",2049,3.2406
"SC","IMPDSL",2050,3.30659999999999
"SC","PWRDIE",2019,0.0144022567989192
"SC","PWRDIE",2020,0.0117598965429192
"SC","PWRDIE",2021,0.0130088652789192
"SC","PWRDIE",2022,0.0148086106869192
"SC","PWRDIE",2023,0.0134727954230736
"SC","PWRDIE",2024,0.01152
"SC","PWRDIE",2025,0.01152
