REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,11.8930352233418
"SC","PWRDIE",2022,0.335557209581812
"SC","PWRDIE",2034,9.17738008113356
"SC","PWRDIE",2037,0.335557209581785
"SC","PWRDIE",2049,9.17738008113356
"SC","PWRWND",2024,9.11232
"SC","PWRWND",2049,1.32046217195811
"SC","PWRSOL",2024,3.8862
"SC","PWRSOL",2046,0.093592879056576
"SC","PWRSOL",2047,0.178348942870882
"SC","PWRSOL",2048,0.177254777577211
"SC","PWRSOL",2049,3.72288046123718
"SC","PWRSOL",2050,0.175066446989799
"SC","PWRSOLDIST",2019,0.641633198755203
"SC","PWRSOLDIST",2046,0.0907136591343562
"SC","PWRSOLDIST",2049,0.356217051722716
"STC","PWRDIE",2019,18.4574337677521
"STC","PWRDIE",2022,3.65419375673398
"STC","PWRDIE",2034,15.3716808246968
"STC","PWRDIE",2037,3.65419375673398
"STC","PWRDIE",2049,15.3716808246968
"STC","PWRWND",2024,15.80418
"STC","PWRWND",2049,2.19672958396142
"STC","PWRWND",2050,0.00286271493106806
"STC","PWRSOL",2024,6.89798016
"STC","PWRSOL",2049,5.126654736
"STC","PWRSOLDIST",2019,0.30015
"STC","PWRSOLDIST",2031,0.09666
"STC","PWRSOLDIST",2036,0.09396
"STC","PWRSOLDIST",2041,0.811056493422729
"STC","PWRSOLDIST",2046,0.907136591343561
"STC","PWRSOLDIST",2049,0.166635000000001
"IS","PWRDIE",2019,5.2698
"IS","PWRDIE",2020,0.802200000000001
"IS","PWRDIE",2034,1.36265286443239
"IS","PWRDIE",2035,0.8022
"IS","PWRSOL",2024,2.19455136
"IS","PWRSOL",2030,0.0564787615966486
"IS","PWRSOL",2031,0.00671484226391939
"IS","PWRSOL",2032,0.029927928508683
"IS","PWRSOL",2033,0.0300910829802779
"IS","PWRSOL",2034,0.030254324507169
"IS","PWRSOL",2035,0.0102587182520993
"IS","PWRSOL",2037,0.0307444319332545
"IS","PWRSOL",2038,0.0309078762593957
"IS","PWRSOL",2039,0.0310709060836516
"IS","PWRSOL",2040,0.0291825650832655
"IS","PWRSOL",2042,0.0315603754340455
"IS","PWRSOL",2043,0.0317232509330052
"IS","PWRSOL",2044,0.0641712767156383
"IS","PWRSOL",2045,0.0637847027595185
"IS","PWRSOL",2046,1.81558383052199
"IS","PWRSOL",2047,0.0630115548472824
"IS","PWRSOL",2048,0.0626249808911639
"IS","PWRSOL",2049,0.989656366935048
"IS","PWRSOL",2050,0.0409237415579745
"IS","PWRSOLDIST",2019,0.0101057228803944
"IS","PWRSOLDIST",2020,0.00914275032237778
"IS","PWRSOLDIST",2026,0.03861
"IS","PWRSOLDIST",2031,0.03222
"IS","PWRSOLDIST",2035,0.0281790444344589
"IS","PWRSOLDIST",2036,0.0427474483965157
"IS","PWRSOLDIST",2040,0.00286798977202242
"IS","PWRSOLDIST",2041,0.0438885404929574
"IS","PWRSOLDIST",2046,0.0453568295671781
"IS","PWRSOLDIST",2049,0.00561041856463281
"IS","PWRSOLDIST",2050,0.0052244287556444
"FL","PWRDIE",2026,0.4752
"FL","PWRSOL",2024,0.000405302608692936
"FL","PWRSOL",2025,0.207094585000003
"FL","PWRSOLDIST",2019,0.00144367469719921
"FL","PWRSOLDIST",2020,0.0124661071889111
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2040,0.0153
"FL","PWRSOLDIST",2049,0.000801488366376113
"FL","PWRSOLDIST",2050,0.00712348982223492
