REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2037,0.00189953413905947
"SC","PWRDIE",2049,0.405934091139959
"SC","PWRWND",2049,0.0612048911332913
"SC","PWRSOL",2024,0.0485556300746764
"SC","PWRSOL",2046,0.00426826686958396
"SC","PWRSOL",2047,0.00820871818135275
"SC","PWRSOL",2048,0.00822628768810128
"SC","PWRSOL",2049,0.174073669767055
"SC","PWRSOL",2050,0.00824116768385084
"SC","PWRSOLDIST",2046,0.00413696116419126
"SC","PWRSOLDIST",2049,0.0166559227653438
"STC","PWRDIE",2037,0.0206857894673319
"STC","PWRDIE",2049,0.679920547008238
"STC","PWRWND",2049,0.101820860825011
"STC","PWRWND",2050,0.000134206526533119
"STC","PWRSOL",2024,0.0861859330223399
"STC","PWRSOL",2049,0.239711055140246
"STC","PWRSOLDIST",2031,0.00298402591646882
"STC","PWRSOLDIST",2036,0.00359061116669531
"STC","PWRSOLDIST",2041,0.0346918136463252
"STC","PWRSOLDIST",2046,0.0413696116419125
"STC","PWRSOLDIST",2049,0.00779148464842028
"IS","PWRSOL",2024,0.0274195419731455
"IS","PWRSOL",2030,0.00163417494734899
"IS","PWRSOL",2031,0.000207296330855944
"IS","PWRSOL",2032,0.000976617271735281
"IS","PWRSOL",2033,0.00103011287087859
"IS","PWRSOL",2034,0.00107973097967276
"IS","PWRSOL",2035,0.000379690608666311
"IS","PWRSOL",2037,0.001208491638999
"IS","PWRSOL",2038,0.0012456388569691
"IS","PWRSOL",2039,0.00128028619091164
"IS","PWRSOL",2040,0.00122644977441456
"IS","PWRSOL",2042,0.00137137811743283
"IS","PWRSOL",2043,0.00139803503843639
"IS","PWRSOL",2044,0.00286401658730628
"IS","PWRSOL",2045,0.00287929890905358
"IS","PWRSOL",2046,0.0827989948688823
"IS","PWRSOL",2047,0.00290018032955013
"IS","PWRSOL",2048,0.0029063877223177
"IS","PWRSOL",2049,0.0462741464289361
"IS","PWRSOL",2050,0.00192646519209643
"IS","PWRSOLDIST",2026,0.000735349270841449
"IS","PWRSOLDIST",2031,0.000994675305489605
"IS","PWRSOLDIST",2035,0.0010429488626189
"IS","PWRSOLDIST",2036,0.00163356178757195
"IS","PWRSOLDIST",2040,0.000120532427457421
"IS","PWRSOLDIST",2041,0.00187727128792901
"IS","PWRSOLDIST",2046,0.00206848058209563
"IS","PWRSOLDIST",2049,0.000262330783554166
"IS","PWRSOLDIST",2050,0.000245937437858132
"FL","PWRSOL",2024,5.0640017333116e-06
"FL","PWRSOL",2025,0.00329817791626323
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2040,0.000643010012827941
"FL","PWRSOLDIST",2049,3.74758262220235e-05
"FL","PWRSOLDIST",2050,0.000335334812173709
