REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00526441312851406
"SC","MINSOL",2020,0.00526441312851406
"SC","MINSOL",2021,0.00526441312851406
"SC","MINSOL",2022,0.00526441312851406
"SC","MINSOL",2023,0.00526441312851406
"SC","MINSOL",2024,0.0586610018385942
"SC","MINSOL",2025,0.0599848162603756
"SC","MINSOL",2026,0.0563543500054543
"SC","MINSOL",2027,0.0602598796089588
"SC","MINSOL",2028,0.058794375519883
"SC","MINSOL",2029,0.0567601792191143
"SC","MINSOL",2030,0.0599848162603756
"SC","MINSOL",2031,0.058794375519883
"SC","MINSOL",2032,0.058794375519883
"SC","MINSOL",2033,0.0602598796089588
"SC","MINSOL",2034,0.0567601792191143
"SC","MINSOL",2035,0.0567601792191143
"SC","MINSOL",2036,0.0584683201397692
"SC","MINSOL",2037,0.0602598796089588
"SC","MINSOL",2038,0.0602598796089588
"SC","MINSOL",2039,0.0602598796089588
"SC","MINSOL",2040,0.0602598796089588
"SC","MINSOL",2041,0.057349271917654
"SC","MINSOL",2042,0.060005153038878
"SC","MINSOL",2043,0.0585458438315788
"SC","MINSOL",2044,0.060005153038878
"SC","MINSOL",2045,0.060005153038878
"SC","MINSOL",2046,0.0631958342773537
"SC","MINSOL",2047,0.0669120072421828
"SC","MINSOL",2048,0.0706281802070123
"SC","MINSOL",2049,0.14916371401337
"SC","MINSOL",2050,0.152879886978199
"SC","MINWND",2019,0.0235954117763712
"SC","MINWND",2020,0.0321324823487232
"SC","MINWND",2021,0.0236177085356928
"SC","MINWND",2022,0.0248167102325568
"SC","MINWND",2023,0.0321324823487232
"SC","MINWND",2024,0.0531786930726554
"SC","MINWND",2025,0.0556565063341824
"SC","MINWND",2026,0.0556565063341824
"SC","MINWND",2027,0.0584938008881594
"SC","MINWND",2028,0.0642558319979904
"SC","MINWND",2029,0.056002716665856
"SC","MINWND",2030,0.0745474768806528
"SC","MINWND",2031,0.069132219634944
"SC","MINWND",2032,0.0585912440323391
"SC","MINWND",2033,0.0471908235527424
"SC","MINWND",2034,0.0496983179204352
"SC","MINWND",2035,0.0496983179204352
"SC","MINWND",2036,0.0496983179204352
"SC","MINWND",2037,0.0496983179204352
"SC","MINWND",2038,0.0499295294706997
"SC","MINWND",2039,0.0519020328144798
"SC","MINWND",2040,0.0496983179204352
"SC","MINWND",2041,0.052895067421724
"SC","MINWND",2042,0.0496983179204352
"SC","MINWND",2043,0.0642649646974464
"SC","MINWND",2044,0.0642649646974464
"SC","MINWND",2045,0.0642649646974464
"SC","MINWND",2046,0.0642649646974464
"SC","MINWND",2047,0.0642649646974464
"SC","MINWND",2048,0.0642649646974464
"SC","MINWND",2049,0.0149556324311962
"SC","MINWND",2050,0.0149556324311962
"SC","IMPDSL",2019,0.165025853873455
"SC","IMPDSL",2020,0.165025853873455
"SC","IMPDSL",2021,0.165025853873455
"SC","IMPDSL",2022,0.169681992024459
"SC","IMPDSL",2023,0.16614975691878
"SC","IMPDSL",2024,0.159571792168734
"SC","IMPDSL",2025,0.160698686115037
"SC","IMPDSL",2026,0.16895999459328
"SC","IMPDSL",2027,0.16751897914071
"SC","IMPDSL",2028,0.16895999459328
"SC","IMPDSL",2029,0.169681992024459
"SC","IMPDSL",2030,0.169681992024459
"SC","IMPDSL",2031,0.169681992024459
"SC","IMPDSL",2032,0.168905025844188
"SC","IMPDSL",2033,0.169184016424299
"SC","IMPDSL",2034,0.131999995776
"SC","IMPDSL",2035,0.131999995776
"SC","IMPDSL",2036,0.131999995775994
"SC","IMPDSL",2037,0.131999995776
"SC","IMPDSL",2038,0.131999995776
"SC","IMPDSL",2039,0.131999995776
"SC","IMPDSL",2040,0.131999995776
"SC","IMPDSL",2041,0.131999995776
"SC","IMPDSL",2042,0.131999995775999
"SC","IMPDSL",2043,0.131999995776
"SC","IMPDSL",2044,0.131999995776
"SC","IMPDSL",2045,0.131999995776
"SC","IMPDSL",2046,0.131999995776
"SC","IMPDSL",2047,0.131999995776
"SC","IMPDSL",2048,0.131999995776
"SC","IMPDSL",2049,0.131999995776
"SC","IMPDSL",2050,0.131999995776
"SC","PWRDIE",2019,0.00991086268611817
"SC","PWRDIE",2022,0.000279631007984843
"SC","PWRDIE",2034,0.00764781673427797
"SC","PWRDIE",2037,0.000279631007984821
"SC","PWRDIE",2049,0.00764781673427797
"SC","PWRWND",2024,0.0048
"SC","PWRWND",2049,0.00111704777257264
"SC","PWRSOL",2024,0.00269875
"SC","PWRSOL",2046,9.51147144883903e-05
"SC","PWRSOL",2047,0.000182360882281066
"SC","PWRSOL",2048,0.000182360882281081
"SC","PWRSOL",2049,0.00385391352094946
"SC","PWRSOL",2050,0.00018236088228104
