REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","MINSOL","SOL",2019,0.00218719403422092
"SC","MINSOL","SOL",2020,0.00208845254725169
"SC","MINSOL","SOL",2021,0.00216350138123436
"SC","MINSOL","SOL",2022,0.00220963047615104
"SC","MINSOL","SOL",2023,0.00174421668419898
"SC","MINSOL","SOL",2024,0.0134307512515744
"SC","MINSOL","SOL",2025,0.0150227143819788
"SC","MINSOL","SOL",2026,0.0170036964663538
"SC","MINSOL","SOL",2027,0.0187506583619832
"SC","MINSOL","SOL",2028,0.0185958891116507
"SC","MINSOL","SOL",2029,0.0155260929772231
"SC","MINSOL","SOL",2030,0.018586371360467
"SC","MINSOL","SOL",2031,0.0171625098828115
"SC","MINSOL","SOL",2032,0.0182494812776737
"SC","MINSOL","SOL",2033,0.0218982171323043
"SC","MINSOL","SOL",2034,0.0199432494179603
"SC","MINSOL","SOL",2035,0.0196079409048722
"SC","MINSOL","SOL",2036,0.0217711776797874
"SC","MINSOL","SOL",2037,0.0219083730072249
"SC","MINSOL","SOL",2038,0.0215990816830521
"SC","MINSOL","SOL",2039,0.021911238250531
"SC","MINSOL","SOL",2040,0.0217007902978425
"SC","MINSOL","SOL",2041,0.0214351269502379
"SC","MINSOL","SOL",2042,0.0218090324931224
"SC","MINSOL","SOL",2043,0.0216143293648416
"SC","MINSOL","SOL",2044,0.0217904493018224
"SC","MINSOL","SOL",2045,0.0218122668633709
"SC","MINSOL","SOL",2046,0.0229491227530881
"SC","MINSOL","SOL",2047,0.0242986248289256
"SC","MINSOL","SOL",2048,0.0256693774164671
"SC","MINSOL","SOL",2049,0.0542210411046099
"SC","MINSOL","SOL",2050,0.0555172557314934
"SC","MINWND","WND",2019,0.00941144151550185
"SC","MINWND","WND",2020,0.0114875781338268
"SC","MINWND","WND",2021,0.00715139341430195
"SC","MINWND","WND",2022,0.0105555239173841
"SC","MINWND","WND",2023,0.0158903003820424
"SC","MINWND","WND",2024,0.0204786289355807
"SC","MINWND","WND",2025,0.0246422536980945
"SC","MINWND","WND",2026,0.0231204330938606
"SC","MINWND","WND",2027,0.030400365309797
"SC","MINWND","WND",2028,0.0316404439988096
"SC","MINWND","WND",2029,0.0303108670708294
"SC","MINWND","WND",2030,0.0342110129951879
"SC","MINWND","WND",2031,0.0371675704987681
"SC","MINWND","WND",2032,0.0319517487201364
"SC","MINWND","WND",2033,0.0273924680144974
"SC","MINWND","WND",2034,0.0329172801982335
"SC","MINWND","WND",2035,0.0326837525076628
"SC","MINWND","WND",2036,0.030235721178683
"SC","MINWND","WND",2037,0.0322848045000568
"SC","MINWND","WND",2038,0.0314179081056287
"SC","MINWND","WND",2039,0.0332159392713706
"SC","MINWND","WND",2040,0.0341922697292551
"SC","MINWND","WND",2041,0.0346973913260869
"SC","MINWND","WND",2042,0.033765077298111
"SC","MINWND","WND",2043,0.0363290164475912
"SC","MINWND","WND",2044,0.0375033843955333
"SC","MINWND","WND",2045,0.0391034890214424
"SC","MINWND","WND",2046,0.0389292967589982
"SC","MINWND","WND",2047,0.0392294870412139
"SC","MINWND","WND",2048,0.0389834509050056
"SC","MINWND","WND",2049,0.00919037124390365
"SC","MINWND","WND",2050,0.00946640286998889
"SC","IMPDSL","DSL",2019,0.165025859154283
"SC","IMPDSL","DSL",2020,0.134748814554283
"SC","IMPDSL","DSL",2021,0.149059914654283
"SC","IMPDSL","DSL",2022,0.169681997454283
"SC","IMPDSL","DSL",2023,0.154375780889385
"SC","IMPDSL","DSL",2024,0.132
"SC","IMPDSL","DSL",2025,0.132
"SC","IMPDSL","DSL",2026,0.132
"SC","IMPDSL","DSL",2027,0.132
"SC","IMPDSL","DSL",2028,0.132
"SC","IMPDSL","DSL",2029,0.132
"SC","IMPDSL","DSL",2030,0.132
"SC","IMPDSL","DSL",2031,0.132
"SC","IMPDSL","DSL",2032,0.132
"SC","IMPDSL","DSL",2033,0.132
"SC","IMPDSL","DSL",2034,0.132
"SC","IMPDSL","DSL",2035,0.132
"SC","IMPDSL","DSL",2036,0.132
"SC","IMPDSL","DSL",2037,0.132
"SC","IMPDSL","DSL",2038,0.132
"SC","IMPDSL","DSL",2039,0.132
"SC","IMPDSL","DSL",2040,0.132
"SC","IMPDSL","DSL",2041,0.132
"SC","IMPDSL","DSL",2042,0.132
"SC","IMPDSL","DSL",2043,0.132
"SC","IMPDSL","DSL",2044,0.132
"SC","IMPDSL","DSL",2045,0.132
"SC","IMPDSL","DSL",2046,0.132
"SC","IMPDSL","DSL",2047,0.132
"SC","IMPDSL","DSL",2048,0.132
"SC","IMPDSL","DSL",2049,0.132
"SC","IMPDSL","DSL",2050,0.132
"SC","PWRDIE","ELC001",2019,0.0500078361073582
"SC","PWRDIE","ELC001",2020,0.0408329741073583
"SC","PWRDIE","ELC001",2021,0.0451696711073583
"SC","PWRDIE","ELC001",2022,0.0514187871073583
"SC","PWRDIE","ELC001",2023,0.04678053966345
"SC","PWRDIE","ELC001",2024,0.04
"SC","PWRDIE","ELC001",2025,0.04
"SC","PWRDIE","ELC001",2026,0.04
"SC","PWRDIE","ELC001",2027,0.04
"SC","PWRDIE","ELC001",2028,0.04
"SC","PWRDIE","ELC001",2029,0.04
"SC","PWRDIE","ELC001",2030,0.0400000000000001
"SC","PWRDIE","ELC001",2031,0.0400000000000001
"SC","PWRDIE","ELC001",2032,0.04
"SC","PWRDIE","ELC001",2033,0.04
"SC","PWRDIE","ELC001",2034,0.04
"SC","PWRDIE","ELC001",2035,0.0399999999999999
"SC","PWRDIE","ELC001",2036,0.04
"SC","PWRDIE","ELC001",2037,0.04
"SC","PWRDIE","ELC001",2038,0.04
"SC","PWRDIE","ELC001",2039,0.0399999999999999
"SC","PWRDIE","ELC001",2040,0.04
"SC","PWRDIE","ELC001",2041,0.04
"SC","PWRDIE","ELC001",2042,0.04
"SC","PWRDIE","ELC001",2043,0.04
"SC","PWRDIE","ELC001",2044,0.04
"SC","PWRDIE","ELC001",2045,0.04
"SC","PWRDIE","ELC001",2046,0.04
"SC","PWRDIE","ELC001",2047,0.04
"SC","PWRDIE","ELC001",2048,0.04
"SC","PWRDIE","ELC001",2049,0.04
"SC","PWRDIE","ELC001",2050,0.04
"SC","PWRDIE","DELC",2019,0.0500078361073582
"SC","PWRDIE","DELC",2020,0.0408329741073583
"SC","PWRDIE","DELC",2021,0.0451696711073583
"SC","PWRDIE","DELC",2022,0.0514187871073583
"SC","PWRDIE","DELC",2023,0.04678053966345
"SC","PWRDIE","DELC",2024,0.04
"SC","PWRDIE","DELC",2025,0.04
"SC","PWRDIE","DELC",2026,0.04
"SC","PWRDIE","DELC",2027,0.04
"SC","PWRDIE","DELC",2028,0.04
"SC","PWRDIE","DELC",2029,0.04
"SC","PWRDIE","DELC",2030,0.0400000000000001
"SC","PWRDIE","DELC",2031,0.0400000000000001
"SC","PWRDIE","DELC",2032,0.04
"SC","PWRDIE","DELC",2033,0.04
"SC","PWRDIE","DELC",2034,0.04
"SC","PWRDIE","DELC",2035,0.0399999999999999
"SC","PWRDIE","DELC",2036,0.04
"SC","PWRDIE","DELC",2037,0.04
"SC","PWRDIE","DELC",2038,0.04
"SC","PWRDIE","DELC",2039,0.0399999999999999
"SC","PWRDIE","DELC",2040,0.04
"SC","PWRDIE","DELC",2041,0.04
"SC","PWRDIE","DELC",2042,0.04
"SC","PWRDIE","DELC",2043,0.04
"SC","PWRDIE","DELC",2044,0.04
"SC","PWRDIE","DELC",2045,0.04
"SC","PWRDIE","DELC",2046,0.04
"SC","PWRDIE","DELC",2047,0.04
"SC","PWRDIE","DELC",2048,0.04
"SC","PWRDIE","DELC",2049,0.04
"SC","PWRDIE","DELC",2050,0.04
"SC","PWRWND","ELC001",2019,0.008249
"SC","PWRWND","ELC001",2020,0.007759
"SC","PWRWND","ELC001",2021,0.005322
"SC","PWRWND","ELC001",2022,0.009748
"SC","PWRWND","ELC001",2023,0.0155717914439085
"SC","PWRWND","ELC001",2024,0.0153883982483058
"SC","PWRWND","ELC001",2025,0.0163261594916155
"SC","PWRWND","ELC001",2026,0.016437502615483
"SC","PWRWND","ELC001",2027,0.0167706508237788
"SC","PWRWND","ELC001",2028,0.0188147600989241
"SC","PWRWND","ELC001",2029,0.0241639376958038
"SC","PWRWND","ELC001",2030,0.0231146022134296
"SC","PWRWND","ELC001",2031,0.0250302312859538
"SC","PWRWND","ELC001",2032,0.0246007964064687
"SC","PWRWND","ELC001",2033,0.0217432347860422
"SC","PWRWND","ELC001",2034,0.0241896322076896
"SC","PWRWND","ELC001",2035,0.025227249138619
"SC","PWRWND","ELC001",2036,0.0238566922893548
"SC","PWRWND","ELC001",2037,0.0243660787860424
"SC","PWRWND","ELC001",2038,0.0253236745672116
"SC","PWRWND","ELC001",2039,0.025770403565367
"SC","PWRWND","ELC001",2040,0.0266082619297288
"SC","PWRWND","ELC001",2041,0.0272198451580582
"SC","PWRWND","ELC001",2042,0.0278905876786841
"SC","PWRWND","ELC001",2043,0.0286295478232699
"SC","PWRWND","ELC001",2044,0.0297888746786842
"SC","PWRWND","ELC001",2045,0.0309757506786844
"SC","PWRWND","ELC001",2046,0.031143582887817
"SC","PWRWND","ELC001",2047,0.031143582887817
"SC","PWRWND","ELC001",2048,0.031143582887817
"SC","PWRWND","ELC001",2049,0.00724768122807652
"SC","PWRWND","ELC001",2050,0.00724768122807652
"SC","PWRWND","DELC",2019,0.008249
"SC","PWRWND","DELC",2020,0.007759
"SC","PWRWND","DELC",2021,0.005322
"SC","PWRWND","DELC",2022,0.009748
"SC","PWRWND","DELC",2023,0.0155717914439085
"SC","PWRWND","DELC",2024,0.0153883982483058
"SC","PWRWND","DELC",2025,0.0163261594916155
"SC","PWRWND","DELC",2026,0.016437502615483
"SC","PWRWND","DELC",2027,0.0167706508237788
"SC","PWRWND","DELC",2028,0.0188147600989241
"SC","PWRWND","DELC",2029,0.0241639376958038
"SC","PWRWND","DELC",2030,0.0231146022134296
"SC","PWRWND","DELC",2031,0.0250302312859538
"SC","PWRWND","DELC",2032,0.0246007964064687
"SC","PWRWND","DELC",2033,0.0217432347860422
"SC","PWRWND","DELC",2034,0.0241896322076896
"SC","PWRWND","DELC",2035,0.025227249138619
"SC","PWRWND","DELC",2036,0.0238566922893548
"SC","PWRWND","DELC",2037,0.0243660787860424
"SC","PWRWND","DELC",2038,0.0253236745672116
"SC","PWRWND","DELC",2039,0.025770403565367
"SC","PWRWND","DELC",2040,0.0266082619297288
"SC","PWRWND","DELC",2041,0.0272198451580582
"SC","PWRWND","DELC",2042,0.0278905876786841
"SC","PWRWND","DELC",2043,0.0286295478232699
"SC","PWRWND","DELC",2044,0.0297888746786842
"SC","PWRWND","DELC",2045,0.0309757506786844
"SC","PWRWND","DELC",2046,0.031143582887817
"SC","PWRWND","DELC",2047,0.031143582887817
"SC","PWRWND","DELC",2048,0.031143582887817
"SC","PWRWND","DELC",2049,0.00724768122807652
"SC","PWRWND","DELC",2050,0.00724768122807652
"SC","PWRSOL","ELC001",2019,8.13548926415752e-05
"SC","PWRSOL","ELC001",2020,8.13548926415752e-05
"SC","PWRSOL","ELC001",2021,8.13548926415752e-05
"SC","PWRSOL","ELC001",2022,8.13548926415752e-05
"SC","PWRSOL","ELC001",2023,8.13548926415752e-05
"SC","PWRSOL","ELC001",2024,0.00966176224154322
"SC","PWRSOL","ELC001",2025,0.0109374814250112
"SC","PWRSOL","ELC001",2026,0.0130836999399259
"SC","PWRSOL","ELC001",2027,0.0145800340023584
"SC","PWRSOL","ELC001",2028,0.0146985085216119
"SC","PWRSOL","ELC001",2029,0.0116513157109846
"SC","PWRSOL","ELC001",2030,0.0145609402585268
"SC","PWRSOL","ELC001",2031,0.0133067116359899
"SC","PWRSOL","ELC001",2032,0.0142251102465507
"SC","PWRSOL","ELC001",2033,0.0176458762139577
"SC","PWRSOL","ELC001",2034,0.0162139265143163
"SC","PWRSOL","ELC001",2035,0.0157365924276514
"SC","PWRSOL","ELC001",2036,0.0176458762139577
"SC","PWRSOL","ELC001",2037,0.0176458762139577
"SC","PWRSOL","ELC001",2038,0.0173620064327885
"SC","PWRSOL","ELC001",2039,0.0176458762139577
"SC","PWRSOL","ELC001",2040,0.017463588589231
"SC","PWRSOL","ELC001",2041,0.0175315588419419
"SC","PWRSOL","ELC001",2042,0.0175645213213161
"SC","PWRSOL","ELC001",2043,0.0175369721767306
"SC","PWRSOL","ELC001",2044,0.0175645213213161
"SC","PWRSOL","ELC001",2045,0.0175645213213161
"SC","PWRSOL","ELC001",2046,0.0181835651121831
"SC","PWRSOL","ELC001",2047,0.019370441112183
"SC","PWRSOL","ELC001",2048,0.020557317112183
"SC","PWRSOL","ELC001",2049,0.0456400947719237
"SC","PWRSOL","ELC001",2050,0.0468269707719235
"SC","PWRSOL","DELC",2019,8.13548926415752e-05
"SC","PWRSOL","DELC",2020,8.13548926415752e-05
"SC","PWRSOL","DELC",2021,8.13548926415752e-05
"SC","PWRSOL","DELC",2022,8.13548926415752e-05
"SC","PWRSOL","DELC",2023,8.13548926415752e-05
"SC","PWRSOL","DELC",2024,0.00966176224154322
"SC","PWRSOL","DELC",2025,0.0109374814250112
"SC","PWRSOL","DELC",2026,0.0130836999399259
"SC","PWRSOL","DELC",2027,0.0145800340023584
"SC","PWRSOL","DELC",2028,0.0146985085216119
"SC","PWRSOL","DELC",2029,0.0116513157109846
"SC","PWRSOL","DELC",2030,0.0145609402585268
"SC","PWRSOL","DELC",2031,0.0133067116359899
"SC","PWRSOL","DELC",2032,0.0142251102465507
"SC","PWRSOL","DELC",2033,0.0176458762139577
"SC","PWRSOL","DELC",2034,0.0162139265143163
"SC","PWRSOL","DELC",2035,0.0157365924276514
"SC","PWRSOL","DELC",2036,0.0176458762139577
"SC","PWRSOL","DELC",2037,0.0176458762139577
"SC","PWRSOL","DELC",2038,0.0173620064327885
"SC","PWRSOL","DELC",2039,0.0176458762139577
"SC","PWRSOL","DELC",2040,0.017463588589231
"SC","PWRSOL","DELC",2041,0.0175315588419419
"SC","PWRSOL","DELC",2042,0.0175645213213161
"SC","PWRSOL","DELC",2043,0.0175369721767306
"SC","PWRSOL","DELC",2044,0.0175645213213161
"SC","PWRSOL","DELC",2045,0.0175645213213161
"SC","PWRSOL","DELC",2046,0.0181835651121831
"SC","PWRSOL","DELC",2047,0.019370441112183
"SC","PWRSOL","DELC",2048,0.020557317112183
"SC","PWRSOL","DELC",2049,0.0456400947719237
