REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2037,0.0401063397322771
"SC","PWRDIE",2049,8.57080177365672
"SC","PWRWND",2049,1.29226640711192
"SC","PWRSOL",2024,1.02519273312665
"SC","PWRSOL",2046,0.0901192337739807
"SC","PWRSOL",2047,0.173317043046599
"SC","PWRSOL",2048,0.173688001689613
"SC","PWRSOL",2049,3.67535260070583
"SC","PWRSOL",2050,0.174002174597841
"SC","PWRSOLDIST",2046,0.0873468744249282
"SC","PWRSOLDIST",2049,0.351669434755304
"STC","PWRDIE",2037,0.436755140614612
"STC","PWRDIE",2049,14.35569063411
"STC","PWRWND",2049,2.1498229234789
"STC","PWRWND",2050,0.00283360663898951
"STC","PWRSOL",2024,1.8197105484236
"STC","PWRSOL",2049,5.06120570162406
"STC","PWRSOLDIST",2031,0.0630040570026688
"STC","PWRSOLDIST",2036,0.0758113625529747
"STC","PWRSOLDIST",2041,0.732475208219888
"STC","PWRSOLDIST",2046,0.873468744249281
"STC","PWRSOLDIST",2049,0.164507667381588
"IS","PWRSOL",2024,0.578930087680819
"IS","PWRSOL",2030,0.0345036050011749
"IS","PWRSOL",2031,0.00437680844982316
"IS","PWRSOL",2032,0.0206200790410741
"IS","PWRSOL",2033,0.0217495731782449
"IS","PWRSOL",2034,0.0227971988498514
"IS","PWRSOL",2035,0.00801670274368754
"IS","PWRSOL",2037,0.0255158226644501
"IS","PWRSOL",2038,0.0263001407313818
"IS","PWRSOL",2039,0.0270316768050663
"IS","PWRSOL",2040,0.0258949867263771
"IS","PWRSOL",2042,0.0289549714049387
"IS","PWRSOL",2043,0.0295177996837263
"IS","PWRSOL",2044,0.0604702068193715
"IS","PWRSOL",2045,0.0607928743488945
"IS","PWRSOL",2046,1.74819949240118
"IS","PWRSOL",2047,0.0612337599993847
"IS","PWRSOL",2048,0.0613648215044497
"IS","PWRSOL",2049,0.977021996782312
"IS","PWRSOL",2050,0.0406749559736169
"IS","PWRSOLDIST",2026,0.0155260003344042
"IS","PWRSOLDIST",2031,0.0210013523342229
"IS","PWRSOLDIST",2035,0.022020589442155
"IS","PWRSOLDIST",2036,0.0344906588825333
"IS","PWRSOLDIST",2040,0.0025448947639114
"IS","PWRSOLDIST",2041,0.0396362868637938
"IS","PWRSOLDIST",2046,0.0436734372124641
"IS","PWRSOLDIST",2049,0.00553879359739608
"IS","PWRSOLDIST",2050,0.00519266815626064
"FL","PWRSOL",2024,0.00010692020203522
"FL","PWRSOL",2025,0.069636992190434
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2040,0.0135763698558755
"FL","PWRSOLDIST",2049,0.000791256228199436
"FL","PWRSOLDIST",2050,0.00708018435918045
