REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00218719403422092
"SC","MINSOL",2020,0.00208845254725169
"SC","MINSOL",2021,0.00216350138123436
"SC","MINSOL",2022,0.00220963047615104
"SC","MINSOL",2023,0.00174421668419898
"SC","MINSOL",2024,0.0134307512515744
"SC","MINSOL",2025,0.0150227143819788
"SC","MINSOL",2026,0.0170036964663538
"SC","MINSOL",2027,0.0187506583619832
"SC","MINSOL",2028,0.0185958891116507
"SC","MINSOL",2029,0.0155260929772231
"SC","MINSOL",2030,0.018586371360467
"SC","MINSOL",2031,0.0171625098828115
"SC","MINSOL",2032,0.0182494812776737
"SC","MINSOL",2033,0.0218982171323043
"SC","MINSOL",2034,0.0199432494179603
"SC","MINSOL",2035,0.0196079409048722
"SC","MINSOL",2036,0.0217711776797874
"SC","MINSOL",2037,0.0219083730072249
"SC","MINSOL",2038,0.0215990816830521
"SC","MINSOL",2039,0.021911238250531
"SC","MINSOL",2040,0.0217007902978425
"SC","MINSOL",2041,0.0214351269502379
"SC","MINSOL",2042,0.0218090324931224
"SC","MINSOL",2043,0.0216143293648416
"SC","MINSOL",2044,0.0217904493018224
"SC","MINSOL",2045,0.0218122668633709
"SC","MINSOL",2046,0.0229491227530881
"SC","MINSOL",2047,0.0242986248289256
"SC","MINSOL",2048,0.0256693774164671
"SC","MINSOL",2049,0.0542210411046099
"SC","MINSOL",2050,0.0555172557314934
"SC","MINWND",2019,0.00941144151550185
"SC","MINWND",2020,0.0114875781338268
"SC","MINWND",2021,0.00715139341430195
"SC","MINWND",2022,0.0105555239173841
"SC","MINWND",2023,0.0158903003820424
"SC","MINWND",2024,0.0204786289355807
"SC","MINWND",2025,0.0246422536980945
"SC","MINWND",2026,0.0231204330938606
"SC","MINWND",2027,0.030400365309797
"SC","MINWND",2028,0.0316404439988096
"SC","MINWND",2029,0.0303108670708294
"SC","MINWND",2030,0.0342110129951879
"SC","MINWND",2031,0.0371675704987681
"SC","MINWND",2032,0.0319517487201364
"SC","MINWND",2033,0.0273924680144974
"SC","MINWND",2034,0.0329172801982335
"SC","MINWND",2035,0.0326837525076628
"SC","MINWND",2036,0.030235721178683
"SC","MINWND",2037,0.0322848045000568
"SC","MINWND",2038,0.0314179081056287
"SC","MINWND",2039,0.0332159392713706
"SC","MINWND",2040,0.0341922697292551
"SC","MINWND",2041,0.0346973913260869
