REGION,TECHNOLOGY,VALUE
"SC","MINSOL",0.624177855376328
"SC","MINWND",0.889957072497381
"SC","IMPDSL",4.33689236670647
"SC","PWRDIE",1.31420980809289
"SC","PWRWND",0.676812774730711
"SC","PWRSOL",0.492812441128544
"SC","BAT",0.544744276838421
"SC","DEMRESELC",0.889354961668065
"SC","DEMCOMELC",1.64492393893477
"SC","PWRSOLDIST",0.0504438670478627
"SC","IMPLPG",0.001157
"SC","CONLPG",0.001157
"STC","MINSOL",1.47461959534523
"STC","MINWND",1.35824143168955
"STC","IMPDSL",10.4681360947379
"STC","PWRDIE",3.1721624529507
"STC","PWRWND",0.792900091573336
"STC","PWRSOL",0.937629517271617
"STC","BAT",1.54071041625354
"STC","DEMRESELC",2.00956740400957
"STC","DEMCOMELC",2.98268863998269
"STC","PWRDIST",5.39043451272571
"STC","PWRSOLDIST",0.0895639792042519
"STC","IMPLPG",0.002498
"STC","CONLPG",0.002498
"IS","MINSOL",0.666147858833182
"IS","IMPDSL",1.01469840630461
"IS","PWRDIE",0.307484365546854
"IS","PWRSOL",0.512465980017605
"IS","BAT",0.308740679423908
"IS","DEMRESELC",0.296235664407529
"IS","DEMCOMELC",0.538470141923059
"IS","PWRDIST",0.868351726312898
"IS","PWRSOLDIST",0.0147554704355424
"IS","IMPLPG",0.000387999999999998
"IS","CONLPG",0.000387999999999998
"FL","MINSOL",0.026429203098713
"FL","IMPDSL",0.0293377018917687
"FL","PWRDIE",0.00889021269447536
"FL","PWRSOL",0.0179567430375218
"FL","BAT",0.00079805334423493
"FL","DEMCOMELC",0.000770602711989043
"FL","PWRDIST",0.000772710556752874
"FL","PWRSOLDIST",0.00277211226800283
"FL","IMPLPG",1.927e-05
"FL","CONLPG",1.927e-05
