REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,0.19818619355657
"SC","PWRDIE",2020,0.19818619355657
"SC","PWRDIE",2021,0.19818619355657
"SC","PWRDIE",2022,0.19818619355657
"SC","PWRDIE",2023,0.19818619355657
"SC","PWRDIE",2024,0.19818619355657
"SC","PWRDIE",2025,0.19818619355657
"SC","PWRDIE",2026,0.19818619355657
"SC","PWRDIE",2027,0.19818619355657
"SC","PWRDIE",2028,0.19818619355657
"SC","PWRDIE",2029,0.19818619355657
"SC","PWRDIE",2030,0.19818619355657
"SC","PWRDIE",2031,0.19818619355657
"SC","PWRDIE",2032,0.19818619355657
"SC","PWRDIE",2033,0.19818619355657
"SC","PWRDIE",2034,0.079274477422628
"SC","PWRDIE",2035,0.079274477422628
"SC","PWRDIE",2036,0.079274477422628
"SC","PWRDIE",2037,0.079274477422628
"SC","PWRDIE",2038,0.079274477422628
"SC","PWRDIE",2039,0.079274477422628
"SC","PWRDIE",2040,0.079274477422628
"SC","PWRDIE",2041,0.079274477422628
"SC","PWRDIE",2042,0.079274477422628
"SC","PWRDIE",2043,0.079274477422628
"SC","PWRDIE",2044,0.079274477422628
"SC","PWRDIE",2045,0.079274477422628
"SC","PWRDIE",2046,0.079274477422628
"SC","PWRDIE",2047,0.079274477422628
"SC","PWRDIE",2048,0.079274477422628
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0433798330612759
"SC","PWRSOL",2038,0.0441973730204618
"SC","PWRSOL",2039,0.0450141061074627
"SC","PWRSOL",2040,0.0458299617610642
"SC","PWRSOL",2041,0.0466448616116712
"SC","PWRSOL",2042,0.0474587335585188
"SC","PWRSOL",2043,0.0482714945580456
"SC","PWRSOL",2044,0.0736287696725867
"SC","PWRSOL",2045,0.0749905956019127
"SC","PWRSOL",2046,0.129005630309646
"SC","PWRSOL",2047,0.130002500041345
"SC","PWRSOL",2048,0.13097748646717
"SC","PWRSOL",2049,0.131930589587122
"SC","PWRSOL",2050,0.132861809401199
"SC","PWRSOLDIST",2019,0.00436361638462266
"SC","PWRSOLDIST",2020,0.00628111074095209
"SC","PWRSOLDIST",2021,0.0112165533979661
"SC","PWRSOLDIST",2022,0.0108011254943377
"SC","PWRSOLDIST",2023,0.0103856975907093
"SC","PWRSOLDIST",2024,0.00997026968708096
"SC","PWRSOLDIST",2025,0.00955484178345259
"SC","PWRSOLDIST",2026,0.00913941387982421
"SC","PWRSOLDIST",2027,0.00872398597619584
"SC","PWRSOLDIST",2028,0.00830855807256747
"SC","PWRSOLDIST",2029,0.00789313016893909
"SC","PWRSOLDIST",2030,0.00747770226531072
"SC","PWRSOLDIST",2031,0.00743615947494788
"SC","PWRSOLDIST",2032,0.00739461668458504
"SC","PWRSOLDIST",2033,0.00735307389422221
"SC","PWRSOLDIST",2034,0.00731153110385937
"SC","PWRSOLDIST",2035,0.00726998831349653
"SC","PWRSOLDIST",2036,0.0072284455231337
"SC","PWRSOLDIST",2037,0.00718690273277086
"SC","PWRSOLDIST",2038,0.00714535994240802
"SC","PWRSOLDIST",2039,0.00710381715204518
"SC","PWRSOLDIST",2040,0.00706227436168235
"SC","PWRSOLDIST",2041,0.00702073157131951
"SC","PWRSOLDIST",2042,0.00697918878095667
"SC","PWRSOLDIST",2043,0.00693764599059383
"SC","PWRSOLDIST",2044,0.006896103200231
"SC","PWRSOLDIST",2045,0.00685456040986816
"SC","PWRSOLDIST",2046,0.00907136591343562
"SC","PWRSOLDIST",2047,0.00901605270664638
"SC","PWRSOLDIST",2048,0.00896073949985714
"SC","PWRSOLDIST",2049,0.0089054262930679
"SC","PWRSOLDIST",2050,0.00885011308627866
"STC","PWRDIE",2019,0.309994916513445
"STC","PWRDIE",2020,0.309994916513445
"STC","PWRDIE",2021,0.309994916513445
"STC","PWRDIE",2022,0.339190701347826
"STC","PWRDIE",2023,0.339190701347826
"STC","PWRDIE",2024,0.339190701347826
"STC","PWRDIE",2025,0.339190701347826
"STC","PWRDIE",2026,0.339190701347826
"STC","PWRDIE",2027,0.339190701347826
"STC","PWRDIE",2028,0.339190701347826
"STC","PWRDIE",2029,0.339190701347826
"STC","PWRDIE",2030,0.339190701347826
"STC","PWRDIE",2031,0.339190701347826
"STC","PWRDIE",2032,0.339190701347826
"STC","PWRDIE",2033,0.339190701347826
"STC","PWRDIE",2034,0.095129372907154
"STC","PWRDIE",2035,0.095129372907154
"STC","PWRDIE",2036,0.095129372907154
"STC","PWRDIE",2037,0.0792744774226281
"STC","PWRDIE",2038,0.0792744774226281
"STC","PWRDIE",2039,0.0792744774226281
"STC","PWRDIE",2040,0.0792744774226281
"STC","PWRDIE",2041,0.0792744774226281
"STC","PWRDIE",2042,0.0792744774226281
"STC","PWRDIE",2043,0.0792744774226281
"STC","PWRDIE",2044,0.0792744774226281
"STC","PWRDIE",2045,0.0792744774226281
"STC","PWRDIE",2046,0.0792744774226281
"STC","PWRDIE",2047,0.0792744774226281
"STC","PWRDIE",2048,0.0792744774226281
"STC","PWRDIE",2049,0.0133408893498548
"STC","PWRDIE",2050,0.0133408893498548
"STC","PWRWND",2019,0.0789075
"STC","PWRWND",2020,0.0772425
"STC","PWRWND",2021,0.0756
"STC","PWRWND",2022,0.0739575
"STC","PWRWND",2023,0.0722925
"STC","PWRWND",2024,0.27632
"STC","PWRWND",2025,0.269896
"STC","PWRWND",2026,0.263384
"STC","PWRWND",2027,0.25696
"STC","PWRWND",2028,0.250536
"STC","PWRWND",2029,0.244024
"STC","PWRWND",2030,0.2376
"STC","PWRWND",2031,0.2332
"STC","PWRWND",2032,0.2288
"STC","PWRWND",2033,0.2244
"STC","PWRWND",2034,0.22
"STC","PWRWND",2035,0.2156
"STC","PWRWND",2036,0.2112
"STC","PWRWND",2037,0.2068
"STC","PWRWND",2038,0.2024
"STC","PWRWND",2039,0.198
"STC","PWRWND",2040,0.1441
"STC","PWRWND",2041,0.140825
"STC","PWRWND",2042,0.13755
"STC","PWRWND",2043,0.134275
"STC","PWRWND",2044,0.131
"STC","PWRWND",2045,0.127725
"STC","PWRWND",2046,0.12445
"STC","PWRWND",2047,0.121175
"STC","PWRWND",2048,0.1179
"STC","PWRSOL",2019,0.027794064
"STC","PWRSOL",2020,0.026835648
"STC","PWRSOL",2021,0.025877232
"STC","PWRSOL",2022,0.024918816
"STC","PWRSOL",2023,0.0239604
"STC","PWRSOL",2024,0.102201984
"STC","PWRSOL",2025,0.097943568
"STC","PWRSOL",2026,0.093685152
"STC","PWRSOL",2027,0.089426736
"STC","PWRSOL",2028,0.08516832
"STC","PWRSOL",2029,0.080909904
"STC","PWRSOL",2030,0.0959551286753352
"STC","PWRSOL",2031,0.0973736785175113
"STC","PWRSOL",2032,0.0987919536965763
"STC","PWRSOL",2033,0.100209837665045
"STC","PWRSOL",2034,0.101627209930607
"STC","PWRSOL",2035,0.103043947622997
"STC","PWRSOL",2036,0.11247861675994
"STC","PWRSOL",2037,0.113847625478466
