REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","IMPDSL",2019,4.91535
"SC","IMPDSL",2020,3.28284
"SC","IMPDSL",2021,4.42417083827399
"SC","IMPDSL",2022,4.54604524687499
"SC","IMPDSL",2023,5.0622
"SC","IMPDSL",2024,5.36249999999999
"SC","IMPDSL",2025,4.93614
"SC","IMPDSL",2026,5.05197000000001
"SC","IMPDSL",2027,5.19453
"SC","IMPDSL",2028,5.36679
"SC","IMPDSL",2029,5.52865500000001
"SC","IMPDSL",2030,2.51064
"SC","IMPDSL",2031,2.6367
"SC","IMPDSL",2032,2.70666
"SC","IMPDSL",2033,2.7819
"SC","IMPDSL",2034,2.84855999999999
"SC","IMPDSL",2035,2.92379999999999
"SC","IMPDSL",2036,3.01092
"SC","PWRDIE",2019,0.0144
"SC","PWRDIE",2020,0.01152
"SC","PWRDIE",2021,0.012164759136
"SC","PWRDIE",2022,0.012695864544
"SC","PWRDIE",2023,0.0144
"SC","PWRDIE",2024,0.0144
"SC","PWRDIE",2025,0.01296
"SC","PWRDIE",2026,0.01296
"SC","PWRDIE",2027,0.01296
"SC","PWRDIE",2028,0.01296
"SC","PWRDIE",2029,0.01296
"SC","PWRDIE",2030,0.00576
"SC","PWRDIE",2031,0.00576
"SC","PWRDIE",2032,0.00576
"SC","PWRDIE",2033,0.00576000000000001
"SC","PWRDIE",2034,0.00575999999999999
"SC","PWRDIE",2035,0.00575999999999999
"SC","PWRDIE",2036,0.00575999999999999
"SC","PWRWND",2019,8.249e-08
"SC","PWRWND",2020,7.759e-08
"SC","PWRWND",2021,5.322e-08
"SC","PWRWND",2022,9.749e-08
"SC","PWRWND",2023,1.0723e-07
"SC","PWRWND",2024,1.1796e-07
