REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,11.8911716133942
"SC","PWRDIE",2034,4.75646864535768
"SC","PWRWND",2019,5.072952
"SC","PWRWND",2021,11.35456
"SC","PWRSOL",2020,1.68
"SC","PWRSOL",2021,4.0878108
"SC","PWRSOL",2037,0.667781386127591
"SC","PWRSOL",2038,0.10682904393089
"SC","PWRSOL",2039,0.107369455805001
"SC","PWRSOL",2040,0.107909604019488
"SC","PWRSOL",2041,0.108448786096621
"SC","PWRSOL",2042,0.12158770451415
"SC","PWRSOL",2043,0.109525346118472
"SC","PWRSOL",2044,2.56463259801581
"SC","PWRSOL",2045,0.180537273458259
"SC","PWRSOL",2046,5.44695231659267
"SC","PWRSOL",2047,0.178348942870903
"SC","PWRSOL",2048,0.177254777577197
"SC","PWRSOL",2049,0.176160612283525
"SC","PWRSOL",2050,1.13506644698982
"SC","PWRSOLDIST",2019,0.654542457693399
"SC","PWRSOLDIST",2020,0.310194583025048
"SC","PWRSOLDIST",2021,0.773965206092914
"SC","PWRSOLDIST",2046,0.338752244089545
"SC","PWRSOLDIST",2049,0.363383916167715
"SC","PWRSOLDIST",2050,0.177254047442885
"STC","PWRDIE",2019,18.5996949908067
"STC","PWRDIE",2022,1.75174709006284
"STC","PWRDIE",2034,3.9560152843664
"STC","PWRDIE",2037,0.800453360991286
"STC","PWRWND",2024,12.43452
"STC","PWRSOL",2024,7.92
"STC","PWRSOL",2030,1.93036406753352
"STC","PWRSOL",2031,0.195163389037237
"STC","PWRSOL",2032,0.196226220988913
"STC","PWRSOL",2033,0.197289494429251
"STC","PWRSOL",2034,0.198352954050575
"STC","PWRSOL",2035,0.199416502154052
"STC","PWRSOL",2036,1.00234916947888
"STC","PWRSOL",2037,0.201543755047954
"STC","PWRSOL",2038,0.20260706535579
"STC","PWRSOL",2039,0.20366999777149
"STC","PWRSOL",2040,2.56134089285673
"STC","PWRSOL",2041,4.09992706619549
"STC","PWRSOL",2042,0.20685483544556
"STC","PWRSOL",2043,0.207914530891953
"STC","PWRSOL",2044,0.358167327847929
"STC","PWRSOL",2045,0.356009541264265
"STC","PWRSOL",2046,0.353852058837713
"STC","PWRSOL",2047,0.351694274097418
"STC","PWRSOL",2048,1.90217070982751
"STC","PWRSOL",2049,6.84453317018957
"STC","PWRSOL",2050,0.00243694384716931
"STC","PWRSOLDIST",2019,0.0115493975775936
"STC","PWRSOLDIST",2020,0.127448857511289
"STC","PWRSOLDIST",2022,3.4666584413007
"STC","PWRSOLDIST",2049,0.00641190693100958
"STC","PWRSOLDIST",2050,0.0728279185778784
"IS","PWRDIE",2019,6.072
"IS","PWRDIE",2025,0.0925559999999991
"IS","PWRDIE",2026,0.0925680000000009
"IS","PWRDIE",2027,0.0925559999999991
"IS","PWRDIE",2028,0.0925680000000009
"IS","PWRDIE",2029,0.0925560000000004
"IS","PWRSOL",2023,0.0732422899162134
"IS","PWRSOL",2024,1.72679012168044
"IS","PWRSOL",2030,0.452076070638646
"IS","PWRSOL",2031,0.0297647493054621
"IS","PWRSOL",2032,0.0299279285086828
"IS","PWRSOL",2033,0.0300910829802762
"IS","PWRSOL",2034,1.77136009996075
"IS","PWRSOL",2035,0.0141066170603612
"IS","PWRSOL",2037,0.0307444319332536
"IS","PWRSOL",2038,0.0309078762593951
"IS","PWRSOL",2039,0.0310709060836502
"IS","PWRSOL",2040,0.0123650661158181
"IS","PWRSOL",2042,0.0240978219698679
"IS","PWRSOL",2048,0.062624980891166
"IS","PWRSOL",2049,0.989656366935048
"IS","PWRSOL",2050,0.040923741557976
"IS","PWRSOLDIST",2019,0.251889554022073
"IS","PWRSOLDIST",2035,0.0228003112630482
"IS","PWRSOLDIST",2036,0.0427474483965204
"IS","PWRSOLDIST",2040,0.0263761026574483
"IS","PWRSOLDIST",2041,0.0438885404929593
"IS","PWRSOLDIST",2042,0.0104314291672524
"IS","PWRSOLDIST",2043,0.04434391614766
"IS","PWRSOLDIST",2044,0.0897009489908754
"IS","PWRSOLDIST",2045,0.0891605818282789
"IS","PWRSOLDIST",2046,0.177240656115514
"IS","PWRSOLDIST",2049,0.139842131715703
"FL","PWRDIE",2025,0.00609599999999997
"FL","PWRDIE",2026,0.534084
"FL","PWRDIE",2027,0.00609599999999992
"FL","PWRDIE",2028,0.00609599999999997
"FL","PWRDIE",2029,0.00608399999999996
"FL","PWRSOL",2025,0.180366
"FL","PWRSOL",2044,0.00104795910759833
"FL","PWRSOL",2045,0.00207621723468413
"FL","PWRSOL",2046,0.00206348334866084
"FL","PWRSOL",2047,0.00205105096517276
"FL","PWRSOL",2048,0.00203846783041711
"FL","PWRSOL",2049,0.00202588469566135
"FL","PWRSOL",2050,0.00243040457987928
"FL","PWRSOLDIST",2019,0.00752274823465596
"FL","PWRSOLDIST",2020,0.0065966568768839
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2035,0.000926052434421061
"FL","PWRSOLDIST",2036,0.00157480848219483
"FL","PWRSOLDIST",2037,0.00158298239132806
"FL","PWRSOLDIST",2038,0.00159143286649535
"FL","PWRSOLDIST",2039,0.00159967868279742
"FL","PWRSOLDIST",2040,0.00814301671871921
"FL","PWRSOLDIST",2049,0.00417642229579176
"FL","PWRSOLDIST",2050,0.00376951821536223
