REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRSOL",2037,0.0262489228477648
"SC","PWRSOL",2038,0.00430538827890912
"SC","PWRSOL",2039,0.00442419127471694
"SC","PWRSOL",2040,0.00453509515456397
"SC","PWRSOL",2041,0.00463874601577627
"SC","PWRSOL",2042,0.00528329321265683
"SC","PWRSOL",2043,0.00482675220751693
"SC","PWRSOL",2044,0.114461651333699
"SC","PWRSOL",2045,0.00814961506478607
"SC","PWRSOL",2046,0.248406143153928
"SC","PWRSOL",2047,0.00820871818135369
"SC","PWRSOL",2048,0.00822628768810066
"SC","PWRSOL",2049,0.00823688124501692
"SC","PWRSOL",2050,0.0534326998850956
"SC","PWRSOLDIST",2046,0.015448664417841
"SC","PWRSOLDIST",2049,0.0169910295214305
"SC","PWRSOLDIST",2050,0.00834414790918323
"STC","PWRDIE",2037,0.00453123474182798
"STC","PWRSOL",2024,0.0989554295176361
"STC","PWRSOL",2030,0.0558537848431358
"STC","PWRSOL",2031,0.00602495976446306
"STC","PWRSOL",2032,0.00640331376525164
"STC","PWRSOL",2033,0.00675384291199828
"STC","PWRSOL",2034,0.00707891625037815
"STC","PWRSOL",2035,0.0073807049984519
"STC","PWRSOL",2036,0.0383040242747831
"STC","PWRSOL",2037,0.00792221314730052
"STC","PWRSOL",2038,0.00816540195727395
"STC","PWRSOL",2039,0.00839228456832945
"STC","PWRSOL",2040,0.107644956887094
"STC","PWRSOL",2041,0.175368678874316
"STC","PWRSOL",2042,0.00898836566149324
"STC","PWRSOL",2043,0.00916273681410741
"STC","PWRSOL",2044,0.0159853009085863
"STC","PWRSOL",2045,0.0160705912143158
"STC","PWRSOL",2046,0.0161372856000946
"STC","PWRSOL",2047,0.0161871392988922
"STC","PWRSOL",2048,0.0882785993404596
"STC","PWRSOL",2049,0.320035257425722
"STC","PWRSOL",2050,0.000114717944106223
"STC","PWRSOLDIST",2022,0.0158337169584943
"STC","PWRSOLDIST",2049,0.00029980660977622
"STC","PWRSOLDIST",2050,0.00342833877871015
"IS","PWRSOL",2023,0.000638646221080046
"IS","PWRSOL",2024,0.0215751588608205
"IS","PWRSOL",2030,0.0130805167827455
"IS","PWRSOL",2031,0.000918878370832775
"IS","PWRSOL",2032,0.000976617271735273
"IS","PWRSOL",2033,0.00103011287087854
"IS","PWRSOL",2034,0.0632171567945814
"IS","PWRSOL",2035,0.000522107137192805
"IS","PWRSOL",2037,0.00120849163899896
"IS","PWRSOL",2038,0.00124563885696908
"IS","PWRSOL",2039,0.00128028619091159
"IS","PWRSOL",2040,0.000519664138676507
"IS","PWRSOL",2042,0.00104711129930411
"IS","PWRSOL",2048,0.00290638772231779
"IS","PWRSOL",2049,0.0462741464289361
"IS","PWRSOL",2050,0.00192646519209651
"IS","PWRSOLDIST",2035,0.000843873849394061
"IS","PWRSOLDIST",2036,0.00163356178757213
"IS","PWRSOLDIST",2040,0.00110850314432137
"IS","PWRSOLDIST",2041,0.0018772712879291
"IS","PWRSOLDIST",2042,0.000453271974644783
"IS","PWRSOLDIST",2043,0.00195422432104567
"IS","PWRSOLDIST",2044,0.00400342675034195
"IS","PWRSOLDIST",2045,0.00402478893656733
"IS","PWRSOLDIST",2046,0.00808299122825218
"IS","PWRSOLDIST",2049,0.00653870928955657
"FL","PWRSOL",2025,0.0028724998195618
"FL","PWRSOL",2044,4.67712724538778e-05
"FL","PWRSOL",2045,9.37223152285075e-05
"FL","PWRSOL",2046,9.41043560344282e-05
"FL","PWRSOL",2047,9.44020137023393e-05
"FL","PWRSOL",2048,9.4604066785429e-05
"FL","PWRSOL",2049,9.47258949543307e-05
"FL","PWRSOL",2050,0.000114410111285067
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2035,3.42745949193312e-05
"FL","PWRSOLDIST",2036,6.0180129007825e-05
"FL","PWRSOLDIST",2037,6.22233316509383e-05
"FL","PWRSOLDIST",2038,6.41373933338984e-05
"FL","PWRSOLDIST",2039,6.59152495253064e-05
"FL","PWRSOLDIST",2040,0.000342224920572665
"FL","PWRSOLDIST",2049,0.000195280284471938
"FL","PWRSOLDIST",2050,0.000177448233138247
