REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","MINSOL","SOL",2019,0.00205332415466101
"SC","MINSOL","SOL",2020,0.00370130922277194
"SC","MINSOL","SOL",2021,0.00799486546334286
"SC","MINSOL","SOL",2022,0.0145709306616287
"SC","MINSOL","SOL",2023,0.00643102122505178
"SC","MINSOL","SOL",2024,0.00759372898866039
"SC","MINSOL","SOL",2025,0.0234248882650361
"SC","MINSOL","SOL",2026,0.0227204567153105
"SC","MINSOL","SOL",2027,0.0281490434942429
"SC","MINSOL","SOL",2028,0.0250578898079737
"SC","MINSOL","SOL",2029,0.0307598679191372
"SC","MINSOL","SOL",2030,0.0325547029583751
"SC","MINSOL","SOL",2031,0.0337645306086368
"SC","MINSOL","SOL",2032,0.0370491023675591
"SC","MINSOL","SOL",2033,0.038888882369665
"SC","MINSOL","SOL",2034,0.0363707331821029
"SC","MINSOL","SOL",2035,0.0380720024310679
"SC","MINSOL","SOL",2036,0.0322631782290537
"SC","MINSOL","SOL",2037,0.0448203013543445
"SC","MINSOL","SOL",2038,0.0460700968283846
"SC","MINSOL","SOL",2039,0.0438509774172155
"SC","MINSOL","SOL",2040,0.0485878408386164
"SC","MINSOL","SOL",2041,0.0476015287620465
"SC","MINSOL","SOL",2042,0.0509374896585505
"SC","MINSOL","SOL",2043,0.0543529191205882
"SC","MINSOL","SOL",2044,0.0677525749687491
"SC","MINSOL","SOL",2045,0.0815950522147657
"SC","MINSOL","SOL",2046,0.133937347219098
"SC","MINSOL","SOL",2047,0.141971173537803
"SC","MINSOL","SOL",2048,0.113030231054726
"SC","MINSOL","SOL",2049,0.10701805923838
"SC","MINSOL","SOL",2050,0.118440097695628
"SC","MINWND","WND",2019,0.0125265784062206
"SC","MINWND","WND",2020,0.00955630085630617
"SC","MINWND","WND",2021,0.0114701225096818
"SC","MINWND","WND",2022,0.0267359957532284
"SC","MINWND","WND",2023,0.0380791652312296
"SC","MINWND","WND",2024,0.0248347718151899
"SC","MINWND","WND",2025,0.0311017403482296
"SC","MINWND","WND",2026,0.027366900397312
"SC","MINWND","WND",2027,0.0403936261527443
"SC","MINWND","WND",2028,0.0295927925738347
"SC","MINWND","WND",2029,0.0315246641248396
"SC","MINWND","WND",2030,0.0540386609510857
"SC","MINWND","WND",2031,0.0659961507740673
"SC","MINWND","WND",2032,0.0599693499185073
"SC","MINWND","WND",2033,0.059544581501742
"SC","MINWND","WND",2034,0.0513133029909615
"SC","MINWND","WND",2035,0.0503833908216971
"SC","MINWND","WND",2036,0.0538033798925763
"SC","MINWND","WND",2037,0.0669372003688584
"SC","MINWND","WND",2038,0.0719506628797012
"SC","MINWND","WND",2039,0.0787178243812104
"SC","MINWND","WND",2040,0.0749832033683425
"SC","MINWND","WND",2041,0.0824524187146214
"SC","MINWND","WND",2042,0.074472281911965
"SC","MINWND","WND",2043,0.0756102110572107
"SC","MINWND","WND",2044,0.0468870807626713
"SC","MINWND","WND",2045,0.0511573833935578
"SC","IMPDSL","DSL",2019,0.165
"SC","IMPDSL","DSL",2020,0.132
"SC","IMPDSL","DSL",2021,0.1393878651
"SC","IMPDSL","DSL",2022,0.1454734479
"SC","IMPDSL","DSL",2023,0.165
"SC","IMPDSL","DSL",2024,0.165
"SC","IMPDSL","DSL",2025,0.1485
"SC","IMPDSL","DSL",2026,0.1485
"SC","IMPDSL","DSL",2027,0.1485
"SC","IMPDSL","DSL",2028,0.1485
"SC","IMPDSL","DSL",2029,0.1485
"SC","IMPDSL","DSL",2030,0.066
"SC","IMPDSL","DSL",2031,0.066
"SC","IMPDSL","DSL",2032,0.066
"SC","IMPDSL","DSL",2033,0.066
"SC","IMPDSL","DSL",2034,0.0659999999999999
"SC","IMPDSL","DSL",2035,0.0659999999999999
"SC","IMPDSL","DSL",2036,0.066
"SC","PWRDIE","ELC001",2019,0.05
"SC","PWRDIE","ELC001",2020,0.0399999999999999
"SC","PWRDIE","ELC001",2021,0.042238747
"SC","PWRDIE","ELC001",2022,0.0440828629999999
"SC","PWRDIE","ELC001",2023,0.05
"SC","PWRDIE","ELC001",2024,0.0499999999999999
"SC","PWRDIE","ELC001",2025,0.0449999999999999
"SC","PWRDIE","ELC001",2026,0.0449999999999999
"SC","PWRDIE","ELC001",2027,0.0449999999999999
"SC","PWRDIE","ELC001",2028,0.0449999999999999
"SC","PWRDIE","ELC001",2029,0.0449999999999999
"SC","PWRDIE","ELC001",2030,0.02
"SC","PWRDIE","ELC001",2031,0.02
"SC","PWRDIE","ELC001",2032,0.02
"SC","PWRDIE","ELC001",2033,0.02
"SC","PWRDIE","ELC001",2034,0.02
"SC","PWRDIE","ELC001",2035,0.02
"SC","PWRDIE","ELC001",2036,0.02
"SC","PWRDIE","DELC",2019,0.05
"SC","PWRDIE","DELC",2020,0.0399999999999999
"SC","PWRDIE","DELC",2021,0.042238747
"SC","PWRDIE","DELC",2022,0.0440828629999999
"SC","PWRDIE","DELC",2023,0.05
"SC","PWRDIE","DELC",2024,0.0499999999999999
"SC","PWRDIE","DELC",2025,0.0449999999999999
"SC","PWRDIE","DELC",2026,0.0449999999999999
"SC","PWRDIE","DELC",2027,0.0449999999999999
"SC","PWRDIE","DELC",2028,0.0449999999999999
"SC","PWRDIE","DELC",2029,0.0449999999999999
"SC","PWRDIE","DELC",2030,0.02
"SC","PWRDIE","DELC",2031,0.02
"SC","PWRDIE","DELC",2032,0.02
"SC","PWRDIE","DELC",2033,0.02
"SC","PWRDIE","DELC",2034,0.02
"SC","PWRDIE","DELC",2035,0.02
"SC","PWRDIE","DELC",2036,0.02
"SC","PWRWND","ELC001",2019,0.008249
"SC","PWRWND","ELC001",2020,0.007759
"SC","PWRWND","ELC001",2021,0.005322
"SC","PWRWND","ELC001",2022,0.009749
"SC","PWRWND","ELC001",2023,0.010723
"SC","PWRWND","ELC001",2024,0.011796
"SC","PWRWND","ELC001",2025,0.0137693368786718
"SC","PWRWND","ELC001",2026,0.0156778023486545
"SC","PWRWND","ELC001",2027,0.0111456900641268
"SC","PWRWND","ELC001",2028,0.0157823390139142
"SC","PWRWND","ELC001",2029,0.014750867811901
"SC","PWRWND","ELC001",2030,0.0362206700602233
"SC","PWRWND","ELC001",2031,0.0374730265581288
"SC","PWRWND","ELC001",2032,0.0360994825749808
"SC","PWRWND","ELC001",2033,0.0366801844299039
"SC","PWRWND","ELC001",2034,0.0376090545187599
"SC","PWRWND","ELC001",2035,0.0365053256076132
"SC","PWRWND","ELC001",2036,0.037653932783644
"SC","PWRWND","ELC001",2037,0.051905971479695
"SC","PWRWND","ELC001",2038,0.051905971479695
"SC","PWRWND","ELC001",2039,0.051905971479695
"SC","PWRWND","ELC001",2040,0.051905971479695
"SC","PWRWND","ELC001",2041,0.051905971479695
"SC","PWRWND","ELC001",2042,0.051905971479695
