REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","MINSOL",1,2050,0.300814932956595
"SC","TM01","MINWND",1,2019,0.0379079165645568
"SC","TM01","MINWND",1,2021,0.0185466953894445
"SC","TM01","MINWND",1,2022,0.0610714509335929
"SC","TM01","MINWND",1,2023,0.0619212426812928
"SC","TM01","MINWND",1,2024,0.0619212426812928
"SC","TM01","MINWND",1,2025,0.0746940298418563
"SC","TM01","MINWND",1,2026,0.0619212426812928
"SC","TM01","MINWND",1,2027,0.0619212426812928
"SC","TM01","MINWND",1,2028,0.0646526134351491
"SC","TM01","MINWND",1,2029,0.092674765878232
"SC","TM01","MINWND",1,2030,0.0928139795526528
"SC","TM01","MINWND",1,2031,0.104298491247308
"SC","TM01","MINWND",1,2032,0.102246784364275
"SC","TM01","MINWND",1,2033,0.0968097047616
"SC","TM01","MINWND",1,2034,0.0790231622237141
"SC","TM01","MINWND",1,2035,0.0798141776981549
"SC","TM01","MINWND",1,2036,0.08061383466388
"SC","TM01","MINWND",1,2037,0.107108274495744
"SC","TM01","MINWND",1,2038,0.107108274495744
"SC","TM01","MINWND",1,2039,0.107108274495744
"SC","TM01","MINWND",1,2040,0.107108274495744
"SC","TM01","MINWND",1,2041,0.107108274495744
"SC","TM01","MINWND",1,2042,0.107108274495744
"SC","TM01","MINWND",1,2043,0.107108274495744
"SC","TM01","MINWND",1,2044,0.0749757921470208
"SC","TM01","MINWND",1,2045,0.0749757921470208
"SC","TM01","IMPDSL",1,2019,0.16499999472
"SC","TM01","IMPDSL",1,2020,0.16499999472
"SC","TM01","IMPDSL",1,2021,0.163185788065859
"SC","TM01","IMPDSL",1,2022,0.164299418253006
"SC","TM01","IMPDSL",1,2023,0.16499999472
"SC","TM01","IMPDSL",1,2024,0.16499999472
"SC","TM01","IMPDSL",1,2025,0.16499999472
"SC","TM01","IMPDSL",1,2026,0.16499999472
"SC","TM01","IMPDSL",1,2027,0.144023142479327
"SC","TM01","IMPDSL",1,2028,0.16499999472
"SC","TM01","IMPDSL",1,2029,0.152229180943224
"SC","TM01","IMPDSL",1,2030,0.16499999472
"SC","TM01","IMPDSL",1,2031,0.16499999472
"SC","TM01","IMPDSL",1,2032,0.158819403127146
"SC","TM01","IMPDSL",1,2033,0.16499999472
"SC","TM01","IMPDSL",1,2034,0.065999997888
"SC","TM01","IMPDSL",1,2035,0.065999997888
"SC","TM01","IMPDSL",1,2036,0.065999997888
"SC","TM01","PWRDIE",1,2019,0.0499999984
"SC","TM01","PWRDIE",1,2020,0.0499999984
"SC","TM01","PWRDIE",1,2021,0.0494502388078361
"SC","TM01","PWRDIE",1,2022,0.0497877025009111
"SC","TM01","PWRDIE",1,2023,0.0499999984
"SC","TM01","PWRDIE",1,2024,0.0499999984
"SC","TM01","PWRDIE",1,2025,0.0499999984
"SC","TM01","PWRDIE",1,2026,0.0499999984
"SC","TM01","PWRDIE",1,2027,0.0436433765088869
"SC","TM01","PWRDIE",1,2028,0.0499999984
"SC","TM01","PWRDIE",1,2029,0.04613005483128
"SC","TM01","PWRDIE",1,2030,0.0499999984
"SC","TM01","PWRDIE",1,2031,0.0499999984
"SC","TM01","PWRDIE",1,2032,0.0481270918567108
"SC","TM01","PWRDIE",1,2033,0.0499999984
"SC","TM01","PWRDIE",1,2034,0.01999999936
"SC","TM01","PWRDIE",1,2035,0.01999999936
"SC","TM01","PWRDIE",1,2036,0.01999999936
"SC","TM01","PWRWND",1,2034,0.022866418309248
"SC","TM01","PWRWND",1,2035,0.022866418309248
"SC","TM01","PWRWND",1,2036,0.022866418309248
"SC","TM01","PWRWND",1,2037,0.022866418309248
