REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRSOL",2037,0.554213896813691
"SC","PWRSOL",2038,0.0909030069229451
"SC","PWRSOL",2039,0.0934113868531105
"SC","PWRSOL",2040,0.0957529866123941
"SC","PWRSOL",2041,0.097941447755494
"SC","PWRSOL",2042,0.111550273372273
"SC","PWRSOL",2043,0.10191096851465
"SC","PWRSOL",2044,2.4167177521641
"SC","PWRSOL",2045,0.172069153038455
"SC","PWRSOL",2046,5.24479184872614
"SC","PWRSOL",2047,0.173317043046619
"SC","PWRSOL",2048,0.1736880016896
"SC","PWRSOL",2049,0.173911671685269
"SC","PWRSOL",2050,1.12816609627534
"SC","PWRSOLDIST",2046,0.326179651532167
"SC","PWRSOLDIST",2049,0.35874480398918
"SC","PWRSOLDIST",2050,0.176176476084695
"STC","PWRDIE",2037,0.0956714787197415
"STC","PWRSOL",2024,2.08932284657584
"STC","PWRSOL",2030,1.17928434356093
"STC","PWRSOL",2031,0.127209655366605
"STC","PWRSOL",2032,0.135198137269966
"STC","PWRSOL",2033,0.142599131417114
"STC","PWRSOL",2034,0.149462657309533
"STC","PWRSOL",2035,0.155834557560621
"STC","PWRSOL",2036,0.808742616986337
"STC","PWRSOL",2037,0.1672678397212
"STC","PWRSOL",2038,0.172402473961947
"STC","PWRSOL",2039,0.177192822759176
"STC","PWRSOL",2040,2.2727915874772
"STC","PWRSOL",2041,3.70269513387974
"STC","PWRSOL",2042,0.189778345882362
"STC","PWRSOL",2043,0.193459979469487
"STC","PWRSOL",2044,0.337510074591173
"STC","PWRSOL",2045,0.339310875064889
"STC","PWRSOL",2046,0.340719045436392
"STC","PWRSOL",2047,0.341771645302732
"STC","PWRSOL",2048,1.8638946378669
"STC","PWRSOL",2049,6.75715297592814
"STC","PWRSOL",2050,0.00242212906054464
"STC","PWRSOLDIST",2022,0.334309564910751
"STC","PWRSOLDIST",2049,0.00633004982559616
"STC","PWRSOLDIST",2050,0.0723851795811209
"IS","PWRSOL",2023,0.0134842337311472
"IS","PWRSOL",2024,0.455533087432881
"IS","PWRSOL",2030,0.276179111064727
"IS","PWRSOL",2031,0.0194009927778965
"IS","PWRSOL",2032,0.0206200790410739
"IS","PWRSOL",2033,0.0217495731782436
"IS","PWRSOL",2034,1.33475293503674
"IS","PWRSOL",2035,0.0110236535318441
"IS","PWRSOL",2037,0.0255158226644493
"IS","PWRSOL",2038,0.0263001407313813
"IS","PWRSOL",2039,0.0270316768050651
"IS","PWRSOL",2040,0.0109720726065817
"IS","PWRSOL",2042,0.022108474201043
"IS","PWRSOL",2048,0.0613648215044518
"IS","PWRSOL",2049,0.977021996782312
"IS","PWRSOL",2050,0.0406749559736184
"IS","PWRSOLDIST",2035,0.0178173640573475
"IS","PWRSOLDIST",2036,0.0344906588825371
"IS","PWRSOLDIST",2040,0.0234046879107227
"IS","PWRSOLDIST",2041,0.0396362868637955
"IS","PWRSOLDIST",2042,0.00957028327757507
"IS","PWRSOLDIST",2043,0.0412610560248967
"IS","PWRSOLDIST",2044,0.0845274586230924
"IS","PWRSOLDIST",2045,0.0849784950538477
"IS","PWRSOLDIST",2046,0.17066247222796
"IS","PWRSOLDIST",2049,0.138056848142461
"FL","PWRSOL",2025,0.0606493198912935
"FL","PWRSOL",2044,0.000987518204687237
"FL","PWRSOL",2045,0.00197883203979227
"FL","PWRSOL",2046,0.00198689836407609
"FL","PWRSOL",2047,0.00199318304162291
"FL","PWRSOL",2048,0.00199744914530998
"FL","PWRSOL",2049,0.00200002139806946
"FL","PWRSOL",2050,0.00241562954708385
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2035,0.000723666145164155
"FL","PWRSOLDIST",2036,0.00127062980837774
"FL","PWRSOLDIST",2037,0.00131376953282994
"FL","PWRSOLDIST",2038,0.0013541826038808
"FL","PWRSOLDIST",2039,0.00139171986259153
"FL","PWRSOLDIST",2040,0.00722566056966729
"FL","PWRSOLDIST",2049,0.00412310432910946
"FL","PWRSOLDIST",2050,0.00374660237833822
