REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00205332415466101
"SC","MINSOL",2020,0.00370130922277194
"SC","MINSOL",2021,0.00799486546334286
"SC","MINSOL",2022,0.0145709306616287
"SC","MINSOL",2023,0.00643102122505178
"SC","MINSOL",2024,0.00759372898866039
"SC","MINSOL",2025,0.0234248882650361
"SC","MINSOL",2026,0.0227204567153105
"SC","MINSOL",2027,0.0281490434942429
"SC","MINSOL",2028,0.0250578898079737
"SC","MINSOL",2029,0.0307598679191372
"SC","MINSOL",2030,0.0325547029583751
"SC","MINSOL",2031,0.0337645306086368
"SC","MINSOL",2032,0.0370491023675591
"SC","MINSOL",2033,0.038888882369665
"SC","MINSOL",2034,0.0363707331821029
"SC","MINSOL",2035,0.0380720024310679
"SC","MINSOL",2036,0.0322631782290537
"SC","MINSOL",2037,0.0448203013543445
"SC","MINSOL",2038,0.0460700968283846
"SC","MINSOL",2039,0.0438509774172155
"SC","MINSOL",2040,0.0485878408386164
"SC","MINSOL",2041,0.0476015287620465
"SC","MINSOL",2042,0.0509374896585505
"SC","MINSOL",2043,0.0543529191205882
"SC","MINSOL",2044,0.0677525749687491
"SC","MINSOL",2045,0.0815950522147657
"SC","MINSOL",2046,0.133937347219098
"SC","MINSOL",2047,0.141971173537803
"SC","MINSOL",2048,0.113030231054726
"SC","MINSOL",2049,0.10701805923838
"SC","MINSOL",2050,0.118440097695628
"SC","MINWND",2019,0.0125265784062206
"SC","MINWND",2020,0.00955630085630617
"SC","MINWND",2021,0.0114701225096818
"SC","MINWND",2022,0.0267359957532284
"SC","MINWND",2023,0.0380791652312296
"SC","MINWND",2024,0.0248347718151899
"SC","MINWND",2025,0.0311017403482296
"SC","MINWND",2026,0.027366900397312
"SC","MINWND",2027,0.0403936261527443
"SC","MINWND",2028,0.0295927925738347
"SC","MINWND",2029,0.0315246641248396
"SC","MINWND",2030,0.0540386609510857
"SC","MINWND",2031,0.0659961507740673
"SC","MINWND",2032,0.0599693499185073
"SC","MINWND",2033,0.059544581501742
"SC","MINWND",2034,0.0513133029909615
"SC","MINWND",2035,0.0503833908216971
"SC","MINWND",2036,0.0538033798925763
"SC","MINWND",2037,0.0669372003688584
"SC","MINWND",2038,0.0719506628797012
"SC","MINWND",2039,0.0787178243812104
"SC","MINWND",2040,0.0749832033683425
"SC","MINWND",2041,0.0824524187146214
"SC","MINWND",2042,0.074472281911965
"SC","MINWND",2043,0.0756102110572107
"SC","MINWND",2044,0.0468870807626713
"SC","MINWND",2045,0.0511573833935578
"SC","IMPDSL",2019,0.165
"SC","IMPDSL",2020,0.132
"SC","IMPDSL",2021,0.1393878651
"SC","IMPDSL",2022,0.1454734479
"SC","IMPDSL",2023,0.165
"SC","IMPDSL",2024,0.165
"SC","IMPDSL",2025,0.1485
"SC","IMPDSL",2026,0.1485
"SC","IMPDSL",2027,0.1485
"SC","IMPDSL",2028,0.1485
"SC","IMPDSL",2029,0.1485
"SC","IMPDSL",2030,0.066
"SC","IMPDSL",2031,0.066
"SC","IMPDSL",2032,0.066
"SC","IMPDSL",2033,0.066
"SC","IMPDSL",2034,0.0659999999999999
"SC","IMPDSL",2035,0.0659999999999999
"SC","IMPDSL",2036,0.066
"SC","PWRDIE",2019,0.05
"SC","PWRDIE",2020,0.0399999999999999
"SC","PWRDIE",2021,0.042238747
"SC","PWRDIE",2022,0.0440828629999999
"SC","PWRDIE",2023,0.05
"SC","PWRDIE",2024,0.0499999999999999
"SC","PWRDIE",2025,0.0449999999999999
"SC","PWRDIE",2026,0.0449999999999999
"SC","PWRDIE",2027,0.0449999999999999
"SC","PWRDIE",2028,0.0449999999999999
"SC","PWRDIE",2029,0.0449999999999999
"SC","PWRDIE",2030,0.02
"SC","PWRDIE",2031,0.02
"SC","PWRDIE",2032,0.02
"SC","PWRDIE",2033,0.02
"SC","PWRDIE",2034,0.02
