REGION,TECHNOLOGY,VALUE
"SC","MINSOL",1.52138614797317
"SC","MINWND",1.30139974185759
"SC","IMPDSL",2.116361313
"SC","PWRDIE",0.641321610000003
"SC","PWRWND",0.818975873079961
"SC","PWRSOL",0.940487758814828
"SC","BAT",0.843997736200884
"SC","DEMRESELC",0.889356356200417
"SC","DEMCOMELC",1.64492393893477
"SC","PWRDIST",2.57715529869686
"SC","PWRSOLDIST",0.133493649105213
"SC","IMPLPG",0.001157
"SC","CONLPG",0.001157
"STC","MINSOL",3.26211613161902
"STC","MINWND",1.59174433613509
"STC","IMPDSL",4.42790746200007
"STC","PWRDIE",1.34179014
"STC","PWRWND",1.1282965725752
"STC","PWRSOL",2.26137607620067
"STC","BAT",2.25866386687918
"STC","DEMRESELC",2.01408260967191
"STC","DEMCOMELC",2.98268863998269
"STC","PWRDIST",5.47556853536937
"STC","PWRSOLDIST",0.260793252224128
"STC","IMPLPG",0.002498
"STC","CONLPG",0.002498
"IS","MINSOL",0.854341576756231
"IS","IMPDSL",0.6265071813
"IS","PWRDIE",0.189850661000001
"IS","PWRSOL",0.608293894771514
"IS","BAT",0.436691923374976
"IS","DEMRESELC",0.2972744158406
"IS","DEMCOMELC",0.538987513668534
"IS","PWRDIST",0.856167664719325
"IS","PWRSOLDIST",0.036561260228486
"IS","IMPLPG",0.000387999999999998
"IS","CONLPG",0.000387999999999998
"FL","MINSOL",0.0327529902012827
"FL","IMPDSL",0.0186006200876533
"FL","PWRDIE",0.00563655154171311
"FL","PWRSOL",0.0208216816864692
"FL","BAT",0.00151959816814836
"FL","DEMCOMELC",0.000770748762690292
"FL","PWRDIST",0.00300504767303651
"FL","PWRSOLDIST",0.00316083477181766
"FL","IMPLPG",1.927e-05
"FL","CONLPG",1.927e-05
