REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,0.19818619355657
"SC","PWRDIE",2020,0.19818619355657
"SC","PWRDIE",2021,0.19818619355657
"SC","PWRDIE",2022,0.19818619355657
"SC","PWRDIE",2023,0.204613351994991
"SC","PWRDIE",2024,0.209578284769903
"SC","PWRDIE",2025,0.209578284769903
"SC","PWRDIE",2026,0.209578284769903
"SC","PWRDIE",2027,0.277460670979198
"SC","PWRDIE",2028,0.277460670979198
"SC","PWRDIE",2029,0.277460670979198
"SC","PWRDIE",2030,0.277460670979198
"SC","PWRDIE",2031,0.277460670979198
"SC","PWRDIE",2032,0.277460670979198
"SC","PWRDIE",2033,0.277460670979198
"SC","PWRDIE",2034,0.0792744774226278
"SC","PWRDIE",2035,0.0792744774226278
"SC","PWRDIE",2036,0.0792744774226278
"SC","PWRDIE",2037,0.0792744774226278
"SC","PWRDIE",2038,0.0728473189842071
"SC","PWRDIE",2039,0.0678823862092956
"SC","PWRDIE",2040,0.0678823862092956
"SC","PWRDIE",2041,0.0678823862092956
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0476959803616851
"SC","PWRSOL",2038,0.048488571492545
"SC","PWRSOL",2039,0.0492803557512197
"SC","PWRSOL",2040,0.0500712625764952
"SC","PWRSOL",2041,0.0502380181356174
"SC","PWRSOL",2042,0.0510306288012581
"SC","PWRSOL",2043,0.0518221285195782
"SC","PWRSOL",2044,0.0771581423529125
"SC","PWRSOL",2045,0.0784987070010317
"SC","PWRSOL",2046,0.132029418947458
"SC","PWRSOL",2047,0.13300785094356
"SC","PWRSOL",2048,0.133964399633789
"SC","PWRSOL",2049,0.134899065018144
"SC","PWRSOL",2050,0.135811847096625
"SC","PWRSOLDIST",2019,0.0043636163846226
"SC","PWRSOLDIST",2020,0.00421314685411838
"SC","PWRSOLDIST",2021,0.00406267732361415
"SC","PWRSOLDIST",2022,0.00391220779310992
"SC","PWRSOLDIST",2023,0.00376173826260569
"SC","PWRSOLDIST",2024,0.00361126873210146
"SC","PWRSOLDIST",2025,0.00346079920159724
"SC","PWRSOLDIST",2026,0.00331032967109301
"SC","PWRSOLDIST",2027,0.00315986014058878
"SC","PWRSOLDIST",2028,0.00300939061008455
"SC","PWRSOLDIST",2029,0.00285892107958033
"SC","PWRSOLDIST",2030,0.0027084515490761
"SC","PWRSOLDIST",2031,0.00269340459602568
"SC","PWRSOLDIST",2032,0.00267835764297525
"SC","PWRSOLDIST",2033,0.00266331068992483
"SC","PWRSOLDIST",2034,0.00264826373687441
"SC","PWRSOLDIST",2035,0.00263321678382398
"SC","PWRSOLDIST",2036,0.00288734939439841
"SC","PWRSOLDIST",2037,0.00287075543236164
"SC","PWRSOLDIST",2038,0.00285416147032487
"SC","PWRSOLDIST",2039,0.00283756750828809
"SC","PWRSOLDIST",2040,0.00282097354625132
"SC","PWRSOLDIST",2041,0.00342757504737334
"SC","PWRSOLDIST",2042,0.00340729353821728
"SC","PWRSOLDIST",2043,0.00338701202906123
"SC","PWRSOLDIST",2044,0.00336673051990517
"SC","PWRSOLDIST",2045,0.00334644901074912
"SC","PWRSOLDIST",2046,0.00604757727562375
"SC","PWRSOLDIST",2047,0.00601070180443092
"SC","PWRSOLDIST",2048,0.00597382633323809
"SC","PWRSOLDIST",2049,0.00593695086204526
"SC","PWRSOLDIST",2050,0.00590007539085244
"STC","PWRDIE",2019,0.309994916513446
"STC","PWRDIE",2020,0.309994916513446
"STC","PWRDIE",2021,0.309994916513446
"STC","PWRDIE",2022,0.368527125408101
"STC","PWRDIE",2023,0.368527125408101
"STC","PWRDIE",2024,0.368527125408101
"STC","PWRDIE",2025,0.368527125408101
"STC","PWRDIE",2026,0.368527125408101
"STC","PWRDIE",2027,0.447801602830729
"STC","PWRDIE",2028,0.447801602830729
"STC","PWRDIE",2029,0.447801602830729
"STC","PWRDIE",2030,0.447801602830729
"STC","PWRDIE",2031,0.447801602830729
"STC","PWRDIE",2032,0.447801602830729
"STC","PWRDIE",2033,0.447801602830729
"STC","PWRDIE",2034,0.137806686317284
"STC","PWRDIE",2035,0.137806686317284
"STC","PWRDIE",2036,0.137806686317284
"STC","PWRDIE",2037,0.0792744774226281
"STC","PWRDIE",2038,0.0792744774226281
"STC","PWRDIE",2039,0.0792744774226281
"STC","PWRDIE",2040,0.0792744774226281
"STC","PWRDIE",2041,0.0792744774226281
"STC","PWRWND",2019,0.0789075
"STC","PWRWND",2020,0.0772425
"STC","PWRWND",2021,0.0756
"STC","PWRWND",2022,0.0739575
"STC","PWRWND",2023,0.0722925
"STC","PWRWND",2024,0.27632
"STC","PWRWND",2025,0.269896
"STC","PWRWND",2026,0.263384
"STC","PWRWND",2027,0.25696
"STC","PWRWND",2028,0.250536
"STC","PWRWND",2029,0.244024
"STC","PWRWND",2030,0.2376
"STC","PWRWND",2031,0.2332
"STC","PWRWND",2032,0.2288
"STC","PWRWND",2033,0.2244
"STC","PWRWND",2034,0.22
"STC","PWRWND",2035,0.2156
"STC","PWRWND",2036,0.2112
"STC","PWRWND",2037,0.2068
"STC","PWRWND",2038,0.2024
"STC","PWRWND",2039,0.198
"STC","PWRWND",2040,0.1441
"STC","PWRWND",2041,0.140825
"STC","PWRWND",2042,0.13755
"STC","PWRWND",2043,0.134275
"STC","PWRWND",2044,0.131
"STC","PWRWND",2045,0.127725
"STC","PWRWND",2046,0.12445
"STC","PWRWND",2047,0.121175
"STC","PWRWND",2048,0.1179
"STC","PWRSOL",2019,0.027794064
"STC","PWRSOL",2020,0.026835648
"STC","PWRSOL",2021,0.025877232
"STC","PWRSOL",2022,0.024918816
"STC","PWRSOL",2023,0.0239604
"STC","PWRSOL",2024,0.102201984
"STC","PWRSOL",2025,0.097943568
"STC","PWRSOL",2026,0.093685152
"STC","PWRSOL",2027,0.089426736
"STC","PWRSOL",2028,0.08516832
"STC","PWRSOL",2029,0.080909904
"STC","PWRSOL",2030,0.11130378536108
"STC","PWRSOL",2031,0.111397165898204
"STC","PWRSOL",2032,0.112737097572349
"STC","PWRSOL",2033,0.114076638035897
"STC","PWRSOL",2034,0.115415666796538
"STC","PWRSOL",2035,0.116754060984009
"STC","PWRSOL",2036,0.124506648985903
"STC","PWRSOL",2037,0.125806531082441
"STC","PWRSOL",2038,0.127105396354019
"STC","PWRSOL",2039,0.128403111469211
"STC","PWRSOL",2040,0.15326562500907
"STC","PWRSOL",2041,0.189469200132297
"STC","PWRSOL",2042,0.190416628959342
"STC","PWRSOL",2043,0.191362341953028
"STC","PWRSOL",2044,0.193798132944363
"STC","PWRSOL",2045,0.193667723923269
"STC","PWRSOL",2046,0.192493980141916
"STC","PWRSOL",2047,0.194837179101537
"STC","PWRSOL",2048,0.197137226882625
"STC","PWRSOL",2049,0.264365662122282
"STC","PWRSOL",2050,0.262748008814652
"STC","PWRSOLDIST",2019,7.69959838506243e-05
"STC","PWRSOLDIST",2020,0.000924
"STC","PWRSOLDIST",2021,0.000891
