REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","IMPDSL",2019,1.3101
"SC","IMPDSL",2020,1.069071417876
"SC","IMPDSL",2021,1.719475706025
"SC","IMPDSL",2022,1.958668340112
"SC","IMPDSL",2023,2.15323579944
"SC","IMPDSL",2024,2.205483958656
"SC","IMPDSL",2025,1.87704
"SC","IMPDSL",2026,1.87704
"SC","IMPDSL",2027,1.87704
"SC","IMPDSL",2028,1.87704
"SC","IMPDSL",2029,2.08939499999999
"SC","IMPDSL",2030,0.94842
"SC","IMPDSL",2031,0.995939999999999
"SC","IMPDSL",2032,1.02234
"SC","IMPDSL",2033,1.05072
"SC","IMPDSL",2034,1.0758
"SC","IMPDSL",2035,1.10418
"SC","IMPDSL",2036,1.13718
"SC","PWRDIE",2019,0.0144
"SC","PWRDIE",2020,0.011750727744
"SC","PWRDIE",2021,0.0129924964800001
"SC","PWRDIE",2022,0.013523601888
"SC","PWRDIE",2023,0.01486699056
"SC","PWRDIE",2024,0.015227737344
"SC","PWRDIE",2025,0.01296
"SC","PWRDIE",2026,0.01296
"SC","PWRDIE",2027,0.01296
"SC","PWRDIE",2028,0.01296
"SC","PWRDIE",2029,0.01296
"SC","PWRDIE",2030,0.00576
"SC","PWRDIE",2031,0.00576
"SC","PWRDIE",2032,0.00576
"SC","PWRDIE",2033,0.00576
"SC","PWRDIE",2034,0.00575999999999999
"SC","PWRDIE",2035,0.00575999999999999
"SC","PWRDIE",2036,0.00575999999999998
"SC","PWRWND",2019,8.249e-08
"SC","PWRWND",2020,7.759e-08
"SC","PWRWND",2021,5.322e-08
"SC","PWRWND",2022,9.749e-08
"SC","PWRWND",2023,1.0723e-07
"SC","PWRWND",2024,1.1796e-07
