REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRDIE",2019,11.8911716133942
"SC","PWRDIE",2023,0.385629506305239
"SC","PWRDIE",2024,0.297895966494692
"SC","PWRDIE",2027,4.07294317255773
"SC","PWRWND",2019,5.072952
"SC","PWRWND",2021,11.35456
"SC","PWRSOL",2020,1.68
"SC","PWRSOL",2021,4.0878108
"SC","PWRSOL",2037,1.09939611616851
"SC","PWRSOL",2038,0.106829043930889
"SC","PWRSOL",2039,0.107369455805003
"SC","PWRSOL",2040,0.107909604019485
"SC","PWRSOL",2041,0.0461292397807454
"SC","PWRSOL",2042,0.121587704514144
"SC","PWRSOL",2043,0.109525346118475
"SC","PWRSOL",2044,2.5646325980158
"SC","PWRSOL",2045,0.180537273458262
"SC","PWRSOL",2046,5.40064616858264
"SC","PWRSOL",2047,0.178348942870896
"SC","PWRSOL",2048,0.177254777577209
"SC","PWRSOL",2049,0.176160612283516
"SC","PWRSOL",2050,1.13506644698984
"SC","PWRSOLDIST",2019,0.65454245769339
"SC","PWRSOLDIST",2036,0.0403769345437274
"SC","PWRSOLDIST",2041,0.0934793194738184
"SC","PWRSOLDIST",2046,0.408211466104603
"SC","PWRSOLDIST",2049,0.36338391616771
"STC","PWRDIE",2019,18.5996949908067
"STC","PWRDIE",2022,3.51193253367934
"STC","PWRDIE",2027,4.75646864535768
"STC","PWRWND",2024,12.43452
"STC","PWRSOL",2024,7.92
"STC","PWRSOL",2030,3.46522973610799
"STC","PWRSOL",2031,0.0711734900241343
"STC","PWRSOL",2032,0.196226220988875
"STC","PWRSOL",2033,0.197289494429234
"STC","PWRSOL",2034,0.198352954050479
"STC","PWRSOL",2035,0.199416502154171
"STC","PWRSOL",2036,0.841975406466018
"STC","PWRSOL",2037,0.20154375504795
"STC","PWRSOL",2038,0.202607065355764
"STC","PWRSOL",2039,0.203669997771529
"STC","PWRSOL",2040,2.56134089285675
"STC","PWRSOL",2041,3.71051376232807
"STC","PWRSOL",2042,0.20685483544556
"STC","PWRSOL",2043,0.207914530891951
"STC","PWRSOL",2044,0.358167327847933
"STC","PWRSOL",2045,0.10370496111008
"STC","PWRSOL",2047,0.351694274097405
"STC","PWRSOL",2048,1.90217070982751
"STC","PWRSOL",2049,6.84453317018957
"STC","PWRSOL",2050,0.00243694384717034
"STC","PWRSOLDIST",2019,0.0115493975775936
"STC","PWRSOLDIST",2020,0.127448857511289
"STC","PWRSOLDIST",2022,0.1404
"STC","PWRSOLDIST",2031,0.186024900572784
"STC","PWRSOLDIST",2036,0.240612449533201
"STC","PWRSOLDIST",2041,0.584245746711364
"STC","PWRSOLDIST",2045,0.378538371357416
"STC","PWRSOLDIST",2046,0.530892391933766
"STC","PWRSOLDIST",2049,0.00641190693100895
"STC","PWRSOLDIST",2050,0.0728279185778792
"IS","PWRDIE",2019,6.072
"IS","PWRDIE",2025,0.0925559999999991
"IS","PWRDIE",2026,0.0925680000000009
"IS","PWRDIE",2027,0.27768
"IS","PWRSOL",2023,0.0732422899162131
"IS","PWRSOL",2024,1.72679012168044
"IS","PWRSOL",2030,0.532632877722582
"IS","PWRSOL",2031,0.00671484226391853
"IS","PWRSOL",2032,0.0299279285086816
"IS","PWRSOL",2033,0.03009108298028
"IS","PWRSOL",2034,1.77136009996074
"IS","PWRSOL",2035,0.0102587182520994
"IS","PWRSOL",2037,0.0307444319332557
"IS","PWRSOL",2038,0.0309078762593943
"IS","PWRSOL",2039,0.0310709060836512
"IS","PWRSOL",2040,0.0291825650832656
"IS","PWRSOL",2042,0.0315603754340385
"IS","PWRSOL",2043,0.0317232509330118
"IS","PWRSOL",2044,0.0641712767156354
"IS","PWRSOL",2045,0.0622781021682015
"IS","PWRSOL",2047,0.0630115548472846
"IS","PWRSOL",2048,0.0626249808911622
"IS","PWRSOL",2049,0.989656366935049
"IS","PWRSOL",2050,0.040923741557976
"IS","PWRSOLDIST",2019,0.0101057228803944
"IS","PWRSOLDIST",2020,0.00914275032237778
"IS","PWRSOLDIST",2026,0.03861
"IS","PWRSOLDIST",2031,0.03222
"IS","PWRSOLDIST",2035,0.0281790444344575
"IS","PWRSOLDIST",2036,0.0427474483965171
"IS","PWRSOLDIST",2040,0.00286798977202236
"IS","PWRSOLDIST",2041,0.0438885404929575
"IS","PWRSOLDIST",2045,0.00210598120699041
"IS","PWRSOLDIST",2046,0.0886204414498323
"IS","PWRSOLDIST",2049,0.00561041856463265
"IS","PWRSOLDIST",2050,0.0052244287556445
"FL","PWRDIE",2025,0.00609599999999997
"FL","PWRDIE",2026,0.534084
"FL","PWRDIE",2027,0.0182759999999999
"FL","PWRSOL",2025,0.180366
"FL","PWRSOL",2044,0.00104795910759838
"FL","PWRSOL",2045,0.00207621723468396
"FL","PWRSOL",2046,0.00206348334866097
"FL","PWRSOL",2047,0.00205105096517272
"FL","PWRSOL",2048,0.00203846783041705
"FL","PWRSOL",2049,0.00202588469566133
"FL","PWRSOL",2050,0.00243040457987936
"FL","PWRSOLDIST",2019,0.00144367469719921
"FL","PWRSOLDIST",2020,0.0124661071889111
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2035,0.000926052434421072
"FL","PWRSOLDIST",2036,0.00157480848219482
"FL","PWRSOLDIST",2037,0.00158298239132806
"FL","PWRSOLDIST",2038,0.00159143286649533
"FL","PWRSOLDIST",2039,0.00159967868279742
"FL","PWRSOLDIST",2040,0.00814301671871921
"FL","PWRSOLDIST",2049,0.000801488366376113
"FL","PWRSOLDIST",2050,0.00712348982223492
