REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRSOL",2037,0.0432146873691471
"SC","PWRSOL",2038,0.0043053882789091
"SC","PWRSOL",2039,0.00442419127471701
"SC","PWRSOL",2040,0.00453509515456385
"SC","PWRSOL",2041,0.00197311408403481
"SC","PWRSOL",2042,0.00528329321265658
"SC","PWRSOL",2043,0.00482675220751708
"SC","PWRSOL",2044,0.114461651333698
"SC","PWRSOL",2045,0.00814961506478618
"SC","PWRSOL",2046,0.246294369273248
"SC","PWRSOL",2047,0.00820871818135339
"SC","PWRSOL",2048,0.00822628768810117
"SC","PWRSOL",2049,0.00823688124501649
"SC","PWRSOL",2050,0.0534326998850962
"SC","PWRSOLDIST",2036,0.00154297437260146
"SC","PWRSOLDIST",2041,0.00399844789761242
"SC","PWRSOLDIST",2046,0.0186163252388607
"SC","PWRSOLDIST",2049,0.0169910295214303
"STC","PWRSOL",2024,0.0989554295176361
"STC","PWRSOL",2030,0.100264089747542
"STC","PWRSOL",2031,0.00219722262360388
"STC","PWRSOL",2032,0.00640331376525039
"STC","PWRSOL",2033,0.00675384291199769
"STC","PWRSOL",2034,0.00707891625037474
"STC","PWRSOL",2035,0.0073807049984563
"STC","PWRSOL",2036,0.0321754607975703
"STC","PWRSOL",2037,0.00792221314730035
"STC","PWRSOL",2038,0.0081654019572729
"STC","PWRSOL",2039,0.00839228456833106
"STC","PWRSOL",2040,0.107644956887095
"STC","PWRSOL",2041,0.15871206632177
"STC","PWRSOL",2042,0.00898836566149326
"STC","PWRSOL",2043,0.00916273681410736
"STC","PWRSOL",2044,0.0159853009085865
"STC","PWRSOL",2045,0.00468133531190813
"STC","PWRSOL",2047,0.0161871392988916
"STC","PWRSOL",2048,0.0882785993404597
"STC","PWRSOL",2049,0.320035257425721
"STC","PWRSOL",2050,0.000114717944106272
"STC","PWRSOLDIST",2022,0.00064126705835447
"STC","PWRSOLDIST",2031,0.00574284217274697
"STC","PWRSOLDIST",2036,0.00919482490570266
"STC","PWRSOLDIST",2041,0.0249902993600776
"STC","PWRSOLDIST",2045,0.0170875628878223
"STC","PWRSOLDIST",2046,0.0242111411749104
"STC","PWRSOLDIST",2049,0.000299806609776191
"STC","PWRSOLDIST",2050,0.00342833877871019
"IS","PWRSOL",2023,0.000638646221080044
"IS","PWRSOL",2024,0.0215751588608205
"IS","PWRSOL",2030,0.0154113737678039
"IS","PWRSOL",2031,0.000207296330855918
"IS","PWRSOL",2032,0.000976617271735234
"IS","PWRSOL",2033,0.00103011287087867
"IS","PWRSOL",2034,0.0632171567945813
"IS","PWRSOL",2035,0.000379690608666317
"IS","PWRSOL",2037,0.00120849163899904
"IS","PWRSOL",2038,0.00124563885696904
"IS","PWRSOL",2039,0.00128028619091162
"IS","PWRSOL",2040,0.00122644977441457
"IS","PWRSOL",2042,0.00137137811743252
"IS","PWRSOL",2043,0.00139803503843668
"IS","PWRSOL",2044,0.00286401658730615
"IS","PWRSOL",2045,0.00281128960194254
"IS","PWRSOL",2047,0.00290018032955023
"IS","PWRSOL",2048,0.00290638772231762
"IS","PWRSOL",2049,0.0462741464289361
"IS","PWRSOL",2050,0.0019264651920965
"IS","PWRSOLDIST",2026,0.000735349270841449
"IS","PWRSOLDIST",2031,0.000994675305489605
"IS","PWRSOLDIST",2035,0.00104294886261885
"IS","PWRSOLDIST",2036,0.001633561787572
"IS","PWRSOLDIST",2040,0.000120532427457419
"IS","PWRSOLDIST",2041,0.00187727128792902
"IS","PWRSOLDIST",2045,9.50658877354403e-05
"IS","PWRSOLDIST",2046,0.00404150078532761
"IS","PWRSOLDIST",2049,0.000262330783554158
"IS","PWRSOLDIST",2050,0.000245937437858137
"FL","PWRSOL",2025,0.0028724998195618
"FL","PWRSOL",2044,4.67712724538801e-05
"FL","PWRSOL",2045,9.37223152284999e-05
"FL","PWRSOL",2046,9.41043560344344e-05
"FL","PWRSOL",2047,9.44020137023373e-05
"FL","PWRSOL",2048,9.46040667854262e-05
"FL","PWRSOL",2049,9.472589495433e-05
"FL","PWRSOL",2050,0.000114410111285071
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2035,3.42745949193316e-05
"FL","PWRSOLDIST",2036,6.01801290078245e-05
"FL","PWRSOLDIST",2037,6.22233316509386e-05
"FL","PWRSOLDIST",2038,6.4137393333898e-05
"FL","PWRSOLDIST",2039,6.59152495253065e-05
"FL","PWRSOLDIST",2040,0.000342224920572665
"FL","PWRSOLDIST",2049,3.74758262220235e-05
"FL","PWRSOLDIST",2050,0.000335334812173709
