REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","MINSOL","SOL",2019,0.0022925417329023
"SC","MINSOL","SOL",2020,0.00404502122182698
"SC","MINSOL","SOL",2021,0.00254526346951694
"SC","MINSOL","SOL",2022,0.011050114593728
"SC","MINSOL","SOL",2023,0.00328507249948731
"SC","MINSOL","SOL",2024,0.00205365484560711
"SC","MINSOL","SOL",2025,0.018067625005475
"SC","MINSOL","SOL",2026,0.0203362660531483
"SC","MINSOL","SOL",2027,0.016030426824579
"SC","MINSOL","SOL",2028,0.0240646317767772
"SC","MINSOL","SOL",2029,0.0204109579401242
"SC","MINSOL","SOL",2030,0.0254992548883766
"SC","MINSOL","SOL",2031,0.0250905169943258
"SC","MINSOL","SOL",2032,0.0269864022781662
"SC","MINSOL","SOL",2033,0.0301175597658624
"SC","MINSOL","SOL",2034,0.027880179406358
"SC","MINSOL","SOL",2035,0.0270509034874978
"SC","MINSOL","SOL",2036,0.0276598269787258
"SC","MINSOL","SOL",2037,0.0391643832633655
"SC","MINSOL","SOL",2038,0.0400014146584624
"SC","MINSOL","SOL",2039,0.0407210048636071
"SC","MINSOL","SOL",2040,0.0415690884777456
"SC","MINSOL","SOL",2041,0.0383546284872626
"SC","MINSOL","SOL",2042,0.0502232096838232
"SC","MINSOL","SOL",2043,0.0444316937523878
"SC","MINSOL","SOL",2044,0.0620243498123976
"SC","MINSOL","SOL",2045,0.0651210750634099
"SC","MINSOL","SOL",2046,0.122219009299641
"SC","MINSOL","SOL",2047,0.111982743171247
"SC","MINSOL","SOL",2048,0.124908486265797
"SC","MINSOL","SOL",2049,0.105004058406762
"SC","MINSOL","SOL",2050,0.137428613321731
"SC","MINWND","WND",2019,0.0136420643207727
"SC","MINWND","WND",2020,0.0103262241679988
"SC","MINWND","WND",2021,0.0271418386336563
"SC","MINWND","WND",2022,0.0159151710514827
"SC","MINWND","WND",2023,0.0175880838977128
"SC","MINWND","WND",2024,0.01657297542782
"SC","MINWND","WND",2025,0.0235499911896155
"SC","MINWND","WND",2026,0.0264829966394605
"SC","MINWND","WND",2027,0.0304407218111577
"SC","MINWND","WND",2028,0.0422254142875461
"SC","MINWND","WND",2029,0.044305208685339
"SC","MINWND","WND",2030,0.0541963766069651
"SC","MINWND","WND",2031,0.0624263831187139
"SC","MINWND","WND",2032,0.0594540684981835
"SC","MINWND","WND",2033,0.0513162333849033
"SC","MINWND","WND",2034,0.0596096908799978
"SC","MINWND","WND",2035,0.050162139322879
"SC","MINWND","WND",2036,0.0527064231527374
"SC","MINWND","WND",2037,0.0686558228432183
"SC","MINWND","WND",2038,0.0742099489622424
"SC","MINWND","WND",2039,0.0686703889962124
"SC","MINWND","WND",2040,0.0686703889962124
"SC","MINWND","WND",2041,0.0676891156113757
"SC","MINWND","WND",2042,0.0760251021291672
"SC","MINWND","WND",2043,0.0683781598833691
"SC","MINWND","WND",2044,0.0430858819176214
"SC","MINWND","WND",2045,0.0432057043907089
"SC","IMPDSL","DSL",2019,0.165
"SC","IMPDSL","DSL",2020,0.1346437554
"SC","IMPDSL","DSL",2021,0.1488723555
"SC","IMPDSL","DSL",2022,0.1549579383
"SC","IMPDSL","DSL",2023,0.170350933500001
