REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","TM01","PWRDIE","DSL",2019,0.16499999472
"SC","TM01","PWRDIE","DSL",2020,0.164636106625859
"SC","TM01","PWRDIE","DSL",2021,0.163704305284789
"SC","TM01","PWRDIE","DSL",2022,0.124223748460008
"SC","TM01","PWRDIE","DSL",2023,0.170350928048771
"SC","TM01","PWRDIE","DSL",2024,0.174484484816496
"SC","TM01","PWRDIE","DSL",2025,0.174484484816496
"SC","TM01","PWRDIE","DSL",2026,0.164980244158055
"SC","TM01","PWRDIE","DSL",2027,0.23091990808636
"SC","TM01","PWRDIE","DSL",2028,0.230999992608
"SC","TM01","PWRDIE","DSL",2029,0.19251591332993
"SC","TM01","PWRDIE","DSL",2030,0.230999992608
"SC","TM01","PWRDIE","DSL",2031,0.0594748457729359
"SC","TM01","PWRDIE","DSL",2032,0.230999992608
"SC","TM01","PWRDIE","DSL",2033,0.0846214621045013
"SC","TM01","PWRDIE","DSL",2034,0.0659999978879997
"SC","TM01","PWRDIE","DSL",2035,0.0659999978879997
"SC","TM01","PWRDIE","DSL",2036,0.0659999978879997
"SC","TM01","PWRWND","WND",2031,0.0297263438020224
"SC","TM01","PWRWND","WND",2033,0.022866418309248
"SC","TM01","PWRWND","WND",2034,0.022866418309248
"SC","TM01","PWRWND","WND",2035,0.022866418309248
"SC","TM01","PWRWND","WND",2036,0.022866418309248
"SC","TM01","PWRWND","WND",2037,0.022866418309248
"SC","TM01","PWRWND","WND",2038,0.022866418309248
"SC","TM01","PWRWND","WND",2039,0.022866418309248
"SC","TM01","PWRWND","WND",2040,0.022866418309248
"SC","TM01","PWRWND","WND",2041,0.022866418309248
"SC","TM01","PWRWND","WND",2042,0.022866418309248
"SC","TM01","PWRWND","WND",2043,0.022866418309248
"SC","TM01","PWRWND","WND",2044,0.0160064928164736
"SC","TM01","PWRWND","WND",2045,0.0160064928164736
"SC","TM01","BAT","ELC001",2039,0.00771139435893079
"SC","TM01","BAT","ELC001",2040,0.00770999170611104
"SC","TM01","BAT","ELC001",2041,0.0627704908189352
"SC","TM01","BAT","ELC001",2042,0.0632177743272305
"SC","TM01","BAT","ELC001",2043,0.0636699564990262
"SC","TM01","BAT","ELC001",2044,0.005337928570758
"SC","TM01","BAT","ELC001",2045,0.0628133977536256
"SC","TM01","BAT","ELC001",2047,0.0589915077871208
"SC","TM01","BAT","ELC001",2049,0.0605051292202636
"SC","TM01","BAT","ELC001",2050,0.0612619399368351
"SC","TM01","DEMRESELC","ELC002",2019,0.0121400560542299
"SC","TM01","DEMRESELC","ELC002",2020,0.0124082178973776
"SC","TM01","DEMRESELC","ELC002",2021,0.012684090759146
"SC","TM01","DEMRESELC","ELC002",2022,0.0129679771146324
"SC","TM01","DEMRESELC","ELC002",2023,0.0131705276169581
"SC","TM01","DEMRESELC","ELC002",2024,0.0136871335206691
"SC","TM01","DEMRESELC","ELC002",2025,0.0142168494737486
"SC","TM01","DEMRESELC","ELC002",2026,0.0145923887785382
"SC","TM01","DEMRESELC","ELC002",2027,0.0149690020196636
"SC","TM01","DEMRESELC","ELC002",2028,0.0153466969836124
"SC","TM01","DEMRESELC","ELC002",2029,0.0157254826547935
"SC","TM01","DEMRESELC","ELC002",2030,0.0161053662207339
"SC","TM01","DEMRESELC","ELC002",2031,0.0162890620426838
"SC","TM01","DEMRESELC","ELC002",2032,0.0164749356853347
"SC","TM01","DEMRESELC","ELC002",2033,0.0166630135029524
"SC","TM01","DEMRESELC","ELC002",2034,0.0168533236466848
"SC","TM01","DEMRESELC","ELC002",2035,0.0170458936687188
"SC","TM01","DEMRESELC","ELC002",2036,0.017240750522281
"SC","TM01","DEMRESELC","ELC002",2037,0.0174379229574796
"SC","TM01","DEMRESELC","ELC002",2038,0.0176374403233835
"SC","TM01","DEMRESELC","ELC002",2039,0.0178393313701009
"SC","TM01","DEMRESELC","ELC002",2040,0.0180436248477402
"SC","TM01","DEMRESELC","ELC002",2041,0.0182503513032913
"SC","TM01","DEMRESELC","ELC002",2042,0.0184595406847836
"SC","TM01","DEMRESELC","ELC002",2043,0.0186712235392073
"SC","TM01","DEMRESELC","ELC002",2044,0.0189237165733511
"SC","TM01","DEMRESELC","ELC002",2045,0.019176209607495
"SC","TM01","DEMRESELC","ELC002",2046,0.0194287020426782
"SC","TM01","DEMRESELC","ELC002",2047,0.0196811950768221
"SC","TM01","DEMRESELC","ELC002",2048,0.0199336881109659
"SC","TM01","DEMRESELC","ELC002",2049,0.0201861811451098
"SC","TM01","DEMRESELC","ELC002",2050,0.0204386741792536
"SC","TM01","DEMCOMELC","ELC002",2019,0.0237605581207306
"SC","TM01","DEMCOMELC","ELC002",2020,0.0177035248430706
"SC","TM01","DEMCOMELC","ELC002",2021,0.0185654956150271
"SC","TM01","DEMCOMELC","ELC002",2022,0.0246755830247641
"SC","TM01","DEMCOMELC","ELC002",2023,0.0251831266547661
"SC","TM01","DEMCOMELC","ELC002",2024,0.0260630524682939
"SC","TM01","DEMCOMELC","ELC002",2025,0.0269441774009207
"SC","TM01","DEMCOMELC","ELC002",2026,0.027809275945072
"SC","TM01","DEMCOMELC","ELC002",2027,0.0286743744892233
"SC","TM01","DEMCOMELC","ELC002",2028,0.0295394736323352
"SC","TM01","DEMCOMELC","ELC002",2029,0.0304045721764865
"SC","TM01","DEMCOMELC","ELC002",2030,0.0312696707206378
