REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRSOL",2037,0.912425261232381
"SC","PWRSOL",2038,0.0909030069229446
"SC","PWRSOL",2039,0.093411386853112
"SC","PWRSOL",2040,0.0957529866123915
"SC","PWRSOL",2041,0.0416598902634219
"SC","PWRSOL",2042,0.111550273372268
"SC","PWRSOL",2043,0.101910968514654
"SC","PWRSOL",2044,2.4167177521641
"SC","PWRSOL",2045,0.172069153038458
"SC","PWRSOL",2046,5.2002043264728
"SC","PWRSOL",2047,0.173317043046612
"SC","PWRSOL",2048,0.173688001689611
"SC","PWRSOL",2049,0.17391167168526
"SC","PWRSOL",2050,1.12816609627535
"SC","PWRSOLDIST",2036,0.0325780164269077
"SC","PWRSOLDIST",2041,0.0844223362381131
"SC","PWRSOLDIST",2046,0.393060934912177
"SC","PWRSOLDIST",2049,0.358744803989175
"STC","PWRSOL",2024,2.08932284657584
"STC","PWRSOL",2030,2.1169536065056
"STC","PWRSOL",2031,0.0463916679346103
"STC","PWRSOL",2032,0.13519813726994
"STC","PWRSOL",2033,0.142599131417101
"STC","PWRSOL",2034,0.149462657309461
"STC","PWRSOL",2035,0.155834557560714
"STC","PWRSOL",2036,0.679345495958743
"STC","PWRSOL",2037,0.167267839721197
"STC","PWRSOL",2038,0.172402473961925
"STC","PWRSOL",2039,0.17719282275921
"STC","PWRSOL",2040,2.27279158747722
"STC","PWRSOL",2041,3.35101113511145
"STC","PWRSOL",2042,0.189778345882362
"STC","PWRSOL",2043,0.193459979469486
"STC","PWRSOL",2044,0.337510074591177
"STC","PWRSOL",2045,0.0988406686457639
"STC","PWRSOL",2047,0.341771645302721
"STC","PWRSOL",2048,1.8638946378669
"STC","PWRSOL",2049,6.75715297592813
"STC","PWRSOL",2050,0.00242212906054567
"STC","PWRSOLDIST",2022,0.0135395695042453
"STC","PWRSOLDIST",2031,0.121253087519175
"STC","PWRSOLDIST",2036,0.194137480271614
"STC","PWRSOLDIST",2041,0.527639601488206
"STC","PWRSOLDIST",2045,0.360782987935653
"STC","PWRSOLDIST",2046,0.511188629517272
"STC","PWRSOLDIST",2049,0.00633004982559554
"STC","PWRSOLDIST",2050,0.0723851795811217
"IS","PWRSOL",2023,0.0134842337311471
"IS","PWRSOL",2024,0.455533087432881
"IS","PWRSOL",2030,0.325392305072595
"IS","PWRSOL",2031,0.0043768084498226
"IS","PWRSOL",2032,0.0206200790410731
"IS","PWRSOL",2033,0.0217495731782464
"IS","PWRSOL",2034,1.33475293503674
"IS","PWRSOL",2035,0.00801670274368766
"IS","PWRSOL",2037,0.0255158226644511
"IS","PWRSOL",2038,0.0263001407313806
"IS","PWRSOL",2039,0.0270316768050659
"IS","PWRSOL",2040,0.0258949867263772
"IS","PWRSOL",2042,0.0289549714049323
"IS","PWRSOL",2043,0.0295177996837324
"IS","PWRSOL",2044,0.0604702068193688
"IS","PWRSOL",2045,0.0593569410219459
"IS","PWRSOL",2047,0.0612337599993868
"IS","PWRSOL",2048,0.061364821504448
"IS","PWRSOL",2049,0.977021996782313
"IS","PWRSOL",2050,0.0406749559736184
"IS","PWRSOLDIST",2026,0.0155260003344042
"IS","PWRSOLDIST",2031,0.0210013523342229
"IS","PWRSOLDIST",2035,0.0220205894421539
"IS","PWRSOLDIST",2036,0.0344906588825344
"IS","PWRSOLDIST",2040,0.00254489476391134
"IS","PWRSOLDIST",2041,0.0396362868637938
"IS","PWRSOLDIST",2045,0.00200719992974484
"IS","PWRSOLDIST",2046,0.0853313452975744
"IS","PWRSOLDIST",2049,0.00553879359739592
"IS","PWRSOLDIST",2050,0.00519266815626074
"FL","PWRSOL",2025,0.0606493198912935
"FL","PWRSOL",2044,0.000987518204687284
"FL","PWRSOL",2045,0.00197883203979211
"FL","PWRSOL",2046,0.00198689836407622
"FL","PWRSOL",2047,0.00199318304162287
"FL","PWRSOL",2048,0.00199744914530992
"FL","PWRSOL",2049,0.00200002139806945
"FL","PWRSOL",2050,0.00241562954708393
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2035,0.000723666145164164
"FL","PWRSOLDIST",2036,0.00127062980837773
"FL","PWRSOLDIST",2037,0.00131376953282995
"FL","PWRSOLDIST",2038,0.00135418260388079
"FL","PWRSOLDIST",2039,0.00139171986259153
"FL","PWRSOLDIST",2040,0.00722566056966729
"FL","PWRSOLDIST",2049,0.000791256228199436
"FL","PWRSOLDIST",2050,0.00708018435918044
