REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00520569438935143
"SC","MINSOL",2020,0.00867430529560329
"SC","MINSOL",2021,0.00700949967444349
"SC","MINSOL",2022,0.0481267526434238
"SC","MINSOL",2023,0.00750387468309585
"SC","MINSOL",2024,0.0051104783209347
"SC","MINSOL",2025,0.0641226739884265
"SC","MINSOL",2026,0.0587771772117174
"SC","MINSOL",2027,0.0452049952102315
"SC","MINSOL",2028,0.0702941502299783
"SC","MINSOL",2029,0.0726828168420548
"SC","MINSOL",2030,0.0726828168420548
"SC","MINSOL",2031,0.0726828168420548
"SC","MINSOL",2032,0.0726828168420548
"SC","MINSOL",2033,0.0771642699652944
"SC","MINSOL",2034,0.0771642699652944
"SC","MINSOL",2035,0.0768120445273187
"SC","MINSOL",2036,0.0776896890225971
"SC","MINSOL",2037,0.0992731496647364
"SC","MINSOL",2038,0.101382622218653
"SC","MINSOL",2039,0.103515164379172
"SC","MINSOL",2040,0.10567104228589
"SC","MINSOL",2041,0.107850512685245
"SC","MINSOL",2042,0.110053851109996
"SC","MINSOL",2043,0.112281317437635
"SC","MINSOL",2044,0.16475361183201
"SC","MINSOL",2045,0.16846978479684
"SC","MINSOL",2046,0.285950241097278
"SC","MINSOL",2047,0.289666414062107
"SC","MINSOL",2048,0.293382587026937
"SC","MINSOL",2049,0.297098759991766
"SC","MINSOL",2050,0.300814932956595
"SC","MINWND",2019,0.0379079165645568
"SC","MINWND",2020,0.043181678161152
"SC","MINWND",2021,0.0579066457733671
"SC","MINWND",2022,0.0608591550345039
"SC","MINWND",2023,0.0613288659680127
"SC","MINWND",2024,0.0619212426812928
"SC","MINWND",2025,0.0619212426812928
"SC","MINWND",2026,0.0645109719592024
"SC","MINWND",2027,0.0913010488767624
"SC","MINWND",2028,0.10223194777126
"SC","MINWND",2029,0.0726487163650981
"SC","MINWND",2030,0.102246784364275
"SC","MINWND",2031,0.102246784364275
"SC","MINWND",2032,0.102246784364275
"SC","MINWND",2033,0.082830529867392
"SC","MINWND",2034,0.0790231622237141
"SC","MINWND",2035,0.0806068868378212
"SC","MINWND",2036,0.0806138346638801
