REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.0022925417329023
"SC","MINSOL",2020,0.00404502122182698
"SC","MINSOL",2021,0.00254526346951694
"SC","MINSOL",2022,0.011050114593728
"SC","MINSOL",2023,0.00328507249948731
"SC","MINSOL",2024,0.00205365484560711
"SC","MINSOL",2025,0.018067625005475
"SC","MINSOL",2026,0.0203362660531483
"SC","MINSOL",2027,0.016030426824579
"SC","MINSOL",2028,0.0240646317767772
"SC","MINSOL",2029,0.0204109579401242
"SC","MINSOL",2030,0.0254992548883766
"SC","MINSOL",2031,0.0250905169943258
"SC","MINSOL",2032,0.0269864022781662
"SC","MINSOL",2033,0.0301175597658624
"SC","MINSOL",2034,0.027880179406358
"SC","MINSOL",2035,0.0270509034874978
"SC","MINSOL",2036,0.0276598269787258
"SC","MINSOL",2037,0.0391643832633655
"SC","MINSOL",2038,0.0400014146584624
"SC","MINSOL",2039,0.0407210048636071
"SC","MINSOL",2040,0.0415690884777456
"SC","MINSOL",2041,0.0383546284872626
"SC","MINSOL",2042,0.0502232096838232
"SC","MINSOL",2043,0.0444316937523878
"SC","MINSOL",2044,0.0620243498123976
"SC","MINSOL",2045,0.0651210750634099
"SC","MINSOL",2046,0.122219009299641
"SC","MINSOL",2047,0.111982743171247
"SC","MINSOL",2048,0.124908486265797
"SC","MINSOL",2049,0.105004058406762
"SC","MINSOL",2050,0.137428613321731
"SC","MINWND",2019,0.0136420643207727
"SC","MINWND",2020,0.0103262241679988
"SC","MINWND",2021,0.0271418386336563
"SC","MINWND",2022,0.0159151710514827
"SC","MINWND",2023,0.0175880838977128
"SC","MINWND",2024,0.01657297542782
"SC","MINWND",2025,0.0235499911896155
"SC","MINWND",2026,0.0264829966394605
"SC","MINWND",2027,0.0304407218111577
"SC","MINWND",2028,0.0422254142875461
"SC","MINWND",2029,0.044305208685339
"SC","MINWND",2030,0.0541963766069651
"SC","MINWND",2031,0.0624263831187139
"SC","MINWND",2032,0.0594540684981835
"SC","MINWND",2033,0.0513162333849033
"SC","MINWND",2034,0.0596096908799978
"SC","MINWND",2035,0.050162139322879
"SC","MINWND",2036,0.0527064231527374
"SC","MINWND",2037,0.0686558228432183
"SC","MINWND",2038,0.0742099489622424
"SC","MINWND",2039,0.0686703889962124
"SC","MINWND",2040,0.0686703889962124
"SC","MINWND",2041,0.0676891156113757
"SC","MINWND",2042,0.0760251021291672
"SC","MINWND",2043,0.0683781598833691
"SC","MINWND",2044,0.0430858819176214
"SC","MINWND",2045,0.0432057043907089
"SC","IMPDSL",2019,0.165
"SC","IMPDSL",2020,0.1346437554
"SC","IMPDSL",2021,0.1488723555
"SC","IMPDSL",2022,0.1549579383
"SC","IMPDSL",2023,0.170350933500001
"SC","IMPDSL",2024,0.174484490400001
"SC","IMPDSL",2025,0.1485
"SC","IMPDSL",2026,0.1485
"SC","IMPDSL",2027,0.1485
"SC","IMPDSL",2028,0.1485
"SC","IMPDSL",2029,0.1485
"SC","IMPDSL",2030,0.066
"SC","IMPDSL",2031,0.066
"SC","IMPDSL",2032,0.0660000000000001
"SC","IMPDSL",2033,0.0660000000000001
"SC","IMPDSL",2034,0.0659999999999999
"SC","IMPDSL",2035,0.0659999999999999
"SC","IMPDSL",2036,0.0659999999999999
"SC","PWRDIE",2019,0.05
"SC","PWRDIE",2020,0.040801138
"SC","PWRDIE",2021,0.0451128350000001
"SC","PWRDIE",2022,0.046956951
"SC","PWRDIE",2023,0.0516214950000002
"SC","PWRDIE",2024,0.052874088
"SC","PWRDIE",2025,0.0449999999999999
"SC","PWRDIE",2026,0.045
"SC","PWRDIE",2027,0.045
"SC","PWRDIE",2028,0.0449999999999999
"SC","PWRDIE",2029,0.0449999999999999
"SC","PWRDIE",2030,0.02
"SC","PWRDIE",2031,0.02
"SC","PWRDIE",2032,0.02
"SC","PWRDIE",2033,0.02
"SC","PWRDIE",2034,0.02
"SC","PWRDIE",2035,0.02
"SC","PWRDIE",2036,0.0199999999999999
"SC","PWRWND",2019,0.008249
"SC","PWRWND",2020,0.007759
"SC","PWRWND",2021,0.005322
"SC","PWRWND",2022,0.009749
"SC","PWRWND",2023,0.010723
"SC","PWRWND",2024,0.011796
"SC","PWRWND",2025,0.00949126759220249
"SC","PWRWND",2026,0.0124017620834502
"SC","PWRWND",2027,0.0195067204524771
"SC","PWRWND",2028,0.0156278484935129
"SC","PWRWND",2029,0.0171873893007604
"SC","PWRWND",2030,0.0361720544352166
"SC","PWRWND",2031,0.0397283977688986
"SC","PWRWND",2032,0.0384881673128106
"SC","PWRWND",2033,0.0372712588862269
"SC","PWRWND",2034,0.0395072603568618
"SC","PWRWND",2035,0.0408935413227237
"SC","PWRWND",2036,0.0381328853121773
"SC","PWRWND",2037,0.051905971479695
"SC","PWRWND",2038,0.051905971479695
"SC","PWRWND",2039,0.051905971479695
"SC","PWRWND",2040,0.051905971479695
"SC","PWRWND",2041,0.051905971479695
"SC","PWRWND",2042,0.051905971479695
"SC","PWRWND",2043,0.051905971479695
"SC","PWRWND",2044,0.0363341800357865
"SC","PWRWND",2045,0.0363341800357865
"SC","PWRSOL",2019,5.7e-05
"SC","PWRSOL",2020,8.1e-05
"SC","PWRSOL",2021,0.000106
"SC","PWRSOL",2022,0.00451
"SC","PWRSOL",2023,5.7e-05
"SC","PWRSOL",2024,6.3e-05
"SC","PWRSOL",2025,0.0133363176130285
"SC","PWRSOL",2026,0.0118806755303593
"SC","PWRSOL",2027,0.00754521797759164
"SC","PWRSOL",2028,0.0133202046062291
"SC","PWRSOL",2029,0.0137241539269458
"SC","PWRSOL",2030,0.021471063296037
"SC","PWRSOL",2031,0.0187719878663283
"SC","PWRSOL",2032,0.0207981230304088
"SC","PWRSOL",2033,0.0221522427005506
"SC","PWRSOL",2034,0.0206235622861749
"SC","PWRSOL",2035,0.0198807730261422
"SC","PWRSOL",2036,0.023012630687823
"SC","PWRSOL",2037,0.029905983520305
"SC","PWRSOL",2038,0.030579709520305
"SC","PWRSOL",2039,0.031260803520305
"SC","PWRSOL",2040,0.031949350520305
"SC","PWRSOL",2041,0.032245432520305
"SC","PWRSOL",2042,0.032949137520305
"SC","PWRSOL",2043,0.033660548520305
"SC","PWRSOL",2044,0.0504192159642134
"SC","PWRSOL",2045,0.0516060919642134
"SC","PWRSOL",2046,0.087327148
"SC","PWRSOL",2047,0.088514024
"SC","PWRSOL",2048,0.0897009
"SC","PWRSOL",2049,0.090887776
"SC","PWRSOL",2050,0.092074652
"SC","BAT",2019,0.00670337070466877
"SC","BAT",2020,0.00344353790342778
"SC","BAT",2021,0.00636632406906127
"SC","BAT",2022,0.0025503897041227
"SC","BAT",2023,0.00554817230297411
"SC","BAT",2024,0.00599703058706579
"SC","BAT",2025,0.00326831749945487
"SC","BAT",2026,0.00364186715608759
"SC","BAT",2027,0.00368580249322509
"SC","BAT",2028,0.00503795272682217
"SC","BAT",2029,0.00426845652966011
"SC","BAT",2030,0.00743600602012364
"SC","BAT",2031,0.00840457220423387
"SC","BAT",2032,0.00827688145723752
"SC","BAT",2033,0.0127273489085734
"SC","BAT",2034,0.0171625662085346
"SC","BAT",2035,0.0174922365459937
"SC","BAT",2036,0.0177815523767693
"SC","BAT",2037,0.025318354166008
"SC","BAT",2038,0.0255147045725786
"SC","BAT",2039,0.0335675292053067
"SC","BAT",2040,0.0338385391850455
"SC","BAT",2041,0.0371549274212722
"SC","BAT",2042,0.0829594108115957
"SC","BAT",2043,0.0544328904493514
"SC","BAT",2044,0.045140641742949
"SC","BAT",2045,0.0507055781094687
"SC","BAT",2046,0.0765193926861299
"SC","BAT",2047,0.0658965509571613
"SC","BAT",2048,0.0753586638264376
"SC","BAT",2049,0.0705733212106636
"SC","BAT",2050,0.0981640070036529
"SC","DEMRESELC",2019,0.0202685390608056
"SC","DEMRESELC",2020,0.0207162510621487
"SC","DEMRESELC",2021,0.0211768370635305
"SC","DEMRESELC",2022,0.0216508020649524
"SC","DEMRESELC",2023,0.0219889720659669
"SC","DEMRESELC",2024,0.0228514760685544
"SC","DEMRESELC",2025,0.0237358680712076
"SC","DEMRESELC",2026,0.0243628530730885
"SC","DEMRESELC",2027,0.0249916310749749
"SC","DEMRESELC",2028,0.0256222150768666
"SC","DEMRESELC",2029,0.0262546200787638
"SC","DEMRESELC",2030,0.0268888580806666
"SC","DEMRESELC",2031,0.0271955490815866
"SC","DEMRESELC",2032,0.0275058760825176
"SC","DEMRESELC",2033,0.0278198830834596
"SC","DEMRESELC",2034,0.0281376170844128
"SC","DEMRESELC",2035,0.0284591240853774
"SC","DEMRESELC",2036,0.0287844490863533
"SC","DEMRESELC",2037,0.0291136400873409
"SC","DEMRESELC",2038,0.0294467460883402
"SC","DEMRESELC",2039,0.0297838150893515
"SC","DEMRESELC",2040,0.0301248950903747
"SC","DEMRESELC",2041,0.0304700370914101
"SC","DEMRESELC",2042,0.0308192910924579
"SC","DEMRESELC",2043,0.0311727080935181
"SC","DEMRESELC",2044,0.0315942600947828
"SC","DEMRESELC",2045,0.0320158120960474
"SC","DEMRESELC",2046,0.0324373630973121
"SC","DEMRESELC",2047,0.0328589150985767
"SC","DEMRESELC",2048,0.0332804670998414
"SC","DEMRESELC",2049,0.0339663698181676
"SC","DEMRESELC",2050,0.0341235711023707
"SC","DEMCOMELC",2019,0.0396696521190089
"SC","DEMCOMELC",2020,0.0295570780886712
"SC","DEMCOMELC",2021,0.0309961890929886
"SC","DEMCOMELC",2022,0.041197340123592
"SC","DEMCOMELC",2023,0.0420447141261341
"SC","DEMCOMELC",2024,0.0435138021305414
"SC","DEMCOMELC",2025,0.0449848921349547
"SC","DEMCOMELC",2026,0.0464292251392877
"SC","DEMCOMELC",2027,0.0478735581436207
"SC","DEMCOMELC",2028,0.0493178921479537
"SC","DEMCOMELC",2029,0.0507622251522867
"SC","DEMCOMELC",2030,0.0522065581566197
"SC","DEMCOMELC",2031,0.0525242611575728
"SC","DEMCOMELC",2032,0.0528451401585354
"SC","DEMCOMELC",2033,0.0531692281595077
"SC","DEMCOMELC",2034,0.0534965571604897
"SC","DEMCOMELC",2035,0.0538271591614815
"SC","DEMCOMELC",2036,0.0541610671624832
"SC","DEMCOMELC",2037,0.054498315163495
"SC","DEMCOMELC",2038,0.0548389341645168
"SC","DEMCOMELC",2039,0.0551829601655489
"SC","DEMCOMELC",2040,0.0555304271665913
"SC","DEMCOMELC",2041,0.0558813671676441
"SC","DEMCOMELC",2042,0.0562358181687075
"SC","DEMCOMELC",2043,0.0565938131697815
"SC","DEMCOMELC",2044,0.0573591371720774
"SC","DEMCOMELC",2045,0.0581244611743734
"SC","DEMCOMELC",2046,0.0588897851766693
"SC","DEMCOMELC",2047,0.0596551091789653
"SC","DEMCOMELC",2048,0.0604204331812613
"SC","DEMCOMELC",2049,0.0611857571835573
"SC","DEMCOMELC",2050,0.0619510811858532
"SC","PWRDIST",2019,0.0599381911798146
"SC","PWRDIST",2020,0.05027332915082
"SC","PWRDIST",2021,0.0521730261565191
"SC","PWRDIST",2022,0.0628481421885444
"SC","PWRDIST",2023,0.064033686192101
"SC","PWRDIST",2024,0.0663652781990959
"SC","PWRDIST",2025,0.0687207602061623
"SC","PWRDIST",2026,0.0707920782123762
"SC","PWRDIST",2027,0.0728651892185956
"SC","PWRDIST",2028,0.0749401072248203
"SC","PWRDIST",2029,0.0770168452310506
"SC","PWRDIST",2030,0.0790954162372862
"SC","PWRDIST",2031,0.0797198102391595
"SC","PWRDIST",2032,0.0803510162410531
"SC","PWRDIST",2033,0.0809891112429673
"SC","PWRDIST",2034,0.0816341742449025
"SC","PWRDIST",2035,0.0822862832468588
"SC","PWRDIST",2036,0.0829455162488366
"SC","PWRDIST",2037,0.0836119552508358
"SC","PWRDIST",2038,0.0842856802528571
"SC","PWRDIST",2039,0.0900670278515975
"SC","PWRDIST",2040,0.0911501787453151
"SC","PWRDIST",2041,0.0863514042590543
"SC","PWRDIST",2042,0.0987425410958503
"SC","PWRDIST",2043,0.0877665212632995
"SC","PWRDIST",2044,0.0974108411870114
"SC","PWRDIST",2045,0.0913135337455127
"SC","PWRDIST",2046,0.114037208332208
"SC","PWRDIST",2047,0.0946263764494207
"SC","PWRDIST",2048,0.113470493640654
"SC","PWRDIST",2049,0.0951521270017249
"SC","PWRDIST",2050,0.11897048455041
"SC","PWRSOLDIST",2019,0.00163219099999996
"SC","PWRSOLDIST",2020,0.00163219099999996
"SC","PWRSOLDIST",2021,0.00163219099999996
"SC","PWRSOLDIST",2022,0.00163219099999996
"SC","PWRSOLDIST",2023,0.00163219099999996
"SC","PWRSOLDIST",2024,0.00163219099999996
"SC","PWRSOLDIST",2025,0.000893174794769101
"SC","PWRSOLDIST",2026,0.00150964038619059
"SC","PWRSOLDIST",2027,0.000813250569931209
"SC","PWRSOLDIST",2028,0.000992053900257967
"SC","PWRSOLDIST",2029,0.00110530177229378
"SC","PWRSOLDIST",2030,0.00145229826874641
"SC","PWRSOLDIST",2031,0.00121942336477322
"SC","PWRSOLDIST",2032,0.00106472565678074
"SC","PWRSOLDIST",2033,0.00156560941322258
"SC","PWRSOLDIST",2034,0.00150335135696363
"SC","PWRSOLDIST",2035,0.00151196865113406
"SC","PWRSOLDIST",2036,0.0018
"SC","PWRSOLDIST",2037,0.0018
"SC","PWRSOLDIST",2038,0.0018
"SC","PWRSOLDIST",2039,0.0018
"SC","PWRSOLDIST",2040,0.0018
"SC","PWRSOLDIST",2041,0.0022
"SC","PWRSOLDIST",2042,0.0022
"SC","PWRSOLDIST",2043,0.0022
"SC","PWRSOLDIST",2044,0.0022
"SC","PWRSOLDIST",2045,0.0022
"SC","PWRSOLDIST",2046,0.004
"SC","PWRSOLDIST",2047,0.004
"SC","PWRSOLDIST",2048,0.004
"SC","PWRSOLDIST",2049,0.004
"SC","PWRSOLDIST",2050,0.004
"SC","IMPLPG",2019,2.7e-05
"SC","IMPLPG",2020,2.4e-05
"SC","IMPLPG",2021,2.5e-05
"SC","IMPLPG",2022,2.9e-05
"SC","IMPLPG",2023,2.9e-05
"SC","IMPLPG",2024,3e-05
"SC","IMPLPG",2025,3.2e-05
"SC","IMPLPG",2026,3.3e-05
"SC","IMPLPG",2027,3.3e-05
"SC","IMPLPG",2028,3.4e-05
"SC","IMPLPG",2029,3.5e-05
"SC","IMPLPG",2030,3.6e-05
"SC","IMPLPG",2031,3.6e-05
"SC","IMPLPG",2032,3.7e-05
"SC","IMPLPG",2033,3.7e-05
"SC","IMPLPG",2034,3.7e-05
"SC","IMPLPG",2035,3.8e-05
"SC","IMPLPG",2036,3.8e-05
"SC","IMPLPG",2037,3.8e-05
"SC","IMPLPG",2038,3.9e-05
"SC","IMPLPG",2039,3.9e-05
"SC","IMPLPG",2040,3.9e-05
"SC","IMPLPG",2041,4e-05
"SC","IMPLPG",2042,4e-05
"SC","IMPLPG",2043,4e-05
"SC","IMPLPG",2044,4.1e-05
"SC","IMPLPG",2045,4.1e-05
"SC","IMPLPG",2046,4.1e-05
"SC","IMPLPG",2047,4.2e-05
"SC","IMPLPG",2048,4.2e-05
"SC","IMPLPG",2049,4.2e-05
"SC","IMPLPG",2050,4.3e-05
"SC","CONLPG",2019,2.7e-05
"SC","CONLPG",2020,2.4e-05
"SC","CONLPG",2021,2.5e-05
"SC","CONLPG",2022,2.9e-05
"SC","CONLPG",2023,2.9e-05
"SC","CONLPG",2024,3e-05
"SC","CONLPG",2025,3.2e-05
"SC","CONLPG",2026,3.3e-05
"SC","CONLPG",2027,3.3e-05
"SC","CONLPG",2028,3.4e-05
"SC","CONLPG",2029,3.5e-05
"SC","CONLPG",2030,3.6e-05
"SC","CONLPG",2031,3.6e-05
"SC","CONLPG",2032,3.7e-05
"SC","CONLPG",2033,3.7e-05
"SC","CONLPG",2034,3.7e-05
"SC","CONLPG",2035,3.8e-05
"SC","CONLPG",2036,3.8e-05
