REGION,TECHNOLOGY,VALUE
"SC","MINSOL",1.33761997829013
"SC","MINWND",1.23665251880707
"SC","IMPDSL",2.15280947309998
"SC","PWRDIE",0.652366506999999
"SC","PWRWND",0.834016713746757
"SC","PWRSOL",0.98447172611818
"SC","BAT",0.914936896745658
"SC","DEMRESELC",0.889619312385126
"SC","DEMCOMELC",1.64492393893477
"SC","PWRDIST",2.63394433448672
"SC","PWRSOLDIST",0.0634239441350631
"SC","IMPLPG",0.001157
"SC","CONLPG",0.001157
"STC","MINSOL",2.94964808636259
"STC","MINWND",1.52517535742102
"STC","IMPDSL",4.45843752745943
"STC","PWRDIE",1.3510416749877
"STC","PWRWND",1.14719926483565
"STC","PWRSOL",2.39686689161834
"STC","BAT",2.15960999675822
"STC","DEMRESELC",2.00967434484972
"STC","DEMCOMELC",2.98279300952237
"STC","PWRDIST",5.47887150691377
"STC","PWRSOLDIST",0.097148209558315
"STC","IMPLPG",0.002498
"STC","CONLPG",0.002498
"IS","MINSOL",0.870078282289466
"IS","IMPDSL",0.636671914962849
"IS","PWRDIE",0.192930883322076
"IS","PWRSOL",0.626315299724754
"IS","BAT",0.447135005251213
"IS","DEMRESELC",0.296394806380836
"IS","DEMCOMELC",0.538498496895857
"IS","PWRDIST",0.862908945832978
"IS","PWRSOLDIST",0.0154596329531712
"IS","IMPLPG",0.000387999999999998
"IS","CONLPG",0.000387999999999998
"FL","MINSOL",0.0330464429958007
"FL","IMPDSL",0.0186506447876533
"FL","PWRDIE",0.00565171054171312
"FL","PWRSOL",0.0208344580906876
"FL","BAT",0.00138825890754038
"FL","DEMCOMELC",0.000794556915744401
"FL","PWRDIST",0.00331833225443963
"FL","PWRSOLDIST",0.00313289936759927
"FL","IMPLPG",1.927e-05
"FL","CONLPG",1.927e-05
