REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","TM01","PWRDIE","DSL",2019,0.00171875
"SC","TM01","PWRDIE","DSL",2020,0.00171495949889806
"SC","TM01","PWRDIE","DSL",2021,0.00170525323461799
"SC","TM01","PWRDIE","DSL",2022,0.00129399742119967
"SC","TM01","PWRDIE","DSL",2023,0.001774488890625
"SC","TM01","PWRDIE","DSL",2024,0.001817546775
"SC","TM01","PWRDIE","DSL",2025,0.001817546775
"SC","TM01","PWRDIE","DSL",2026,0.00171854426497315
"SC","TM01","PWRDIE","DSL",2027,0.00240541578620622
"SC","TM01","PWRDIE","DSL",2028,0.00240625
"SC","TM01","PWRDIE","DSL",2029,0.00200537416135874
"SC","TM01","PWRDIE","DSL",2030,0.00240624999999999
"SC","TM01","PWRDIE","DSL",2031,0.000619529663293031
"SC","TM01","PWRDIE","DSL",2032,0.00240625
"SC","TM01","PWRDIE","DSL",2033,0.00088147359179571
"SC","TM01","PWRDIE","DSL",2034,0.000687499999999997
"SC","TM01","PWRDIE","DSL",2035,0.000687499999999996
"SC","TM01","PWRDIE","DSL",2036,0.000687499999999996
"SC","TM01","PWRWND","WND",2031,0.000309649424513181
"SC","TM01","PWRWND","WND",2033,0.000238191865010139
"SC","TM01","PWRWND","WND",2034,0.000238191865010139
"SC","TM01","PWRWND","WND",2035,0.000238191865010139
"SC","TM01","PWRWND","WND",2036,0.000238191865010139
"SC","TM01","PWRWND","WND",2037,0.000238191865010139
"SC","TM01","PWRWND","WND",2038,0.000238191865010139
"SC","TM01","PWRWND","WND",2039,0.000238191865010139
"SC","TM01","PWRWND","WND",2040,0.000238191865010139
"SC","TM01","PWRWND","WND",2041,0.000238191865010139
"SC","TM01","PWRWND","WND",2042,0.000238191865010139
"SC","TM01","PWRWND","WND",2043,0.000238191865010139
"SC","TM01","PWRWND","WND",2044,0.000166734305507098
"SC","TM01","PWRWND","WND",2045,0.000166734305507098
"SC","TM01","BAT","ELC001",2039,8.03270271426605e-05
"SC","TM01","BAT","ELC001",2040,8.03124161753206e-05
"SC","TM01","BAT","ELC001",2041,0.000653859300287405
"SC","TM01","BAT","ELC001",2042,0.000658518503647909
"SC","TM01","BAT","ELC001",2043,0.000663228734754842
"SC","TM01","BAT","ELC001",2044,5.5603424391372e-05
"SC","TM01","BAT","ELC001",2045,0.000654306247538065
"SC","TM01","BAT","ELC001",2047,0.000614494892446344
"SC","TM01","BAT","ELC001",2049,0.000630261782879456
"SC","TM01","BAT","ELC001",2050,0.000638145228096012
"SC","TM01","DEMRESELC","ELC002",2019,0.000126458921278247
"SC","TM01","DEMRESELC","ELC002",2020,0.000129252273900423
"SC","TM01","DEMRESELC","ELC002",2021,0.000132125949635801
"SC","TM01","DEMRESELC","ELC002",2022,0.000135083099266746
"SC","TM01","DEMRESELC","ELC002",2023,0.000137193000400156
"SC","TM01","DEMRESELC","ELC002",2024,0.000142574312069348
"SC","TM01","DEMRESELC","ELC002",2025,0.000148092186757164
"SC","TM01","DEMRESELC","ELC002",2026,0.000152004054640569
"SC","TM01","DEMRESELC","ELC002",2027,0.000155927109361163
"SC","TM01","DEMRESELC","ELC002",2028,0.000159861432028195
"SC","TM01","DEMRESELC","ELC002",2029,0.00016380711622926
"SC","TM01","DEMRESELC","ELC002",2030,0.000167764236834434
"SC","TM01","DEMRESELC","ELC002",2031,0.000169677735040977
"SC","TM01","DEMRESELC","ELC002",2032,0.000171613918880548
"SC","TM01","DEMRESELC","ELC002",2033,0.000173573062876759
"SC","TM01","DEMRESELC","ELC002",2034,0.000175555460270741
"SC","TM01","DEMRESELC","ELC002",2035,0.000177561398064452
"SC","TM01","DEMRESELC","ELC002",2036,0.000179591157020677
"SC","TM01","DEMRESELC","ELC002",2037,0.00018164503661972
"SC","TM01","DEMRESELC","ELC002",2038,0.000183723342581058
"SC","TM01","DEMRESELC","ELC002",2039,0.000185826374384995
"SC","TM01","DEMRESELC","ELC002",2040,0.000187954431511835
"SC","TM01","DEMRESELC","ELC002",2041,0.000190107832159401
"SC","TM01","DEMRESELC","ELC002",2042,0.000192286888286343
"SC","TM01","DEMRESELC","ELC002",2043,0.000194491918090484
"SC","TM01","DEMRESELC","ELC002",2044,0.00019712205394698
"SC","TM01","DEMRESELC","ELC002",2045,0.000199752189803476
"SC","TM01","DEMRESELC","ELC002",2046,0.000202382319420799
"SC","TM01","DEMRESELC","ELC002",2047,0.000205012455277295
"SC","TM01","DEMRESELC","ELC002",2048,0.000207642591133791
"SC","TM01","DEMRESELC","ELC002",2049,0.000210272726990287
"SC","TM01","DEMRESELC","ELC002",2050,0.000212902862846783
"SC","TM01","DEMCOMELC","ELC002",2019,0.000247505821677796
"SC","TM01","DEMCOMELC","ELC002",2020,0.000184411723016494
"SC","TM01","DEMCOMELC","ELC002",2021,0.000193390585511697
"SC","TM01","DEMCOMELC","ELC002",2022,0.00025703733139982
"SC","TM01","DEMCOMELC","ELC002",2023,0.000262324244381522
"SC","TM01","DEMCOMELC","ELC002",2024,0.000271490138565746
"SC","TM01","DEMCOMELC","ELC002",2025,0.000280668523574316
"SC","TM01","DEMCOMELC","ELC002",2026,0.000289679967030925
"SC","TM01","DEMCOMELC","ELC002",2027,0.000298691410487534
"SC","TM01","DEMCOMELC","ELC002",2028,0.000307702860183316
"SC","TM01","DEMCOMELC","ELC002",2029,0.000316714303639925
"SC","TM01","DEMCOMELC","ELC002",2030,0.000325725747096534
"SC","TM01","DEMCOMELC","ELC002",2031,0.000327707951076153
"SC","TM01","DEMCOMELC","ELC002",2032,0.00032970997066922
"SC","TM01","DEMCOMELC","ELC002",2033,0.000331732011768444
"SC","TM01","DEMCOMELC","ELC002",2034,0.000333774274027361
"SC","TM01","DEMCOMELC","ELC002",2035,0.000335836957099507
"SC","TM01","DEMCOMELC","ELC002",2036,0.000337920266877591
"SC","TM01","DEMCOMELC","ELC002",2037,0.000340024415493495
"SC","TM01","DEMCOMELC","ELC002",2038,0.000342149596361582
"SC","TM01","DEMCOMELC","ELC002",2039,0.00034429603409208
"SC","TM01","DEMCOMELC","ELC002",2040,0.000346463940816871
"SC","TM01","DEMCOMELC","ELC002",2041,0.000348653516189491
"SC","TM01","DEMCOMELC","ELC002",2042,0.000350864997298514
"SC","TM01","DEMCOMELC","ELC002",2043,0.000353098590036649
"SC","TM01","DEMCOMELC","ELC002",2044,0.000357873578873701
"SC","TM01","DEMCOMELC","ELC002",2045,0.000362648567710753
"SC","TM01","DEMCOMELC","ELC002",2046,0.000367423556547805
"SC","TM01","DEMCOMELC","ELC002",2047,0.000372198545384857
"SC","TM01","DEMCOMELC","ELC002",2048,0.000376973534221909
"SC","TM01","DEMCOMELC","ELC002",2049,0.000381748523058961
"SC","TM01","DEMCOMELC","ELC002",2050,0.000386523511896013
"SC","TM01","PWRDIST","ELC001",2019,0.000373964742956043
"SC","TM01","PWRDIST","ELC001",2020,0.000313663996916917
"SC","TM01","PWRDIST","ELC001",2021,0.000325516535147498
"SC","TM01","PWRDIST","ELC001",2022,0.000392120430666566
"SC","TM01","PWRDIST","ELC001",2023,0.000399517244781678
"SC","TM01","PWRDIST","ELC001",2024,0.000414064450635094
"SC","TM01","PWRDIST","ELC001",2025,0.00042876071033148
"SC","TM01","PWRDIST","ELC001",2026,0.000441684021671494
