REGION,EMISSION,YEAR,VALUE
"SC","CO2",2019,1.3497
"SC","CO2",2020,1.07976
"SC","CO2",2021,1.17400523196
"SC","CO2",2022,1.223785299264
"SC","CO2",2023,1.3497
"SC","CO2",2024,1.383512495442
"SC","CO2",2025,1.21473
"SC","CO2",2026,1.21473
"SC","CO2",2027,1.21473
"SC","CO2",2028,1.21473
"SC","CO2",2029,1.21473
"SC","CO2",2030,0.53988
"SC","CO2",2031,0.53988
"SC","CO2",2032,0.53988
"SC","CO2",2033,0.53988
"SC","CO2",2034,0.539879999999999
"SC","CO2",2035,0.539879999999999
"SC","CO2",2036,0.539879999999999
"STC","CO2",2019,2.63893344
"STC","CO2",2020,2.069683968
"STC","CO2",2021,2.530849464
"STC","CO2",2022,2.878504029258
"STC","CO2",2023,2.878504029258
"STC","CO2",2024,2.42946
"STC","CO2",2025,2.510442
"STC","CO2",2026,2.510442
"STC","CO2",2027,2.510442
"STC","CO2",2028,2.51044199999999
"STC","CO2",2029,2.51044199999999
"STC","CO2",2030,0.80982
"STC","CO2",2031,0.80982
"STC","CO2",2032,0.80982
"STC","CO2",2033,0.80982
"STC","CO2",2034,0.809820000000002
"STC","CO2",2035,0.809820000000001
"STC","CO2",2036,0.674850000000001
"STC","CO2",2037,0.67485
"STC","CO2",2038,0.67485
"STC","CO2",2039,0.674849999999999
"STC","CO2",2040,0.67485
"IS","CO2",2019,0.360734076054
"IS","CO2",2020,0.228303617586
"IS","CO2",2021,0.242946
"IS","CO2",2022,0.396183865572
"IS","CO2",2023,0.387441183822
"IS","CO2",2024,0.40491
"IS","CO2",2025,0.40491
"IS","CO2",2026,0.40491
"IS","CO2",2027,0.40491
"IS","CO2",2028,0.40491
"IS","CO2",2029,0.40491
"IS","CO2",2030,0.40491
"IS","CO2",2031,0.40491
"IS","CO2",2032,0.40491
"IS","CO2",2033,0.40491
"FL","CO2",2019,0.0161964
"FL","CO2",2020,0.0115320486283347
"FL","CO2",2021,0.013497
"FL","CO2",2022,0.0174877078543347
"FL","CO2",2023,0.0178567158343347
"FL","CO2",2024,0.0188958
"FL","CO2",2025,0.0188958
"FL","CO2",2026,0.0188958
"FL","CO2",2027,0.0188958
