REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0055416164886237
"SC","PWRWEC",2031,0.0113724231413955
"SC","PWRWEC",2032,0.0143528352851722
"SC","PWRWEC",2033,0.0156502932444786
"SC","PWRWEC",2034,0.0767649586382738
"SC","PWRWEC",2035,0.158745
"SC","PWRWEC",2036,0.15561
"SC","PWRWEC",2037,0.15246
"SC","PWRWEC",2038,0.149325
"SC","PWRWEC",2039,0.146175
"SC","PWRWEC",2040,0.28605
"SC","PWRWEC",2041,0.27975
"SC","PWRWEC",2042,0.27342
"SC","PWRWEC",2043,0.26712
"SC","PWRWEC",2044,0.26079
"SC","PWRWEC",2045,0.42415
"SC","PWRWEC",2046,0.41355
"SC","PWRWEC",2047,0.403
"SC","PWRWEC",2048,0.39245
"SC","PWRWEC",2049,0.38185
"SC","PWRWEC",2050,0.4455
"SC","PWRDIE",2019,0.19818619355657
"SC","PWRDIE",2020,0.19818619355657
"SC","PWRDIE",2021,0.19818619355657
"SC","PWRDIE",2022,0.19818619355657
"SC","PWRDIE",2023,0.19818619355657
"SC","PWRDIE",2024,0.203151126331482
"SC","PWRDIE",2025,0.203151126331482
"SC","PWRDIE",2026,0.277460670979199
"SC","PWRDIE",2027,0.277460670979199
"SC","PWRDIE",2028,0.277460670979199
"SC","PWRDIE",2029,0.277460670979199
"SC","PWRDIE",2030,0.277460670979199
"SC","PWRDIE",2031,0.277460670979199
"SC","PWRDIE",2032,0.277460670979199
"SC","PWRDIE",2033,0.277460670979199
"SC","PWRDIE",2034,0.0792744774226282
"SC","PWRDIE",2035,0.0792744774226282
"SC","PWRDIE",2036,0.0792744774226282
"SC","PWRDIE",2037,0.0792744774226282
"SC","PWRDIE",2038,0.0792744774226282
"SC","PWRDIE",2039,0.0743095446477161
"SC","PWRDIE",2040,0.0743095446477161
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0367020192
"SC","PWRSOL",2038,0.0364898688
"SC","PWRSOL",2039,0.0362777184
"SC","PWRSOL",2040,0.036065568
"SC","PWRSOL",2041,0.0358534176
"SC","PWRSOL",2042,0.0355152672
"SC","PWRSOL",2043,0.0353038668
"SC","PWRSOL",2044,0.0432714079291179
"SC","PWRSOL",2045,0.0430107367970147
"SC","PWRSOL",2046,0.080015435781239
"SC","PWRSOL",2047,0.0813110262112818
"SC","PWRSOL",2048,0.0825847333354509
"SC","PWRSOL",2049,0.085697325198355
"SC","PWRSOL",2050,0.0765464728159283
"SC","PWRSOLDIST",2019,0.00436361638462265
"SC","PWRSOLDIST",2020,0.00628111074095216
"SC","PWRSOLDIST",2021,0.00809873129453705
"SC","PWRSOLDIST",2022,0.00779877828362827
"SC","PWRSOLDIST",2023,0.00749882527271949
"SC","PWRSOLDIST",2024,0.00719887226181071
"SC","PWRSOLDIST",2025,0.00689891925090193
"SC","PWRSOLDIST",2026,0.00659896623999315
"SC","PWRSOLDIST",2027,0.00629901322908437
"SC","PWRSOLDIST",2028,0.00599906021817559
"SC","PWRSOLDIST",2029,0.00569910720726681
"SC","PWRSOLDIST",2030,0.00539915419635803
"SC","PWRSOLDIST",2031,0.00536915889526716
"SC","PWRSOLDIST",2032,0.00533916359417628
"SC","PWRSOLDIST",2033,0.0053091682930854
"SC","PWRSOLDIST",2034,0.00527917299199452
"SC","PWRSOLDIST",2035,0.00524917769090364
"SC","PWRSOLDIST",2036,0.00521918238981277
"SC","PWRSOLDIST",2037,0.00518918708872189
"SC","PWRSOLDIST",2038,0.00515919178763101
"SC","PWRSOLDIST",2039,0.00512919648654013
"SC","PWRSOLDIST",2040,0.00509920118544925
"SC","PWRSOLDIST",2041,0.00506920588435838
"SC","PWRSOLDIST",2042,0.0050392105832675
"SC","PWRSOLDIST",2043,0.00500921528217662
"SC","PWRSOLDIST",2044,0.00497921998108574
"SC","PWRSOLDIST",2045,0.00494922467999487
"SC","PWRSOLDIST",2046,0.00491922937890399
"SC","PWRSOLDIST",2047,0.00488923407781311
"SC","PWRSOLDIST",2048,0.00485923877672223
"SC","PWRSOLDIST",2049,0.00296847543102263
"SC","PWRSOLDIST",2050,0.00295003769542622
"STC","PWRWEC",2030,0.00992617217414758
"STC","PWRWEC",2031,0.0146216868960799
"STC","PWRWEC",2032,0.0159475947613025
"STC","PWRWEC",2033,0.078251466222393
"STC","PWRWEC",2034,0.138176925548893
"STC","PWRWEC",2035,0.31749
"STC","PWRWEC",2036,0.31122
"STC","PWRWEC",2037,0.30492
"STC","PWRWEC",2038,0.29865
"STC","PWRWEC",2039,0.29235
"STC","PWRWEC",2040,0.5721
"STC","PWRWEC",2041,0.5595
"STC","PWRWEC",2042,0.54684
"STC","PWRWEC",2043,0.53424
"STC","PWRWEC",2044,0.52158
"STC","PWRWEC",2045,0.76347
"STC","PWRWEC",2046,0.74439
"STC","PWRWEC",2047,0.7254
"STC","PWRWEC",2048,0.70641
"STC","PWRWEC",2049,0.68733
"STC","PWRWEC",2050,0.891
"STC","PWRDIE",2019,0.309994916513446
"STC","PWRDIE",2020,0.309994916513446
"STC","PWRDIE",2021,0.309994916513446
"STC","PWRDIE",2022,0.338137219646378
"STC","PWRDIE",2023,0.338137219646378
