REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
"SC","IMPDSL","CO2",1,2019,1.3497
"SC","IMPDSL","CO2",1,2020,1.07976
"SC","IMPDSL","CO2",1,2021,1.17400523196
"SC","IMPDSL","CO2",1,2022,1.223785299264
"SC","IMPDSL","CO2",1,2023,1.3497
"SC","IMPDSL","CO2",1,2024,1.383512495442
"SC","IMPDSL","CO2",1,2025,1.21473
"SC","IMPDSL","CO2",1,2026,1.21473
"SC","IMPDSL","CO2",1,2027,1.21473
"SC","IMPDSL","CO2",1,2028,1.21473
"SC","IMPDSL","CO2",1,2029,1.21473
"SC","IMPDSL","CO2",1,2030,0.53988
"SC","IMPDSL","CO2",1,2031,0.53988
"SC","IMPDSL","CO2",1,2032,0.53988
"SC","IMPDSL","CO2",1,2033,0.53988
"SC","IMPDSL","CO2",1,2034,0.539879999999999
"SC","IMPDSL","CO2",1,2035,0.539879999999999
"SC","IMPDSL","CO2",1,2036,0.539879999999999
"STC","IMPDSL","CO2",1,2019,2.63893344
"STC","IMPDSL","CO2",1,2020,2.069683968
"STC","IMPDSL","CO2",1,2021,2.530849464
"STC","IMPDSL","CO2",1,2022,2.878504029258
"STC","IMPDSL","CO2",1,2023,2.878504029258
"STC","IMPDSL","CO2",1,2024,2.42946
"STC","IMPDSL","CO2",1,2025,2.510442
"STC","IMPDSL","CO2",1,2026,2.510442
"STC","IMPDSL","CO2",1,2027,2.510442
"STC","IMPDSL","CO2",1,2028,2.51044199999999
"STC","IMPDSL","CO2",1,2029,2.51044199999999
"STC","IMPDSL","CO2",1,2030,0.80982
"STC","IMPDSL","CO2",1,2031,0.80982
"STC","IMPDSL","CO2",1,2032,0.80982
"STC","IMPDSL","CO2",1,2033,0.80982
"STC","IMPDSL","CO2",1,2034,0.809820000000002
"STC","IMPDSL","CO2",1,2035,0.809820000000001
"STC","IMPDSL","CO2",1,2036,0.674850000000001
"STC","IMPDSL","CO2",1,2037,0.67485
"STC","IMPDSL","CO2",1,2038,0.67485
"STC","IMPDSL","CO2",1,2039,0.674849999999999
"STC","IMPDSL","CO2",1,2040,0.67485
"IS","IMPDSL","CO2",1,2019,0.360734076054
"IS","IMPDSL","CO2",1,2020,0.228303617586
"IS","IMPDSL","CO2",1,2021,0.242946
"IS","IMPDSL","CO2",1,2022,0.396183865572
"IS","IMPDSL","CO2",1,2023,0.387441183822
"IS","IMPDSL","CO2",1,2024,0.40491
"IS","IMPDSL","CO2",1,2025,0.40491
"IS","IMPDSL","CO2",1,2026,0.40491
"IS","IMPDSL","CO2",1,2027,0.40491
"IS","IMPDSL","CO2",1,2028,0.40491
"IS","IMPDSL","CO2",1,2029,0.40491
"IS","IMPDSL","CO2",1,2030,0.40491
"IS","IMPDSL","CO2",1,2031,0.40491
"IS","IMPDSL","CO2",1,2032,0.40491
"IS","IMPDSL","CO2",1,2033,0.40491
"FL","IMPDSL","CO2",1,2019,0.0161964
"FL","IMPDSL","CO2",1,2020,0.0115320486283347
"FL","IMPDSL","CO2",1,2021,0.013497
"FL","IMPDSL","CO2",1,2022,0.0174877078543347
"FL","IMPDSL","CO2",1,2023,0.0178567158343347
"FL","IMPDSL","CO2",1,2024,0.0188958
"FL","IMPDSL","CO2",1,2025,0.0188958
"FL","IMPDSL","CO2",1,2026,0.0188958
"FL","IMPDSL","CO2",1,2027,0.0188958
