REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","IMPDSL",2019,4.91535
"SC","IMPDSL",2020,3.28284
"SC","IMPDSL",2021,4.55536993427999
"SC","IMPDSL",2022,4.67521889999999
"SC","IMPDSL",2023,5.0622
"SC","IMPDSL",2024,5.49684059925
"SC","IMPDSL",2025,4.93614
"SC","IMPDSL",2026,5.05197
"SC","IMPDSL",2027,5.19453
"SC","IMPDSL",2028,5.36679000000001
"SC","IMPDSL",2029,5.52865499999999
"SC","IMPDSL",2030,2.51064
"SC","IMPDSL",2031,2.6367
"SC","IMPDSL",2032,2.70666
"SC","IMPDSL",2033,2.7819
"SC","IMPDSL",2034,2.84855999999999
"SC","IMPDSL",2035,2.92379999999999
"SC","IMPDSL",2036,3.01092
"SC","MINWAVE",2030,3.34970000000001e-09
"SC","MINWAVE",2031,7e-09
"SC","MINWAVE",2032,9.00000000000001e-09
"SC","MINWAVE",2033,1e-08
"SC","MINWAVE",2034,5e-08
"SC","MINWAVE",2035,9e-08
"SC","MINWAVE",2036,9.54714571150867e-08
"SC","MINWAVE",2037,9.47371458938965e-08
"SC","MINWAVE",2038,9.39658324293067e-08
"SC","MINWAVE",2039,9.18384895054984e-08
"SC","MINWAVE",2040,1.36407966190937e-07
"SC","MINWAVE",2041,1.37197379238316e-07
"SC","MINWAVE",2042,1.34722583147486e-07
"SC","MINWAVE",2043,1.30564423118862e-07
"SC","MINWAVE",2044,2.24684152189893e-07
"SC","MINWAVE",2045,2.39433563238052e-07
"SC","MINWAVE",2046,3.79072587130322e-07
"SC","MINWAVE",2047,3.80337312170794e-07
"SC","MINWAVE",2048,3.73208861942683e-07
"SC","MINWAVE",2049,3.80107362163435e-07
"SC","MINWAVE",2050,4.52955524494577e-07
