REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.282432796606612
"SC","PWRWEC",2031,0.300461340091492
"SC","PWRWEC",2032,0.160841543097
"SC","PWRWEC",2033,0.0786403764362668
"SC","PWRWEC",2034,3.07867242882996
"SC","PWRWEC",2035,4.18065564190876
"SC","PWRWEC",2040,7.27764
"SC","PWRWEC",2045,9.12832
"SC","PWRWEC",2050,4.43299
"SC","PWRDIE",2019,11.8911716133942
"SC","PWRDIE",2024,0.297895966494726
"SC","PWRDIE",2026,4.45857267886297
"SC","PWRWND",2019,5.072952
"SC","PWRWND",2021,11.35456
"SC","PWRSOL",2020,1.68
"SC","PWRSOL",2021,4.0878108
"SC","PWRSOL",2044,0.817894152911785
"SC","PWRSOL",2046,3.72653701163273
"SC","PWRSOL",2047,0.178348942870892
"SC","PWRSOL",2048,0.177254777577207
"SC","PWRSOL",2049,0.362237416744396
"SC","PWRSOL",2050,0.0981429140544421
"SC","PWRSOLDIST",2019,0.654542457693398
"SC","PWRSOLDIST",2020,0.31019458302506
"SC","PWRSOLDIST",2021,0.30629189057855
"SC","PWRSOLDIST",2049,0.0842687094764056
"SC","PWRSOLDIST",2050,0.177254047442891
"STC","PWRWEC",2030,0.505895089004888
"STC","PWRWEC",2031,0.246934230138475
"STC","PWRWEC",2032,0.0804207715485002
"STC","PWRWEC",2033,3.14561505745068
"STC","PWRWEC",2034,3.07867242882996
"STC","PWRWEC",2035,9.11528215543576
"STC","PWRWEC",2040,14.55528
"STC","PWRWEC",2045,13.69248
"STC","PWRWEC",2050,13.29897
"STC","PWRDIE",2019,18.5996949908067
"STC","PWRDIE",2022,1.68853818797591
"STC","PWRDIE",2026,4.75646864535769
"STC","PWRWND",2024,12.43452
"STC","PWRSOL",2024,7.92
"STC","PWRSOL",2030,1.77570414519034
"STC","PWRSOL",2031,0.145668727693646
"STC","PWRSOL",2032,0.179820169370332
"STC","PWRSOL",2041,2.3740852217246
"STC","PWRSOL",2042,0.20685483544556
"STC","PWRSOL",2043,0.207914530891952
"STC","PWRSOL",2044,0.358167327847929
"STC","PWRSOL",2049,6.65183397377209
"STC","PWRSOLDIST",2019,0.0115493975775936
"STC","PWRSOLDIST",2020,0.127448857511289
"STC","PWRSOLDIST",2022,3.58610559665264
"IS","PWRWEC",2030,0.282432796606612
"IS","PWRWEC",2031,0.218149930045334
"IS","PWRWEC",2032,0.2412623146455
"IS","PWRWEC",2033,0.0786403764362667
"IS","PWRWEC",2034,1.78533379038534
"IS","PWRWEC",2035,0.677310883246468
"IS","PWRWEC",2040,1.940704
"IS","PWRWEC",2045,1.825664
"IS","PWRWEC",2050,1.5072166
"IS","PWRDIE",2019,6.072
"IS","PWRDIE",2025,0.0925559999999991
"IS","PWRDIE",2026,0.370248000000001
"IS","PWRSOL",2023,0.0732422899162143
"IS","PWRSOL",2024,1.72679012168043
"IS","PWRSOL",2034,1.69426261062897
"IS","PWRSOL",2049,0.4617298886835
"IS","PWRSOLDIST",2019,0.251889554022074
"IS","PWRSOLDIST",2034,0.041831586146803
"IS","PWRSOLDIST",2046,0.0907136591343561
"IS","PWRSOLDIST",2049,0.139842131715703
"FL","PWRWEC",2030,0.27858404
"FL","PWRWEC",2035,0.28091802
"FL","PWRWEC",2040,0.0970352
"FL","PWRDIE",2025,0.00609599999999997
"FL","PWRDIE",2026,0.55236
"FL","PWRSOL",2025,0.180366
"FL","PWRSOLDIST",2019,0.00752274823465562
"FL","PWRSOLDIST",2020,0.00659665687688424
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2040,0.0153
"FL","PWRSOLDIST",2049,0.00417642229579156
"FL","PWRSOLDIST",2050,0.00376951821536242
