REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.00467138625940148
"SC","PWRWEC",2031,0.00594302806155761
"SC","PWRWEC",2032,0.00365512481804926
"SC","PWRWEC",2033,0.00199766812917599
"SC","PWRWEC",2034,0.0857001778197356
"SC","PWRWEC",2035,0.125627030935101
"SC","PWRWEC",2040,0.279738755298471
"SC","PWRWEC",2045,0.398421235231049
"SC","PWRWEC",2050,0.207822365964355
"SC","PWRSOL",2044,0.0365032852779338
"SC","PWRSOL",2046,0.169947271901054
"SC","PWRSOL",2047,0.00820871818135318
"SC","PWRSOL",2048,0.00822628768810108
"SC","PWRSOL",2049,0.0169374217400148
"SC","PWRSOL",2050,0.00462002985501584
"SC","PWRSOLDIST",2049,0.00394021877893359
"SC","PWRSOLDIST",2050,0.00834414790918354
"STC","PWRWEC",2030,0.00836741127754988
"STC","PWRWEC",2031,0.00488427915093907
"STC","PWRWEC",2032,0.00182756240902463
"STC","PWRWEC",2033,0.0799067251670396
"STC","PWRWEC",2034,0.0857001778197357
"STC","PWRWEC",2035,0.273910585182823
"STC","PWRWEC",2040,0.559477510596943
"STC","PWRWEC",2045,0.597631852846574
"STC","PWRWEC",2050,0.623467097893065
"STC","PWRSOL",2024,0.0989554295176361
"STC","PWRSOL",2030,0.0513788041015756
"STC","PWRSOL",2031,0.00449699212349346
"STC","PWRSOL",2032,0.00586794649561123
"STC","PWRSOL",2041,0.101548193942684
"STC","PWRSOL",2042,0.00898836566149324
"STC","PWRSOL",2043,0.00916273681410738
"STC","PWRSOL",2044,0.0159853009085863
"STC","PWRSOL",2049,0.311025068505929
"STC","PWRSOLDIST",2022,0.0163792833825779
"IS","PWRWEC",2030,0.00467138625940147
"IS","PWRWEC",2031,0.0043149350112446
"IS","PWRWEC",2032,0.00548268722707388
"IS","PWRWEC",2033,0.00199766812917598
"IS","PWRWEC",2034,0.049697857385157
"IS","PWRWEC",2035,0.0203529213048113
"IS","PWRWEC",2040,0.0745970014129258
"IS","PWRWEC",2045,0.0796842470462098
"IS","PWRWEC",2050,0.0706596044278807
"IS","PWRSOL",2023,0.000638646221080054
"IS","PWRSOL",2024,0.0215751588608205
"IS","PWRSOL",2034,0.0604656642710321
"IS","PWRSOL",2049,0.0215894700356724
"IS","PWRSOLDIST",2034,0.00149290589782794
"IS","PWRSOLDIST",2046,0.00413696116419125
"IS","PWRSOLDIST",2049,0.00653870928955657
"FL","PWRWEC",2030,0.00460772853641773
"FL","PWRWEC",2035,0.00844147421160345
"FL","PWRWEC",2040,0.00372985007064629
"FL","PWRSOL",2025,0.0028724998195618
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2040,0.000643010012827942
"FL","PWRSOLDIST",2049,0.000195280284471929
"FL","PWRSOLDIST",2050,0.000177448233138256
