REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00520569438935149
"SC","MINSOL",2020,0.010558905015205
"SC","MINSOL",2021,0.0197718111837861
"SC","MINSOL",2022,0.0481267526434238
"SC","MINSOL",2023,0.0113225630126487
"SC","MINSOL",2024,0.0115145630065047
"SC","MINSOL",2025,0.06714269830008
"SC","MINSOL",2026,0.0347012145604957
"SC","MINSOL",2027,0.046046204520333
"SC","MINSOL",2028,0.0630280764140653
"SC","MINSOL",2029,0.0669929636975585
"SC","MINSOL",2030,0.0797961805387918
"SC","MINSOL",2031,0.0818658585787459
"SC","MINSOL",2032,0.0822412585315866
"SC","MINSOL",2033,0.0774649502081709
"SC","MINSOL",2034,0.0822412585315866
"SC","MINSOL",2035,0.0818658585787459
"SC","MINSOL",2036,0.0797961805387918
"SC","MINSOL",2037,0.0818658585787459
"SC","MINSOL",2038,0.0822412585315866
"SC","MINSOL",2039,0.0822412585315866
"SC","MINSOL",2040,0.0822412585315866
"SC","MINSOL",2041,0.0822412585315866
"SC","MINSOL",2042,0.0819865319615059
"SC","MINSOL",2043,0.0819865319615059
"SC","MINSOL",2044,0.098720618086836
"SC","MINSOL",2045,0.098720618086836
"SC","MINSOL",2046,0.175895251521987
"SC","MINSOL",2047,0.179611424486817
"SC","MINSOL",2048,0.183327597451646
"SC","MINSOL",2049,0.187043770416475
"SC","MINSOL",2050,0.168748945466247
"SC","MINWND",2019,0.0379079165645568
"SC","MINWND",2020,0.0354437878294267
"SC","MINWND",2021,0.029450709758446
"SC","MINWND",2022,0.0703665182143872
"SC","MINWND",2023,0.0619212426812928
"SC","MINWND",2024,0.0619212426812928
"SC","MINWND",2025,0.0703665182143872
"SC","MINWND",2026,0.0965732811232173
"SC","MINWND",2027,0.0994013819087689
"SC","MINWND",2028,0.0821338192232064
"SC","MINWND",2029,0.0837112179602732
"SC","MINWND",2030,0.102246784364275
"SC","MINWND",2031,0.0960666990096944
"SC","MINWND",2032,0.102246784364275
"SC","MINWND",2033,0.078651372587904
"SC","MINWND",2034,0.078651372587904
"SC","MINWND",2035,0.0786513725879215
"SC","MINWND",2036,0.102213692781696
"SC","MINWND",2037,0.107108274495744
"SC","MINWND",2038,0.102213692781696
"SC","MINWND",2039,0.107108274495744
"SC","MINWND",2040,0.107108274495744
"SC","MINWND",2041,0.10470169976832
"SC","MINWND",2042,0.107108274495744
"SC","MINWND",2043,0.107108274495744
"SC","MINWND",2044,0.0749757921470208
"SC","MINWND",2045,0.0749757921470208
"SC","IMPDSL",2019,0.16499999472
"SC","IMPDSL",2020,0.164130816926947
"SC","IMPDSL",2021,0.16499999472
"SC","IMPDSL",2022,0.16499999472
"SC","IMPDSL",2023,0.16499999472
"SC","IMPDSL",2024,0.169133551487726
"SC","IMPDSL",2025,0.169133551487726
"SC","IMPDSL",2026,0.230999992608
"SC","IMPDSL",2027,0.228143917363025
"SC","IMPDSL",2028,0.230999992608004
"SC","IMPDSL",2029,0.230999992608
"SC","IMPDSL",2030,0.230999992608
