REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0986306065723106
"SC","PWRWEC",2031,0.125479767683093
"SC","PWRWEC",2032,0.0771734893846896
"SC","PWRWEC",2033,0.042178318890728
"SC","PWRWEC",2034,1.80945442152292
"SC","PWRWEC",2035,2.65246108434522
"SC","PWRWEC",2040,5.90634162639475
"SC","PWRWEC",2045,8.41217701127599
"SC","PWRWEC",2050,4.38791503766236
"SC","PWRSOL",2044,0.77072221583021
"SC","PWRSOL",2046,3.58822875740059
"SC","PWRSOL",2047,0.173317043046608
"SC","PWRSOL",2048,0.173688001689609
"SC","PWRSOL",2049,0.357612941260554
"SC","PWRSOL",2050,0.0975462789156682
"SC","PWRSOLDIST",2049,0.0831928996262497
"SC","PWRSOLDIST",2050,0.176176476084702
"STC","PWRWEC",2030,0.176667653650734
"STC","PWRWEC",2031,0.103125579554908
"STC","PWRWEC",2032,0.0385867446923448
"STC","PWRWEC",2033,1.68713275562912
"STC","PWRWEC",2034,1.80945442152292
"STC","PWRWEC",2035,5.78328694373902
"STC","PWRWEC",2040,11.8126832527895
"STC","PWRWEC",2045,12.618265516914
"STC","PWRWEC",2050,13.1637451129871
"STC","PWRSOL",2024,2.08932284657584
"STC","PWRSOL",2030,1.08480059924387
"STC","PWRSOL",2031,0.0949484877210501
"STC","PWRSOL",2032,0.12389451226201
"STC","PWRSOL",2041,2.1440658957996
"STC","PWRSOL",2042,0.189778345882362
"STC","PWRSOL",2043,0.193459979469487
"STC","PWRSOL",2044,0.337510074591174
"STC","PWRSOL",2049,6.56691385864217
"STC","PWRSOLDIST",2022,0.345828532588614
"IS","PWRWEC",2030,0.0986306065723105
"IS","PWRWEC",2031,0.0911045744981241
"IS","PWRWEC",2032,0.115760234077034
"IS","PWRWEC",2033,0.0421783188907279
"IS","PWRWEC",2034,1.04930946555258
"IS","PWRWEC",2035,0.429727036545517
"IS","PWRWEC",2040,1.57502443370527
"IS","PWRWEC",2045,1.6824354022552
"IS","PWRWEC",2050,1.4918911128052
"IS","PWRSOL",2023,0.0134842337311474
"IS","PWRSOL",2024,0.455533087432881
"IS","PWRSOL",2034,1.27665853617802
"IS","PWRSOL",2049,0.455835250383667
"IS","PWRSOLDIST",2034,0.0315208818285593
"IS","PWRSOLDIST",2046,0.0873468744249282
"IS","PWRSOLDIST",2049,0.138056848142461
"FL","PWRWEC",2030,0.0972865516211142
"FL","PWRWEC",2035,0.178231401905447
"FL","PWRWEC",2040,0.0787512216852633
"FL","PWRSOL",2025,0.0606493198912935
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2040,0.0135763698558755
"FL","PWRSOLDIST",2049,0.00412310432910926
"FL","PWRSOLDIST",2050,0.00374660237833841
