REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00226073082614039
"SC","MINSOL",2020,0.00414838284567307
"SC","MINSOL",2021,0.00630201085126019
"SC","MINSOL",2022,0.0114315322542438
"SC","MINSOL",2023,0.00433160561680045
"SC","MINSOL",2024,0.00438705730922112
"SC","MINSOL",2025,0.014426435172602
"SC","MINSOL",2026,0.0106829826186337
"SC","MINSOL",2027,0.0107282065814391
"SC","MINSOL",2028,0.0149205249811283
"SC","MINSOL",2029,0.0156215728032289
"SC","MINSOL",2030,0.0180153383346031
"SC","MINSOL",2031,0.0293405343199846
"SC","MINSOL",2032,0.020804633097945
"SC","MINSOL",2033,0.0282218040853566
"SC","MINSOL",2034,0.0336375991241755
"SC","MINSOL",2035,0.0241550921755972
"SC","MINSOL",2036,0.0303525695159224
"SC","MINSOL",2037,0.0264596477054092
"SC","MINSOL",2038,0.027666541054021
"SC","MINSOL",2039,0.0278947635860791
"SC","MINSOL",2040,0.0261549347884791
"SC","MINSOL",2041,0.0258746682523655
"SC","MINSOL",2042,0.0242266748733751
"SC","MINSOL",2043,0.026594937284815
"SC","MINSOL",2044,0.0359570611545745
"SC","MINSOL",2045,0.0339259885885703
"SC","MINSOL",2046,0.0605416365890474
"SC","MINSOL",2047,0.0618747526863385
"SC","MINSOL",2048,0.0632937260538397
"SC","MINSOL",2049,0.0644262450508011
"SC","MINSOL",2050,0.0573286730533337
"SC","MINWND",2019,0.0201322709382714
"SC","MINWND",2020,0.0215228083860927
"SC","MINWND",2021,0.0185199739436147
"SC","MINWND",2022,0.0232171961646126
"SC","MINWND",2023,0.0228775244280999
"SC","MINWND",2024,0.0268877000755253
"SC","MINWND",2025,0.0238381150608416
"SC","MINWND",2026,0.0322649222904695
"SC","MINWND",2027,0.0343050878452334
"SC","MINWND",2028,0.0343497877912729
"SC","MINWND",2029,0.0346236654026231
"SC","MINWND",2030,0.059270830013332
"SC","MINWND",2031,0.0511542641096722
"SC","MINWND",2032,0.0607487116513057
"SC","MINWND",2033,0.0478379792072209
"SC","MINWND",2034,0.0456545935473092
"SC","MINWND",2035,0.0500414086534811
"SC","MINWND",2036,0.0687241726430014
"SC","MINWND",2037,0.0724815921705869
