REGION,TECHNOLOGY,VALUE
"SC","MINSOL",0.845988863235007
"SC","MINWND",1.27457004073347
"SC","IMPDSL",2.12876198369999
"SC","MINWAVE",0.351405433996913
"SC","PWRWEC",0.331078653198616
"SC","PWRDIE",0.645079388999998
"SC","PWRWND",0.843747374930088
"SC","PWRSOL",0.630258250907314
"SC","BAT",1.08875971016697
"SC","DEMRESELC",0.889354961668065
"SC","DEMCOMELC",1.64492393893477
"SC","PWRSOLDIST",0.0841152229639825
"SC","IMPLPG",0.001157
"SC","CONLPG",0.001157
"STC","MINSOL",2.55929701926602
"STC","MINWND",1.55025181069048
"STC","IMPDSL",4.42681111620004
"STC","MINWAVE",0.690586694278773
"STC","PWRWEC",0.631630702071079
"STC","PWRDIE",1.34145791400001
"STC","PWRWND",1.11243577327233
"STC","PWRSOL",1.64518196017288
"STC","BAT",2.17770196998236
"STC","DEMRESELC",2.0335676308191
"STC","DEMCOMELC",2.98272095860363
"STC","PWRDIST",5.53381340240465
"STC","PWRSOLDIST",0.261549691483701
"STC","IMPLPG",0.002498
"STC","CONLPG",0.002498
"IS","MINSOL",0.751826482678691
"IS","IMPDSL",0.6925071813
"IS","MINWAVE",0.106361117540151
"IS","PWRWEC",0.100734130574698
"IS","PWRDIE",0.209850661
"IS","PWRSOL",0.50202573936596
"IS","BAT",0.494393757147701
"IS","DEMRESELC",0.29989170201904
"IS","DEMCOMELC",0.538738287343542
"IS","PWRDIST",0.874776854974121
"IS","PWRSOLDIST",0.0220952850593437
"IS","IMPLPG",0.000387999999999999
"IS","CONLPG",0.000387999999999999
"FL","MINSOL",0.0242455972696037
"FL","IMPDSL",0.0186006200876533
"FL","MINWAVE",0.00530783329957281
"FL","PWRWEC",0.00502262
"FL","PWRDIE",0.00563655154171312
"FL","PWRSOL",0.0160919847551515
"FL","BAT",0.000398406798007068
"FL","DEMCOMELC",0.000793055517068371
"FL","PWRDIST",0.00167636687621316
"FL","PWRSOLDIST",0.00286791170313543
"FL","IMPLPG",1.927e-05
"FL","CONLPG",1.927e-05
