REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","TM01","PWRWEC","WAVE",2030,2.80185186915888e-06
"SC","TM01","PWRWEC","WAVE",2031,5.85514018691589e-06
"SC","TM01","PWRWEC","WAVE",2032,7.52803738317757e-06
"SC","TM01","PWRWEC","WAVE",2033,8.36448598130841e-06
"SC","TM01","PWRWEC","WAVE",2034,4.18224299065421e-05
"SC","TM01","PWRWEC","WAVE",2035,8.8202252822472e-05
"SC","TM01","PWRWEC","WAVE",2036,8.8202252822472e-05
"SC","TM01","PWRWEC","WAVE",2037,8.8202252822472e-05
"SC","TM01","PWRWEC","WAVE",2038,8.8202252822472e-05
"SC","TM01","PWRWEC","WAVE",2039,8.8202252822472e-05
"SC","TM01","PWRWEC","WAVE",2040,0.000176404505644944
"SC","TM01","PWRWEC","WAVE",2041,0.000176404505644944
"SC","TM01","PWRWEC","WAVE",2042,0.000176404505644944
"SC","TM01","PWRWEC","WAVE",2043,0.000176404505644944
"SC","TM01","PWRWEC","WAVE",2044,0.000176404505644944
"SC","TM01","PWRWEC","WAVE",2046,0.00029400750940824
"SC","TM01","PWRWEC","WAVE",2047,0.00029400750940824
"SC","TM01","PWRWEC","WAVE",2048,0.00029400750940824
"SC","TM01","PWRWEC","WAVE",2049,0.00029400750940824
"SC","TM01","PWRWEC","WAVE",2050,0.000352809011289888
"SC","TM01","PWRDIE","DSL",2019,0.00171875
"SC","TM01","PWRDIE","DSL",2020,0.00170969606436597
"SC","TM01","PWRDIE","DSL",2021,0.00107420456598674
"SC","TM01","PWRDIE","DSL",2022,0.00171875
"SC","TM01","PWRDIE","DSL",2023,0.00171875
"SC","TM01","PWRDIE","DSL",2024,0.001761807884375
"SC","TM01","PWRDIE","DSL",2025,0.00141491034409388
"SC","TM01","PWRDIE","DSL",2026,0.00240625
"SC","TM01","PWRDIE","DSL",2027,0.00237649921524615
"SC","TM01","PWRDIE","DSL",2028,0.00240625
"SC","TM01","PWRDIE","DSL",2029,0.00240625
"SC","TM01","PWRDIE","DSL",2030,0.000597427734910472
"SC","TM01","PWRDIE","DSL",2032,0.00060768321125625
"SC","TM01","PWRDIE","DSL",2034,0.000687499999999999
"SC","TM01","PWRDIE","DSL",2035,0.000687499999999999
"SC","TM01","PWRDIE","DSL",2036,0.000687499999999999
"SC","TM01","PWRWND","WND",2019,0.000142915119006084
"SC","TM01","PWRWND","WND",2023,0.000309649424513181
"SC","TM01","PWRWND","WND",2024,0.000309649424513181
"SC","TM01","PWRWND","WND",2030,0.000309649424513181
"SC","TM01","PWRWND","WND",2031,0.000309649424513181
"SC","TM01","PWRWND","WND",2032,0.000309649424513181
"SC","TM01","PWRWND","WND",2033,0.000238191865010139
"SC","TM01","PWRWND","WND",2034,0.000238191865010139
"SC","TM01","PWRWND","WND",2035,0.000238191865010139
"SC","TM01","PWRWND","WND",2036,0.000238191865010139
"SC","TM01","PWRWND","WND",2037,0.000238191865010139
"SC","TM01","PWRWND","WND",2038,0.000238191865010139
"SC","TM01","PWRWND","WND",2039,0.000238191865010139
"SC","TM01","PWRWND","WND",2040,0.000238191865010139
"SC","TM01","PWRWND","WND",2041,0.000238191865010139
"SC","TM01","PWRWND","WND",2042,0.000238191865010139
"SC","TM01","PWRWND","WND",2043,0.000238191865010139
"SC","TM01","PWRWND","WND",2044,0.000166734305507098
"SC","TM01","PWRWND","WND",2045,0.000166734305507098
"SC","TM01","BAT","ELC001",2045,0.000497613050482735
"SC","TM01","BAT","ELC001",2046,0.000599220196993268
"SC","TM01","BAT","ELC001",2047,0.000607103642209824
"SC","TM01","BAT","ELC001",2049,0.000622870532642936
"SC","TM01","DEMRESELC","ELC001",2019,0.000126458921278247
"SC","TM01","DEMRESELC","ELC001",2020,0.000129252273900423
"SC","TM01","DEMRESELC","ELC001",2021,0.000132125949635801
"SC","TM01","DEMRESELC","ELC001",2022,0.000135083099266746
"SC","TM01","DEMRESELC","ELC001",2023,0.000137193000400156
"SC","TM01","DEMRESELC","ELC001",2024,0.000142574312069348
"SC","TM01","DEMRESELC","ELC001",2025,0.000148092186757164
"SC","TM01","DEMRESELC","ELC001",2026,0.000152004054640569
"SC","TM01","DEMRESELC","ELC001",2027,0.000155927109361163
"SC","TM01","DEMRESELC","ELC001",2028,0.000159861432028195
"SC","TM01","DEMRESELC","ELC001",2029,0.00016380711622926
"SC","TM01","DEMRESELC","ELC001",2030,0.000167764236834434
"SC","TM01","DEMRESELC","ELC001",2031,0.000169677735040977
"SC","TM01","DEMRESELC","ELC001",2032,0.000171613918880548
"SC","TM01","DEMRESELC","ELC001",2033,0.000173573062876759
"SC","TM01","DEMRESELC","ELC001",2034,0.000175555460270741
"SC","TM01","DEMRESELC","ELC001",2035,0.000177561398064452
"SC","TM01","DEMRESELC","ELC001",2036,0.000179591157020677
"SC","TM01","DEMRESELC","ELC001",2037,0.00018164503661972
"SC","TM01","DEMRESELC","ELC001",2038,0.000183723342581058
"SC","TM01","DEMRESELC","ELC001",2039,0.000185826374384995
"SC","TM01","DEMRESELC","ELC001",2040,0.000187954431511835
"SC","TM01","DEMRESELC","ELC001",2041,0.000190107832159401
"SC","TM01","DEMRESELC","ELC001",2042,0.000192286888286343
"SC","TM01","DEMRESELC","ELC001",2043,0.000194491918090484
"SC","TM01","DEMRESELC","ELC001",2044,0.00019712205394698
"SC","TM01","DEMRESELC","ELC001",2045,0.000199752189803476
"SC","TM01","DEMRESELC","ELC001",2046,0.000202382319420799
"SC","TM01","DEMRESELC","ELC001",2047,0.000205012455277295
"SC","TM01","DEMRESELC","ELC001",2048,0.000207642591133791
"SC","TM01","DEMRESELC","ELC001",2049,0.000210272726990287
"SC","TM01","DEMRESELC","ELC001",2050,0.000212902862846783
"SC","TM01","DEMCOMELC","ELC001",2019,0.000247505821677796
"SC","TM01","DEMCOMELC","ELC001",2020,0.000184411723016494
"SC","TM01","DEMCOMELC","ELC001",2021,0.000193390585511697
"SC","TM01","DEMCOMELC","ELC001",2022,0.00025703733139982
"SC","TM01","DEMCOMELC","ELC001",2023,0.000262324244381522
"SC","TM01","DEMCOMELC","ELC001",2024,0.000271490138565746
"SC","TM01","DEMCOMELC","ELC001",2025,0.000280668523574316
"SC","TM01","DEMCOMELC","ELC001",2026,0.000289679967030925
"SC","TM01","DEMCOMELC","ELC001",2027,0.000298691410487534
"SC","TM01","DEMCOMELC","ELC001",2028,0.000307702860183316
"SC","TM01","DEMCOMELC","ELC001",2029,0.000316714303639925
"SC","TM01","DEMCOMELC","ELC001",2030,0.000325725747096534
"SC","TM01","DEMCOMELC","ELC001",2031,0.000327707951076153
"SC","TM01","DEMCOMELC","ELC001",2032,0.00032970997066922
"SC","TM01","DEMCOMELC","ELC001",2033,0.000331732011768444
"SC","TM01","DEMCOMELC","ELC001",2034,0.000333774274027361
"SC","TM01","DEMCOMELC","ELC001",2035,0.000335836957099507
"SC","TM01","DEMCOMELC","ELC001",2036,0.000337920266877591
"SC","TM01","DEMCOMELC","ELC001",2037,0.000340024415493495
"SC","TM01","DEMCOMELC","ELC001",2038,0.000342149596361582
"SC","TM01","DEMCOMELC","ELC001",2039,0.00034429603409208
"SC","TM01","DEMCOMELC","ELC001",2040,0.000346463940816871
"SC","TM01","DEMCOMELC","ELC001",2041,0.000348653516189491
"SC","TM01","DEMCOMELC","ELC001",2042,0.000350864997298514
"SC","TM01","DEMCOMELC","ELC001",2043,0.000353098590036649
"SC","TM01","DEMCOMELC","ELC001",2044,0.000357873578873701
"SC","TM01","DEMCOMELC","ELC001",2045,0.000362648567710753
"SC","TM01","DEMCOMELC","ELC001",2046,0.000367423556547805
"SC","TM01","DEMCOMELC","ELC001",2047,0.000372198545384857
"SC","TM01","DEMCOMELC","ELC001",2048,0.000376973534221909
"SC","TM01","DEMCOMELC","ELC001",2049,0.000381748523058961
"SC","TM01","DEMCOMELC","ELC001",2050,0.000386523511896013
"SC","TM01","CONLPG","LPG",2019,1.5e-06
"SC","TM01","CONLPG","LPG",2020,1.33333333333333e-06
"SC","TM01","CONLPG","LPG",2021,1.38888888888889e-06
"SC","TM01","CONLPG","LPG",2022,1.61111111111111e-06
"SC","TM01","CONLPG","LPG",2023,1.61111111111111e-06
"SC","TM01","CONLPG","LPG",2024,1.66666666666667e-06
"SC","TM01","CONLPG","LPG",2025,1.77777777777778e-06
"SC","TM01","CONLPG","LPG",2026,1.83333333333333e-06
"SC","TM01","CONLPG","LPG",2027,1.83333333333333e-06
"SC","TM01","CONLPG","LPG",2028,1.88888888888889e-06
"SC","TM01","CONLPG","LPG",2029,1.94444444444444e-06
"SC","TM01","CONLPG","LPG",2030,2e-06
"SC","TM01","CONLPG","LPG",2031,2e-06
"SC","TM01","CONLPG","LPG",2032,2.05555555555556e-06
"SC","TM01","CONLPG","LPG",2033,2.05555555555556e-06
"SC","TM01","CONLPG","LPG",2034,2.05555555555556e-06
"SC","TM01","CONLPG","LPG",2035,2.11111111111111e-06
"SC","TM01","CONLPG","LPG",2036,2.11111111111111e-06
"SC","TM01","CONLPG","LPG",2037,2.11111111111111e-06
"SC","TM01","CONLPG","LPG",2038,2.16666666666667e-06
"SC","TM01","CONLPG","LPG",2039,2.16666666666667e-06
"SC","TM01","CONLPG","LPG",2040,2.16666666666667e-06
"SC","TM01","CONLPG","LPG",2041,2.35294117647059e-06
"SC","TM01","CONLPG","LPG",2042,2.22222222222222e-06
"SC","TM01","CONLPG","LPG",2043,2.22222222222222e-06
"SC","TM01","CONLPG","LPG",2044,2.27777777777778e-06
"SC","TM01","CONLPG","LPG",2045,2.27777777777778e-06
"SC","TM01","CONLPG","LPG",2046,2.27777777777778e-06
"SC","TM01","CONLPG","LPG",2047,2.33333333333333e-06
"SC","TM01","CONLPG","LPG",2048,2.33333333333333e-06
"SC","TM01","CONLPG","LPG",2049,2.33333333333333e-06
"SC","TM01","CONLPG","LPG",2050,2.38888888888889e-06
"SC","TM02","PWRWEC","WAVE",2030,2.80185186915888e-06
"SC","TM02","PWRWEC","WAVE",2031,5.85514018691589e-06
"SC","TM02","PWRWEC","WAVE",2032,7.52803738317757e-06
"SC","TM02","PWRWEC","WAVE",2033,8.36448598130841e-06
"SC","TM02","PWRWEC","WAVE",2034,4.18224299065421e-05
"SC","TM02","PWRWEC","WAVE",2037,8.8202252822472e-05
"SC","TM02","PWRWEC","WAVE",2039,8.8202252822472e-05
"SC","TM02","PWRWEC","WAVE",2041,0.000176404505644944
"SC","TM02","PWRWEC","WAVE",2043,0.000176404505644944
"SC","TM02","PWRWEC","WAVE",2044,0.000176404505644944
"SC","TM02","PWRWEC","WAVE",2046,0.00029400750940824
"SC","TM02","PWRWEC","WAVE",2047,0.00029400750940824
"SC","TM02","PWRWEC","WAVE",2048,0.00029400750940824
"SC","TM02","PWRWEC","WAVE",2049,0.00029400750940824
"SC","TM02","PWRWEC","WAVE",2050,0.000352809011289888
"SC","TM02","PWRDIE","DSL",2019,0.00171875
"SC","TM02","PWRDIE","DSL",2020,0.00170969606436597
"SC","TM02","PWRDIE","DSL",2021,0.00100718942015789
"SC","TM02","PWRDIE","DSL",2022,0.00121327031518128
"SC","TM02","PWRDIE","DSL",2023,0.00171875
"SC","TM02","PWRDIE","DSL",2024,0.001761807884375
"SC","TM02","PWRDIE","DSL",2027,0.00237649921524615
"SC","TM02","PWRDIE","DSL",2028,0.00240625
"SC","TM02","PWRDIE","DSL",2029,0.00240625
"SC","TM02","PWRDIE","DSL",2030,0.00191149816404646
"SC","TM02","PWRDIE","DSL",2034,0.000687499999999999
"SC","TM02","PWRDIE","DSL",2035,0.000687499999999999
"SC","TM02","PWRDIE","DSL",2036,0.000687499999999999
"SC","TM02","PWRWND","WND",2019,0.000171348560931954
"SC","TM02","PWRWND","WND",2025,0.000371255215352566
"SC","TM02","PWRWND","WND",2026,0.000371255215352566
"SC","TM02","PWRWND","WND",2030,0.000371255215352566
"SC","TM02","PWRWND","WND",2031,0.000371255215352566
"SC","TM02","PWRWND","WND",2032,0.000371255215352566
"SC","TM02","PWRWND","WND",2033,0.00028558093488659
"SC","TM02","PWRWND","WND",2034,0.00028558093488659
"SC","TM02","PWRWND","WND",2035,0.00028558093488659
"SC","TM02","PWRWND","WND",2036,0.00028558093488659
"SC","TM02","PWRWND","WND",2037,0.00028558093488659
"SC","TM02","PWRWND","WND",2038,0.00028558093488659
"SC","TM02","PWRWND","WND",2039,0.00028558093488659
"SC","TM02","PWRWND","WND",2040,0.00028558093488659
"SC","TM02","PWRWND","WND",2041,0.00028558093488659
"SC","TM02","PWRWND","WND",2042,0.00028558093488659
"SC","TM02","PWRWND","WND",2043,0.00028558093488659
"SC","TM02","PWRWND","WND",2044,0.000199906654420613
"SC","TM02","PWRWND","WND",2045,0.000199906654420613
"SC","TM02","BAT","ELC001",2036,0.000622364022479118
"SC","TM02","BAT","ELC001",2037,0.000671007316543535
"SC","TM02","BAT","ELC001",2038,0.000631498016094073
"SC","TM02","BAT","ELC001",2039,0.000680241199284315
"SC","TM02","BAT","ELC001",2040,0.000592780104293778
"SC","TM02","BAT","ELC001",2041,0.000685741329837768
"SC","TM02","BAT","ELC001",2042,0.000602350166655591
"SC","TM02","BAT","ELC001",2043,0.000695416200328251
"SC","TM02","BAT","ELC001",2044,0.00067358796673901
"SC","TM02","BAT","ELC001",2045,0.000531742144590206
"SC","TM02","BAT","ELC001",2046,0.000616994103882732
"SC","TM02","BAT","ELC001",2047,0.000625108536532656
"SC","TM02","BAT","ELC001",2048,0.00063322296918258
"SC","TM02","BAT","ELC001",2049,0.000641337401832504
"SC","TM02","BAT","ELC001",2050,0.000647973584435124
"SC","TM02","DEMRESELC","ELC001",2019,0.000118569676232043
"SC","TM02","DEMRESELC","ELC001",2020,0.000121188763226187
"SC","TM02","DEMRESELC","ELC001",2021,0.000123883162309269
"SC","TM02","DEMRESELC","ELC001",2022,0.000126655827699474
"SC","TM02","DEMRESELC","ELC001",2023,0.000128634100894764
"SC","TM02","DEMRESELC","ELC001",2024,0.000133679694957012
"SC","TM02","DEMRESELC","ELC001",2025,0.000138853332440316
"SC","TM02","DEMRESELC","ELC001",2026,0.000142521155190261
"SC","TM02","DEMRESELC","ELC001",2027,0.000146199466877247
"SC","TM02","DEMRESELC","ELC001",2028,0.000149888343550455
"SC","TM02","DEMRESELC","ELC001",2029,0.00015358787295894
"SC","TM02","DEMRESELC","ELC001",2030,0.000157298125301946
"SC","TM02","DEMRESELC","ELC001",2031,0.000159092248330413
"SC","TM02","DEMRESELC","ELC001",2032,0.000160907641729812
"SC","TM02","DEMRESELC","ELC001",2033,0.000162744562897371
"SC","TM02","DEMRESELC","ELC001",2034,0.000164603286780129
"SC","TM02","DEMRESELC","ELC001",2035,0.000166484082475188
"SC","TM02","DEMRESELC","ELC001",2036,0.000168387213229713
"SC","TM02","DEMRESELC","ELC001",2037,0.00017031295984068
"SC","TM02","DEMRESELC","ELC001",2038,0.000172261608955002
"SC","TM02","DEMRESELC","ELC001",2039,0.000174233441369655
"SC","TM02","DEMRESELC","ELC001",2040,0.000176228737881615
"SC","TM02","DEMRESELC","ELC001",2041,0.000178247796837669
"SC","TM02","DEMRESELC","ELC001",2042,0.000180290910734667
"SC","TM02","DEMRESELC","ELC001",2043,0.000182358377919396
"SC","TM02","DEMRESELC","ELC001",2044,0.00018482443056162
"SC","TM02","DEMRESELC","ELC001",2045,0.000187290483203844
"SC","TM02","DEMRESELC","ELC001",2046,0.000189756529996131
"SC","TM02","DEMRESELC","ELC001",2047,0.000192222582638355
"SC","TM02","DEMRESELC","ELC001",2048,0.000194688635280579
"SC","TM02","DEMRESELC","ELC001",2049,0.000197154687922803
"SC","TM02","DEMRESELC","ELC001",2050,0.000199620740565027
"SC","TM02","DEMCOMELC","ELC001",2019,0.000232064965011924
"SC","TM02","DEMCOMELC","ELC001",2020,0.000172907044204086
"SC","TM02","DEMCOMELC","ELC001",2021,0.000181325752890093
"SC","TM02","DEMCOMELC","ELC001",2022,0.00024100184356758
"SC","TM02","DEMCOMELC","ELC001",2023,0.000245958928083018
"SC","TM02","DEMCOMELC","ELC001",2024,0.000254553000330474
"SC","TM02","DEMCOMELC","ELC001",2025,0.000263158784151804
"SC","TM02","DEMCOMELC","ELC001",2026,0.000271608041208825
"SC","TM02","DEMCOMELC","ELC001",2027,0.000280057298265846
"SC","TM02","DEMCOMELC","ELC001",2028,0.000288506561172804
"SC","TM02","DEMCOMELC","ELC001",2029,0.000296955818229825
"SC","TM02","DEMCOMELC","ELC001",2030,0.000305405075286846
"SC","TM02","DEMCOMELC","ELC001",2031,0.000307263617821557
"SC","TM02","DEMCOMELC","ELC001",2032,0.00030914073975618
"SC","TM02","DEMCOMELC","ELC001",2033,0.000311036634138636
"SC","TM02","DEMCOMELC","ELC001",2034,0.000312951488166909
"SC","TM02","DEMCOMELC","ELC001",2035,0.000314885489038983
"SC","TM02","DEMCOMELC","ELC001",2036,0.000316838829802779
"SC","TM02","DEMCOMELC","ELC001",2037,0.000318811709356155
"SC","TM02","DEMCOMELC","ELC001",2038,0.000320804309047158
"SC","TM02","DEMCOMELC","ELC001",2039,0.00032281683947352
"SC","TM02","DEMCOMELC","ELC001",2040,0.000324849499533099
"SC","TM02","DEMCOMELC","ELC001",2041,0.000326902476423879
"SC","TM02","DEMCOMELC","ELC001",2042,0.000328975992443466
"SC","TM02","DEMCOMELC","ELC001",2043,0.000331070240639781
"SC","TM02","DEMCOMELC","ELC001",2044,0.000335547337824369
"SC","TM02","DEMCOMELC","ELC001",2045,0.000340024435008957
"SC","TM02","DEMCOMELC","ELC001",2046,0.000344501532193545
"SC","TM02","DEMCOMELC","ELC001",2047,0.000348978629378133
"SC","TM02","DEMCOMELC","ELC001",2048,0.000353455726562721
"SC","TM02","DEMCOMELC","ELC001",2049,0.000357932823747309
"SC","TM02","DEMCOMELC","ELC001",2050,0.000362409920931897
"SC","TM02","CONLPG","LPG",2019,1.5e-06
"SC","TM02","CONLPG","LPG",2020,1.33333333333333e-06
"SC","TM02","CONLPG","LPG",2021,1.38888888888889e-06
"SC","TM02","CONLPG","LPG",2022,1.61111111111111e-06
"SC","TM02","CONLPG","LPG",2023,1.61111111111111e-06
"SC","TM02","CONLPG","LPG",2024,1.66666666666667e-06
"SC","TM02","CONLPG","LPG",2025,1.77777777777778e-06
"SC","TM02","CONLPG","LPG",2026,1.83333333333333e-06
"SC","TM02","CONLPG","LPG",2027,1.83333333333333e-06
"SC","TM02","CONLPG","LPG",2028,1.88888888888889e-06
"SC","TM02","CONLPG","LPG",2029,1.94444444444444e-06
"SC","TM02","CONLPG","LPG",2030,2e-06
"SC","TM02","CONLPG","LPG",2031,2e-06
"SC","TM02","CONLPG","LPG",2032,2.05555555555556e-06
"SC","TM02","CONLPG","LPG",2033,2.05555555555556e-06
"SC","TM02","CONLPG","LPG",2034,2.05555555555556e-06
"SC","TM02","CONLPG","LPG",2035,2.11111111111111e-06
"SC","TM02","CONLPG","LPG",2036,2.11111111111111e-06
"SC","TM02","CONLPG","LPG",2037,2.11111111111111e-06
"SC","TM02","CONLPG","LPG",2038,2.16666666666667e-06
"SC","TM02","CONLPG","LPG",2039,2.16666666666667e-06
"SC","TM02","CONLPG","LPG",2040,2.16666666666667e-06
"SC","TM02","CONLPG","LPG",2041,2.35294117647059e-06
"SC","TM02","CONLPG","LPG",2042,2.22222222222222e-06
"SC","TM02","CONLPG","LPG",2043,2.22222222222222e-06
"SC","TM02","CONLPG","LPG",2044,2.27777777777778e-06
"SC","TM02","CONLPG","LPG",2045,2.27777777777778e-06
"SC","TM02","CONLPG","LPG",2046,2.27777777777778e-06
"SC","TM02","CONLPG","LPG",2047,2.33333333333333e-06
"SC","TM02","CONLPG","LPG",2048,2.33333333333333e-06
"SC","TM02","CONLPG","LPG",2049,2.33333333333333e-06
"SC","TM02","CONLPG","LPG",2050,2.38888888888889e-06
"SC","TM03","PWRWEC","WAVE",2030,2.80185186915888e-06
"SC","TM03","PWRWEC","WAVE",2031,5.85514018691589e-06
"SC","TM03","PWRWEC","WAVE",2032,7.52803738317757e-06
"SC","TM03","PWRWEC","WAVE",2033,8.36448598130841e-06
"SC","TM03","PWRWEC","WAVE",2034,4.18224299065421e-05
"SC","TM03","PWRWEC","WAVE",2036,8.8202252822472e-05
"SC","TM03","PWRWEC","WAVE",2037,8.8202252822472e-05
"SC","TM03","PWRWEC","WAVE",2038,8.8202252822472e-05
"SC","TM03","PWRWEC","WAVE",2039,8.8202252822472e-05
"SC","TM03","PWRWEC","WAVE",2040,0.000176404505644944
"SC","TM03","PWRWEC","WAVE",2043,0.000176404505644944
"SC","TM03","PWRWEC","WAVE",2044,0.000176404505644944
"SC","TM03","PWRWEC","WAVE",2046,0.00029400750940824
"SC","TM03","PWRWEC","WAVE",2047,0.00029400750940824
"SC","TM03","PWRWEC","WAVE",2048,0.00029400750940824
"SC","TM03","PWRWEC","WAVE",2049,0.00029400750940824
"SC","TM03","PWRWEC","WAVE",2050,0.000352809011289888
"SC","TM03","PWRDIE","DSL",2019,0.00171875
"SC","TM03","PWRDIE","DSL",2020,0.00170969606436597
"SC","TM03","PWRDIE","DSL",2021,0.00144850014091595
"SC","TM03","PWRDIE","DSL",2022,0.00171875
"SC","TM03","PWRDIE","DSL",2023,0.00171875
"SC","TM03","PWRDIE","DSL",2024,0.001761807884375
"SC","TM03","PWRDIE","DSL",2025,0.001761807884375
"SC","TM03","PWRDIE","DSL",2026,0.00240625
"SC","TM03","PWRDIE","DSL",2027,0.00237649921524615
"SC","TM03","PWRDIE","DSL",2028,0.00240625
"SC","TM03","PWRDIE","DSL",2029,0.00240625
"SC","TM03","PWRDIE","DSL",2034,0.000687499999999999
"SC","TM03","PWRDIE","DSL",2035,0.000687499999999999
"SC","TM03","PWRDIE","DSL",2036,0.000687499999999999
"SC","TM03","PWRWND","WND",2019,0.000238678042923297
"SC","TM03","PWRWND","WND",2022,1.38131939486722e-05
"SC","TM03","PWRWND","WND",2023,2.44421151769446e-05
"SC","TM03","PWRWND","WND",2024,3.22980149442406e-05
"SC","TM03","PWRWND","WND",2030,0.000517135759667144
"SC","TM03","PWRWND","WND",2031,0.000476253776645052
"SC","TM03","PWRWND","WND",2032,0.000517135759667144
"SC","TM03","PWRWND","WND",2033,0.000397796738205495
"SC","TM03","PWRWND","WND",2034,0.000397796738205495
"SC","TM03","PWRWND","WND",2035,0.000397796738205495
"SC","TM03","PWRWND","WND",2037,0.000397796738205495
"SC","TM03","PWRWND","WND",2038,0.000397796738205495
"SC","TM03","PWRWND","WND",2039,0.000397796738205495
"SC","TM03","PWRWND","WND",2040,0.000397796738205495
"SC","TM03","PWRWND","WND",2041,0.000397796738205495
"SC","TM03","PWRWND","WND",2042,0.000397796738205495
"SC","TM03","PWRWND","WND",2043,0.000397796738205495
"SC","TM03","PWRWND","WND",2044,0.000278457716743847
"SC","TM03","PWRWND","WND",2045,0.000278457716743847
"SC","TM03","PWRSOL","SOL",2025,5.34159427753566e-05
"SC","TM03","PWRSOL","SOL",2030,0.000160372843461714
"SC","TM03","PWRSOL","SOL",2031,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2032,0.000166903661900496
"SC","TM03","PWRSOL","SOL",2033,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2034,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2035,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2036,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2038,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2039,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2040,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2041,0.000203799503860621
"SC","TM03","PWRSOL","SOL",2044,0.00025041030982455
"SC","TM03","PWRSOL","SOL",2045,0.00025041030982455
"SC","TM03","PWRSOL","SOL",2046,0.000468693784514398
"SC","TM03","PWRSOL","SOL",2047,0.000479204740138088
"SC","TM03","PWRSOL","SOL",2048,0.000489715695761779
"SC","TM03","PWRSOL","SOL",2049,0.000511329275342852
"SC","TM03","PWRSOL","SOL",2050,0.000459583542564813
"SC","TM03","BAT","ELC001",2036,0.000510773310972707
"SC","TM03","BAT","ELC001",2037,0.000611275950112856
"SC","TM03","BAT","ELC001",2038,0.000716718032549328
"SC","TM03","BAT","ELC001",2039,0.000720299113251537
"SC","TM03","BAT","ELC001",2040,0.000719967686649948
"SC","TM03","BAT","ELC001",2041,0.000635440084465453
"SC","TM03","BAT","ELC001",2042,0.000537255225359835
"SC","TM03","BAT","ELC001",2043,0.000629213056633789
"SC","TM03","BAT","ELC001",2044,0.000713908750776549
"SC","TM03","BAT","ELC001",2045,0.000570214071945307
"SC","TM03","BAT","ELC001",2048,0.000746525489855115
"SC","TM03","DEMRESELC","ELC001",2019,0.000181716329755082
"SC","TM03","DEMRESELC","ELC001",2020,0.000185730263932938
"SC","TM03","DEMRESELC","ELC001",2021,0.000189859619159606
"SC","TM03","DEMRESELC","ELC001",2022,0.000194108922981276
"SC","TM03","DEMRESELC","ELC001",2023,0.000197140765149736
"SC","TM03","DEMRESELC","ELC001",2024,0.000204873491286488
"SC","TM03","DEMRESELC","ELC001",2025,0.000212802452930184
"SC","TM03","DEMRESELC","ELC001",2026,0.000218423648074614
"SC","TM03","DEMRESELC","ELC001",2027,0.000224060918249378
"SC","TM03","DEMRESELC","ELC001",2028,0.00022971438000517
