REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.00554161648862369
"SC","PWRWEC",2031,0.0113724231413955
"SC","PWRWEC",2032,0.0143528352851722
"SC","PWRWEC",2033,0.0156502932444786
"SC","PWRWEC",2034,0.0767649586382738
"SC","PWRWEC",2035,0.158745
"SC","PWRWEC",2036,0.15561
"SC","PWRWEC",2037,0.15246
"SC","PWRWEC",2038,0.149325
"SC","PWRWEC",2039,0.146175
"SC","PWRWEC",2040,0.28605
"SC","PWRWEC",2041,0.27975
"SC","PWRWEC",2042,0.27342
"SC","PWRWEC",2043,0.26712
"SC","PWRWEC",2044,0.26079
"SC","PWRWEC",2045,0.42415
"SC","PWRWEC",2046,0.41355
"SC","PWRWEC",2047,0.403
"SC","PWRWEC",2048,0.39245
"SC","PWRWEC",2049,0.38185
"SC","PWRWEC",2050,0.4455
"SC","PWRDIE",2019,0.19818619355657
"SC","PWRDIE",2020,0.19818619355657
"SC","PWRDIE",2021,0.19818619355657
"SC","PWRDIE",2022,0.19818619355657
"SC","PWRDIE",2023,0.20461335199499
"SC","PWRDIE",2024,0.209578284769902
"SC","PWRDIE",2025,0.209578284769902
"SC","PWRDIE",2026,0.277460670979198
"SC","PWRDIE",2027,0.277460670979198
"SC","PWRDIE",2028,0.277460670979198
"SC","PWRDIE",2029,0.277460670979198
"SC","PWRDIE",2030,0.277460670979198
"SC","PWRDIE",2031,0.277460670979198
"SC","PWRDIE",2032,0.277460670979198
"SC","PWRDIE",2033,0.277460670979198
"SC","PWRDIE",2034,0.0792744774226281
"SC","PWRDIE",2035,0.0792744774226281
"SC","PWRDIE",2036,0.0792744774226281
"SC","PWRDIE",2037,0.0792744774226281
"SC","PWRDIE",2038,0.0728473189842081
"SC","PWRDIE",2039,0.067882386209296
"SC","PWRDIE",2040,0.067882386209296
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0367020192
"SC","PWRSOL",2038,0.0364898688
"SC","PWRSOL",2039,0.0362777184
"SC","PWRSOL",2040,0.036065568
"SC","PWRSOL",2041,0.0358534176
"SC","PWRSOL",2042,0.0355152672
"SC","PWRSOL",2043,0.0353038668
"SC","PWRSOL",2044,0.0457528337038333
"SC","PWRSOL",2045,0.0454772142236897
"SC","PWRSOL",2046,0.0819108765223311
"SC","PWRSOL",2047,0.0831949093868794
"SC","PWRSOL",2048,0.0844570589455541
"SC","PWRSOL",2049,0.085697325198355
"SC","PWRSOL",2050,0.0765464728159283
"SC","PWRSOLDIST",2019,0.00436361638462286
"SC","PWRSOLDIST",2020,0.00421314685411862
"SC","PWRSOLDIST",2021,0.00406267732361439
"SC","PWRSOLDIST",2022,0.00391220779311015
"SC","PWRSOLDIST",2023,0.00376173826260591
"SC","PWRSOLDIST",2024,0.00361126873210168
"SC","PWRSOLDIST",2025,0.00346079920159744
"SC","PWRSOLDIST",2026,0.0033103296710932
"SC","PWRSOLDIST",2027,0.00315986014058897
"SC","PWRSOLDIST",2028,0.00300939061008473
"SC","PWRSOLDIST",2029,0.00285892107958049
"SC","PWRSOLDIST",2030,0.00270845154907626
"SC","PWRSOLDIST",2031,0.00269340459602583
"SC","PWRSOLDIST",2032,0.00267835764297541
"SC","PWRSOLDIST",2033,0.00266331068992499
"SC","PWRSOLDIST",2034,0.00264826373687456
"SC","PWRSOLDIST",2035,0.00263321678382414
"SC","PWRSOLDIST",2036,0.00261816983077372
"SC","PWRSOLDIST",2037,0.00260312287772329
"SC","PWRSOLDIST",2038,0.00258807592467287
"SC","PWRSOLDIST",2039,0.00257302897162244
"SC","PWRSOLDIST",2040,0.00255798201857202
"SC","PWRSOLDIST",2041,0.0025429350655216
"SC","PWRSOLDIST",2042,0.00252788811247117
"SC","PWRSOLDIST",2043,0.00251284115942075
"SC","PWRSOLDIST",2044,0.00249779420637033
"SC","PWRSOLDIST",2045,0.0024827472533199
"SC","PWRSOLDIST",2046,0.00302378863781187
"SC","PWRSOLDIST",2047,0.00300535090221546
"SC","PWRSOLDIST",2048,0.00298691316661905
"SC","PWRSOLDIST",2049,0.00296847543102263
"SC","PWRSOLDIST",2050,0.00295003769542622
"STC","PWRWEC",2030,0.00992617217414758
"STC","PWRWEC",2031,0.0146216868960799
"STC","PWRWEC",2032,0.0159475947613025
"STC","PWRWEC",2033,0.0782514662223931
"STC","PWRWEC",2034,0.138176925548893
"STC","PWRWEC",2035,0.31749
"STC","PWRWEC",2036,0.31122
"STC","PWRWEC",2037,0.30492
"STC","PWRWEC",2038,0.29865
"STC","PWRWEC",2039,0.29235
"STC","PWRWEC",2040,0.5721
"STC","PWRWEC",2041,0.5595
"STC","PWRWEC",2042,0.54684
"STC","PWRWEC",2043,0.53424
"STC","PWRWEC",2044,0.52158
"STC","PWRWEC",2045,0.76347
"STC","PWRWEC",2046,0.74439
"STC","PWRWEC",2047,0.7254
"STC","PWRWEC",2048,0.70641
"STC","PWRWEC",2049,0.68733
"STC","PWRWEC",2050,0.891
"STC","PWRDIE",2019,0.309994916513446
"STC","PWRDIE",2020,0.309994916513446
"STC","PWRDIE",2021,0.309994916513446
"STC","PWRDIE",2022,0.368527125408101
"STC","PWRDIE",2023,0.368527125408101
"STC","PWRDIE",2024,0.368527125408101
"STC","PWRDIE",2025,0.368527125408101
"STC","PWRDIE",2026,0.447801602830729
"STC","PWRDIE",2027,0.447801602830729
"STC","PWRDIE",2028,0.447801602830729
"STC","PWRDIE",2029,0.447801602830729
"STC","PWRDIE",2030,0.447801602830729
"STC","PWRDIE",2031,0.447801602830729
"STC","PWRDIE",2032,0.447801602830729
"STC","PWRDIE",2033,0.447801602830729
"STC","PWRDIE",2034,0.137806686317284
"STC","PWRDIE",2035,0.137806686317284
"STC","PWRDIE",2036,0.137806686317284
"STC","PWRDIE",2037,0.0792744774226283
"STC","PWRDIE",2038,0.0792744774226283
"STC","PWRDIE",2039,0.0792744774226283
"STC","PWRDIE",2040,0.0792744774226283
"STC","PWRWND",2019,0.0789075
"STC","PWRWND",2020,0.0772425
"STC","PWRWND",2021,0.0756
"STC","PWRWND",2022,0.0739575
"STC","PWRWND",2023,0.0722925
"STC","PWRWND",2024,0.27632
"STC","PWRWND",2025,0.269896
"STC","PWRWND",2026,0.263384
"STC","PWRWND",2027,0.25696
"STC","PWRWND",2028,0.250536
"STC","PWRWND",2029,0.244024
"STC","PWRWND",2030,0.2376
"STC","PWRWND",2031,0.2332
"STC","PWRWND",2032,0.2288
"STC","PWRWND",2033,0.2244
"STC","PWRWND",2034,0.22
"STC","PWRWND",2035,0.2156
"STC","PWRWND",2036,0.2112
"STC","PWRWND",2037,0.2068
"STC","PWRWND",2038,0.2024
"STC","PWRWND",2039,0.198
"STC","PWRWND",2040,0.1441
"STC","PWRWND",2041,0.140825
"STC","PWRWND",2042,0.13755
"STC","PWRWND",2043,0.134275
"STC","PWRWND",2044,0.131
"STC","PWRWND",2045,0.127725
"STC","PWRWND",2046,0.12445
"STC","PWRWND",2047,0.121175
"STC","PWRWND",2048,0.1179
"STC","PWRSOL",2019,0.027794064
"STC","PWRSOL",2020,0.026835648
"STC","PWRSOL",2021,0.025877232
"STC","PWRSOL",2022,0.024918816
"STC","PWRSOL",2023,0.0239604
"STC","PWRSOL",2024,0.102201984
"STC","PWRSOL",2025,0.097943568
"STC","PWRSOL",2026,0.093685152
"STC","PWRSOL",2027,0.089426736
"STC","PWRSOL",2028,0.08516832
"STC","PWRSOL",2029,0.080909904
"STC","PWRSOL",2030,0.109660501521958
"STC","PWRSOL",2031,0.109051276513503
"STC","PWRSOL",2032,0.108442051505048
"STC","PWRSOL",2033,0.107832826496592
"STC","PWRSOL",2034,0.107223601488137
"STC","PWRSOL",2035,0.106614376479682
"STC","PWRSOL",2036,0.106005151471227
"STC","PWRSOL",2037,0.105395926462771
"STC","PWRSOL",2038,0.104786701454316
"STC","PWRSOL",2039,0.104177476445861
"STC","PWRSOL",2040,0.103568251437405
"STC","PWRSOL",2041,0.12376831999329
"STC","PWRSOL",2042,0.125104511424708
"STC","PWRSOL",2043,0.124359841713847
"STC","PWRSOL",2044,0.123615172002985
"STC","PWRSOL",2045,0.122870502292124
"STC","PWRSOL",2046,0.122125832581263
"STC","PWRSOL",2047,0.121381162870401
"STC","PWRSOL",2048,0.10511015395954
"STC","PWRSOL",2049,0.16999104440046
"STC","PWRSOL",2050,0.168935199404184
"STC","PWRSOLDIST",2019,7.69959838506243e-05
"STC","PWRSOLDIST",2020,0.000924
"STC","PWRSOLDIST",2021,0.000891
"STC","PWRSOLDIST",2022,0.001794
"STC","PWRSOLDIST",2023,0.001725
"STC","PWRSOLDIST",2024,0.001656
"STC","PWRSOLDIST",2025,0.001587
"STC","PWRSOLDIST",2026,0.001518
"STC","PWRSOLDIST",2027,0.001449
"STC","PWRSOLDIST",2028,0.00138
"STC","PWRSOLDIST",2029,0.001311
"STC","PWRSOLDIST",2030,0.00189
"STC","PWRSOLDIST",2031,0.0018795
"STC","PWRSOLDIST",2032,0.001869
