REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","IMPDSL",2019,1.3101
"SC","IMPDSL",2020,1.069071417876
"SC","IMPDSL",2021,1.719475706025
"SC","IMPDSL",2022,1.958668340112
"SC","IMPDSL",2023,2.15323579944
"SC","IMPDSL",2024,2.20548395865599
"SC","IMPDSL",2025,1.87704
"SC","IMPDSL",2026,1.87704
"SC","IMPDSL",2027,1.87704
"SC","IMPDSL",2028,1.87704
"SC","IMPDSL",2029,2.089395
"SC","IMPDSL",2030,0.94842
"SC","IMPDSL",2031,0.99594
"SC","IMPDSL",2032,1.02234
"SC","IMPDSL",2033,1.05072
"SC","IMPDSL",2034,1.0758
"SC","IMPDSL",2035,1.10418
"SC","IMPDSL",2036,1.13718
"SC","MINWAVE",2030,3.3497e-09
"SC","MINWAVE",2031,7e-09
"SC","MINWAVE",2032,9.00000000000001e-09
"SC","MINWAVE",2033,1e-08
"SC","MINWAVE",2034,5e-08
"SC","MINWAVE",2035,9e-08
"SC","MINWAVE",2036,9.47317388474157e-08
"SC","MINWAVE",2037,9.33591268074922e-08
"SC","MINWAVE",2038,9.30727066521197e-08
"SC","MINWAVE",2039,9.30747451005347e-08
"SC","MINWAVE",2040,1.33088201458822e-07
"SC","MINWAVE",2041,1.31969509000487e-07
"SC","MINWAVE",2042,1.32664506888464e-07
"SC","MINWAVE",2043,1.32753061245021e-07
"SC","MINWAVE",2044,2.24684152189893e-07
"SC","MINWAVE",2045,2.40235451927933e-07
"SC","MINWAVE",2046,3.80337312170794e-07
"SC","MINWAVE",2047,3.80337312170794e-07
"SC","MINWAVE",2048,3.71944136902212e-07
"SC","MINWAVE",2049,3.79614612147667e-07
"SC","MINWAVE",2050,4.54611164547557e-07
