REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.282432796606612
"SC","PWRWEC",2031,0.300461340091492
"SC","PWRWEC",2032,0.160841543097
"SC","PWRWEC",2033,0.0786403764362678
"SC","PWRWEC",2034,3.07867242882996
"SC","PWRWEC",2035,4.18065564190876
"SC","PWRWEC",2040,7.27764
"SC","PWRWEC",2045,9.12832
"SC","PWRWEC",2050,4.43299
"SC","PWRDIE",2019,11.8911716133942
"SC","PWRDIE",2023,0.385629506305201
"SC","PWRDIE",2024,0.297895966494727
"SC","PWRDIE",2026,4.07294317255776
"SC","PWRWND",2019,5.072952
"SC","PWRWND",2021,11.35456
"SC","PWRSOL",2020,1.68
"SC","PWRSOL",2021,4.0878108
"SC","PWRSOL",2044,1.06603673038333
"SC","PWRSOL",2046,3.67092817787849
"SC","PWRSOL",2047,0.178348942870891
"SC","PWRSOL",2048,0.177254777577207
"SC","PWRSOL",2049,0.176160612283518
"SC","PWRSOL",2050,0.0981429140544477
"SC","PWRSOLDIST",2019,0.654542457693429
"SC","PWRSOLDIST",2046,0.0834132506313592
"SC","PWRSOLDIST",2049,0.363383916167731
"STC","PWRWEC",2030,0.505895089004888
"STC","PWRWEC",2031,0.246934230138475
"STC","PWRWEC",2032,0.0804207715485002
"STC","PWRWEC",2033,3.14561505745068
"STC","PWRWEC",2034,3.07867242882995
"STC","PWRWEC",2035,9.11528215543576
"STC","PWRWEC",2040,14.55528
"STC","PWRWEC",2045,13.69248
"STC","PWRWEC",2050,13.29897
"STC","PWRDIE",2019,18.5996949908067
"STC","PWRDIE",2022,3.51193253367932
"STC","PWRDIE",2026,4.7564686453577
"STC","PWRWND",2024,12.43452
"STC","PWRSOL",2024,7.92
"STC","PWRSOL",2030,3.30090135219585
"STC","PWRSOL",2041,2.08092935643397
"STC","PWRSOL",2042,0.206854835445557
"STC","PWRSOL",2049,6.55297185517817
"STC","PWRSOLDIST",2019,0.0115493975775936
"STC","PWRSOLDIST",2020,0.127448857511289
"STC","PWRSOLDIST",2022,0.1404
"STC","PWRSOLDIST",2030,0.0972
"STC","PWRSOLDIST",2036,0.09396
"STC","PWRSOLDIST",2041,0.811056493422729
"STC","PWRSOLDIST",2043,0.311938958291153
"STC","PWRSOLDIST",2044,0.537366689396376
"STC","PWRSOLDIST",2046,0.0699089349801579
"STC","PWRSOLDIST",2049,0.0796950000000001
"IS","PWRWEC",2030,0.282432796606612
"IS","PWRWEC",2031,0.218149930045334
"IS","PWRWEC",2032,0.2412623146455
"IS","PWRWEC",2033,0.0786403764362676
"IS","PWRWEC",2034,0.384834053603744
"IS","PWRWEC",2035,2.04924769257263
"IS","PWRWEC",2040,1.940704
"IS","PWRWEC",2045,1.825664
"IS","PWRWEC",2050,1.5072166
"IS","PWRDIE",2019,6.072
"IS","PWRDIE",2025,0.0925559999999991
"IS","PWRDIE",2026,0.370248000000001
"IS","PWRSOL",2023,0.0732422899162137
"IS","PWRSOL",2024,1.72679012168044
"IS","PWRSOL",2034,1.66228319851948
"IS","PWRSOL",2049,0.487222912498377
"IS","PWRSOLDIST",2019,0.0101057228803944
"IS","PWRSOLDIST",2020,0.00914275032237778
"IS","PWRSOLDIST",2026,0.03861
"IS","PWRSOLDIST",2031,0.03222
"IS","PWRSOLDIST",2034,0.0715788659235978
"IS","PWRSOLDIST",2037,0.00439058120417936
"IS","PWRSOLDIST",2038,0.0432041557166735
"IS","PWRSOLDIST",2046,0.0907136591343561
"IS","PWRSOLDIST",2049,0.0108674999999999
"FL","PWRWEC",2030,0.27858404
"FL","PWRWEC",2035,0.28091802
"FL","PWRWEC",2040,0.0970352
"FL","PWRDIE",2025,0.00609599999999997
"FL","PWRDIE",2026,0.55236
"FL","PWRSOL",2025,0.180366
"FL","PWRSOLDIST",2019,0.00144367469719921
"FL","PWRSOLDIST",2020,0.0124661071889111
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2040,0.0153
"FL","PWRSOLDIST",2049,0.000801488366376113
"FL","PWRSOLDIST",2050,0.00712348982223492
