REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.00467138625940147
"SC","PWRWEC",2031,0.00594302806155762
"SC","PWRWEC",2032,0.00365512481804925
"SC","PWRWEC",2033,0.00199766812917601
"SC","PWRWEC",2034,0.0857001778197356
"SC","PWRWEC",2035,0.125627030935101
"SC","PWRWEC",2040,0.279738755298471
"SC","PWRWEC",2045,0.398421235231049
"SC","PWRWEC",2050,0.207822365964355
"SC","PWRSOL",2044,0.0475780915506013
"SC","PWRSOL",2046,0.167411252652988
"SC","PWRSOL",2047,0.00820871818135317
"SC","PWRSOL",2048,0.00822628768810111
"SC","PWRSOL",2049,0.0082368812450166
"SC","PWRSOL",2050,0.0046200298550161
"SC","PWRSOLDIST",2046,0.00380402887209952
"SC","PWRSOLDIST",2049,0.0169910295214313
"STC","PWRWEC",2030,0.00836741127754988
"STC","PWRWEC",2031,0.00488427915093906
"STC","PWRWEC",2032,0.00182756240902463
"STC","PWRWEC",2033,0.0799067251670396
"STC","PWRWEC",2034,0.0857001778197356
"STC","PWRWEC",2035,0.273910585182823
"STC","PWRWEC",2040,0.559477510596943
"STC","PWRWEC",2045,0.597631852846573
"STC","PWRWEC",2050,0.623467097893065
"STC","PWRSOL",2024,0.0989554295176361
"STC","PWRSOL",2030,0.0955093585789412
"STC","PWRSOL",2041,0.0890088594691126
"STC","PWRSOL",2042,0.0089883656614931
"STC","PWRSOL",2049,0.30640249414079
"STC","PWRSOLDIST",2022,0.00064126705835447
"STC","PWRSOLDIST",2030,0.00281241656849195
"STC","PWRSOLDIST",2036,0.0035906111666953
"STC","PWRSOLDIST",2041,0.0346918136463253
"STC","PWRSOLDIST",2043,0.0137470650301686
"STC","PWRSOLDIST",2044,0.0239831150425285
"STC","PWRSOLDIST",2046,0.00318816980598848
"STC","PWRSOLDIST",2049,0.00372636222315751
"IS","PWRWEC",2030,0.00467138625940147
"IS","PWRWEC",2031,0.0043149350112446
"IS","PWRWEC",2032,0.00548268722707387
"IS","PWRWEC",2033,0.00199766812917601
"IS","PWRWEC",2034,0.0107125222274669
"IS","PWRWEC",2035,0.0615790740303513
"IS","PWRWEC",2040,0.0745970014129257
"IS","PWRWEC",2045,0.0796842470462098
"IS","PWRWEC",2050,0.0706596044278807
"IS","PWRSOL",2023,0.000638646221080049
"IS","PWRSOL",2024,0.0215751588608205
"IS","PWRSOL",2034,0.0593243675298619
"IS","PWRSOL",2049,0.0227814675373703
"IS","PWRSOLDIST",2026,0.000735349270841449
"IS","PWRSOLDIST",2031,0.000994675305489605
"IS","PWRSOLDIST",2034,0.00255454121969366
"IS","PWRSOLDIST",2037,0.000172583467702902
"IS","PWRSOLDIST",2038,0.00174119938528201
"IS","PWRSOLDIST",2046,0.00413696116419126
"IS","PWRSOLDIST",2049,0.000508140303157836
"FL","PWRWEC",2030,0.00460772853641773
"FL","PWRWEC",2035,0.00844147421160345
"FL","PWRWEC",2040,0.00372985007064629
"FL","PWRSOL",2025,0.0028724998195618
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2040,0.000643010012827941
"FL","PWRSOLDIST",2049,3.74758262220235e-05
"FL","PWRSOLDIST",2050,0.000335334812173709
