REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","MINSOL","SOL",2019,0.0022534563120233
"SC","MINSOL","SOL",2020,0.00248052831746732
"SC","MINSOL","SOL",2021,0.00320347111277007
"SC","MINSOL","SOL",2022,0.00917145417688386
"SC","MINSOL","SOL",2023,0.00279379039800208
"SC","MINSOL","SOL",2024,0.00288150668562117
"SC","MINSOL","SOL",2025,0.0136007089791163
"SC","MINSOL","SOL",2026,0.0150236672124555
"SC","MINSOL","SOL",2027,0.0116867383976731
"SC","MINSOL","SOL",2028,0.0103705335510827
"SC","MINSOL","SOL",2029,0.0198707961767824
"SC","MINSOL","SOL",2030,0.0159347492266281
"SC","MINSOL","SOL",2031,0.0247123401438643
"SC","MINSOL","SOL",2032,0.0214852889382652
"SC","MINSOL","SOL",2033,0.0249814708989876
"SC","MINSOL","SOL",2034,0.0328209228366346
"SC","MINSOL","SOL",2035,0.0209984250551601
"SC","MINSOL","SOL",2036,0.0279987925040133
"SC","MINSOL","SOL",2037,0.0281681802957349
"SC","MINSOL","SOL",2038,0.0270395147462964
"SC","MINSOL","SOL",2039,0.0277336825341888
"SC","MINSOL","SOL",2040,0.0262006906283229
"SC","MINSOL","SOL",2041,0.0271271031952719
"SC","MINSOL","SOL",2042,0.0264682186586516
"SC","MINSOL","SOL",2043,0.0280340589866179
"SC","MINSOL","SOL",2044,0.0359320522066901
"SC","MINSOL","SOL",2045,0.0339787898328357
"SC","MINSOL","SOL",2046,0.0605945597153432
"SC","MINSOL","SOL",2047,0.0618292516264637
"SC","MINSOL","SOL",2048,0.0632937260538397
"SC","MINSOL","SOL",2049,0.0644779412999809
"SC","MINSOL","SOL",2050,0.0573286730533337
"SC","MINWND","WND",2019,0.0177460682339462
"SC","MINWND","WND",2020,0.0235583738642254
"SC","MINWND","WND",2021,0.0174716250235564
"SC","MINWND","WND",2022,0.0219184389230544
"SC","MINWND","WND",2023,0.0244005545386367
"SC","MINWND","WND",2024,0.0236430141633215
"SC","MINWND","WND",2025,0.0248448157784625
"SC","MINWND","WND",2026,0.0280626864124798
"SC","MINWND","WND",2027,0.0341601354896996
"SC","MINWND","WND",2028,0.0327538828689256
"SC","MINWND","WND",2029,0.0317417266833885
"SC","MINWND","WND",2030,0.0616275894589788
"SC","MINWND","WND",2031,0.0480115569825889
"SC","MINWND","WND",2032,0.058905275899602
"SC","MINWND","WND",2033,0.0512367231602644
"SC","MINWND","WND",2034,0.0446841035332848
"SC","MINWND","WND",2035,0.0540342880966107
"SC","MINWND","WND",2036,0.0651498298204513
