REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0986306065723105
"SC","PWRWEC",2031,0.125479767683093
"SC","PWRWEC",2032,0.0771734893846894
"SC","PWRWEC",2033,0.0421783188907285
"SC","PWRWEC",2034,1.80945442152292
"SC","PWRWEC",2035,2.65246108434522
"SC","PWRWEC",2040,5.90634162639475
"SC","PWRWEC",2045,8.41217701127599
"SC","PWRWEC",2050,4.38791503766236
"SC","PWRSOL",2044,1.00455320296934
"SC","PWRSOL",2046,3.534683813175
"SC","PWRSOL",2047,0.173317043046608
"SC","PWRSOL",2048,0.17368800168961
"SC","PWRSOL",2049,0.173911671685263
"SC","PWRSOL",2050,0.0975462789156737
"SC","PWRSOLDIST",2046,0.0803174163383847
"SC","PWRSOLDIST",2049,0.358744803989196
"STC","PWRWEC",2030,0.176667653650734
"STC","PWRWEC",2031,0.103125579554908
"STC","PWRWEC",2032,0.0385867446923448
"STC","PWRWEC",2033,1.68713275562912
"STC","PWRWEC",2034,1.80945442152292
"STC","PWRWEC",2035,5.78328694373902
"STC","PWRWEC",2040,11.8126832527895
"STC","PWRWEC",2045,12.618265516914
"STC","PWRWEC",2050,13.1637451129871
"STC","PWRSOL",2024,2.08932284657584
"STC","PWRSOL",2030,2.01656327412759
"STC","PWRSOL",2041,1.87931318718931
"STC","PWRSOL",2042,0.189778345882359
"STC","PWRSOL",2049,6.46931385550785
"STC","PWRSOLDIST",2022,0.0135395695042453
"STC","PWRSOLDIST",2030,0.0593807355420698
"STC","PWRSOLDIST",2036,0.0758113625529747
"STC","PWRSOLDIST",2041,0.732475208219888
"STC","PWRSOLDIST",2043,0.290252461950823
"STC","PWRSOLDIST",2044,0.506374136666055
"STC","PWRSOLDIST",2046,0.0673143055099148
"STC","PWRSOLDIST",2049,0.0786775800520634
"IS","PWRWEC",2030,0.0986306065723105
"IS","PWRWEC",2031,0.0911045744981241
"IS","PWRWEC",2032,0.115760234077034
"IS","PWRWEC",2033,0.0421783188907284
"IS","PWRWEC",2034,0.226181802690364
"IS","PWRWEC",2035,1.30016682126238
"IS","PWRWEC",2040,1.57502443370527
"IS","PWRWEC",2045,1.6824354022552
"IS","PWRWEC",2050,1.4918911128052
"IS","PWRSOL",2023,0.0134842337311473
"IS","PWRSOL",2024,0.455533087432881
"IS","PWRSOL",2034,1.25256145158475
"IS","PWRSOL",2049,0.481002819515534
"IS","PWRSOLDIST",2026,0.0155260003344042
"IS","PWRSOLDIST",2031,0.0210013523342229
"IS","PWRSOLDIST",2034,0.0539360129994126
"IS","PWRSOLDIST",2037,0.00364388880701784
"IS","PWRSOLDIST",2038,0.0367632950899896
"IS","PWRSOLDIST",2046,0.0873468744249282
"IS","PWRSOLDIST",2049,0.0107287609161903
"FL","PWRWEC",2030,0.0972865516211142
"FL","PWRWEC",2035,0.178231401905447
"FL","PWRWEC",2040,0.0787512216852633
"FL","PWRSOL",2025,0.0606493198912935
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2040,0.0135763698558755
"FL","PWRSOLDIST",2049,0.000791256228199436
"FL","PWRSOLDIST",2050,0.00708018435918045
