REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00520571168574641
"SC","MINSOL",2020,0.00601533890941035
"SC","MINSOL",2021,0.00987430525720357
"SC","MINSOL",2022,0.0481267526434238
"SC","MINSOL",2023,0.00752230533246757
"SC","MINSOL",2024,0.00781030532325157
"SC","MINSOL",2025,0.0748701336438063
"SC","MINSOL",2026,0.0718562029415847
"SC","MINSOL",2027,0.0718068323916816
"SC","MINSOL",2028,0.0517489647623645
"SC","MINSOL",2029,0.0652139042094568
"SC","MINSOL",2030,0.0748701336438063
"SC","MINSOL",2031,0.0768120445273189
"SC","MINSOL",2032,0.0771642699652947
"SC","MINSOL",2033,0.0768120445273189
"SC","MINSOL",2034,0.0771642699652947
"SC","MINSOL",2035,0.0748701336438063
"SC","MINSOL",2036,0.0740391901162638
"SC","MINSOL",2037,0.0771642699652947
"SC","MINSOL",2038,0.0771642699652947
"SC","MINSOL",2039,0.0771642699652947
"SC","MINSOL",2040,0.0771642699652947
"SC","MINSOL",2041,0.0771642699652947
"SC","MINSOL",2042,0.0769095433952139
"SC","MINSOL",2043,0.0769095433952139
"SC","MINSOL",2044,0.098720618086836
"SC","MINSOL",2045,0.098720618086836
"SC","MINSOL",2046,0.175895251521987
"SC","MINSOL",2047,0.179611424486817
"SC","MINSOL",2048,0.183327597451646
"SC","MINSOL",2049,0.187043770416475
"SC","MINSOL",2050,0.168748945466247
"SC","MINWND",2019,0.0379079165645568
"SC","MINWND",2020,0.0462451857126912
"SC","MINWND",2021,0.0300526978180135
"SC","MINWND",2022,0.0703665182143872
"SC","MINWND",2023,0.0613288659680129
"SC","MINWND",2024,0.0619212426812928
"SC","MINWND",2025,0.0619212426812928
"SC","MINWND",2026,0.0965732811232173
"SC","MINWND",2027,0.0913010488767624
"SC","MINWND",2028,0.0909031838132131
"SC","MINWND",2029,0.0965031289451405
"SC","MINWND",2030,0.102246784364275
"SC","MINWND",2031,0.0800446404029269
"SC","MINWND",2032,0.0963092880513982
"SC","MINWND",2033,0.0814145753214287
"SC","MINWND",2034,0.078651372587904
"SC","MINWND",2035,0.078651372587904
"SC","MINWND",2036,0.095508469609344
"SC","MINWND",2037,0.107108274495744
"SC","MINWND",2038,0.107108274495744
"SC","MINWND",2039,0.107108274495744
"SC","MINWND",2040,0.107108274495744
"SC","MINWND",2041,0.107108274495744
"SC","MINWND",2042,0.107108274495744
"SC","MINWND",2043,0.107108274495744
"SC","MINWND",2044,0.0749757921470208
"SC","MINWND",2045,0.0749757921470208
"SC","IMPDSL",2019,0.16499999472
"SC","IMPDSL",2020,0.164878686428164
"SC","IMPDSL",2021,0.164234490842192
"SC","IMPDSL",2022,0.16499999472
"SC","IMPDSL",2023,0.170350928048771
"SC","IMPDSL",2024,0.174484484816496
"SC","IMPDSL",2025,0.174484484816496
"SC","IMPDSL",2026,0.230999992608
"SC","IMPDSL",2027,0.230548925330997
"SC","IMPDSL",2028,0.230999992608
"SC","IMPDSL",2029,0.230706964617477
"SC","IMPDSL",2030,0.199865944570168
"SC","IMPDSL",2031,0.230999992608
"SC","IMPDSL",2032,0.225978614361002
"SC","IMPDSL",2033,0.225531663916663
"SC","IMPDSL",2034,0.065999997888
"SC","IMPDSL",2035,0.065999997888
"SC","IMPDSL",2036,0.065999997888
"SC","MINWAVE",2030,0.000443287387683963
"SC","MINWAVE",2031,0.000926355110543553
"SC","MINWAVE",2032,0.00119102799927028
"SC","MINWAVE",2033,0.00132336444363365
"SC","MINWAVE",2034,0.00661682221816824
"SC","MINWAVE",2035,0.0122210552982857
"SC","MINWAVE",2036,0.0124713202176
"SC","MINWAVE",2037,0.011475036288
"SC","MINWAVE",2038,0.0114897168397242
"SC","MINWAVE",2039,0.0114912221554286
"SC","MINWAVE",2040,0.020714853504
"SC","MINWAVE",2041,0.0202446805799642
"SC","MINWAVE",2042,0.02039094944256
"SC","MINWAVE",2043,0.0204617929255385
"SC","MINWAVE",2044,0.02790936
"SC","MINWAVE",2045,0.040450205130773
"SC","MINWAVE",2046,0.0465156
