REGION,TECHNOLOGY,VALUE
"SC","MINSOL",0.830475083757002
"SC","MINWND",1.27315265938675
"SC","IMPDSL",2.15280947309999
"SC","MINWAVE",0.35058274380572
"SC","PWRWEC",0.331078653198616
"SC","PWRDIE",0.652366506999999
"SC","PWRWND",0.847233891629951
"SC","PWRSOL",0.655664105953288
"SC","BAT",1.04477630403767
"SC","DEMRESELC",0.889354961668065
"SC","DEMCOMELC",1.64492393893477
"SC","PWRSOLDIST",0.0479357332181427
"SC","IMPLPG",0.001157
"SC","CONLPG",0.001157
"STC","MINSOL",2.51437138207406
"STC","MINWND",1.53422463470169
"STC","IMPDSL",4.46788190305944
"STC","MINWAVE",0.692294253580819
"STC","PWRWEC",0.632043590883493
"STC","PWRDIE",1.35390360698768
"STC","PWRWND",1.12506292993534
"STC","PWRSOL",1.78317994606306
"STC","BAT",2.19947821727213
"STC","DEMRESELC",2.0329385047115
"STC","DEMCOMELC",2.98272095860363
"STC","PWRDIST",5.53472467555707
"STC","PWRSOLDIST",0.0980659671304197
"STC","IMPLPG",0.002498
"STC","CONLPG",0.002498
"IS","MINSOL",0.753534370237403
"IS","IMPDSL",0.710548886708263
"IS","MINWAVE",0.106590369818647
"IS","PWRWEC",0.100595197510283
"IS","PWRDIE",0.21531784445705
"IS","PWRSOL",0.502348829662419
"IS","BAT",0.488119459806507
"IS","DEMRESELC",0.299506584970417
"IS","DEMCOMELC",0.538738287343542
"IS","PWRDIST",0.872602608865069
"IS","PWRSOLDIST",0.0164439443702509
"IS","IMPLPG",0.000387999999999999
"IS","CONLPG",0.000387999999999999
"FL","MINSOL",0.0242489562296032
"FL","IMPDSL",0.0186506447876533
"FL","MINWAVE",0.00531096725155385
"FL","PWRWEC",0.00502262000000002
"FL","PWRDIE",0.00565171054171312
"FL","PWRSOL",0.0161686934551464
"FL","BAT",0.000392359754267834
"FL","DEMCOMELC",0.000793188937948792
"FL","PWRDIST",0.00167106669922919
"FL","PWRSOLDIST",0.00277604400314051
"FL","IMPLPG",1.927e-05
"FL","CONLPG",1.927e-05
