REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0054661
"SC","PWRWEC",2031,0.00536787
"SC","PWRWEC",2032,0.00526917
"SC","PWRWEC",2033,0.00517094
"SC","PWRWEC",2034,0.00507271
"SC","PWRWEC",2035,0.158745
"SC","PWRWEC",2036,0.15561
"SC","PWRWEC",2037,0.15246
"SC","PWRWEC",2038,0.149325
"SC","PWRWEC",2039,0.146175
"SC","PWRWEC",2040,0.28605
"SC","PWRWEC",2041,0.27975
"SC","PWRWEC",2042,0.27342
"SC","PWRWEC",2043,0.26712
"SC","PWRWEC",2044,0.26079
"SC","PWRWEC",2045,0.42415
"SC","PWRWEC",2046,0.41355
"SC","PWRWEC",2047,0.403
"SC","PWRWEC",2048,0.39245
"SC","PWRWEC",2049,0.38185
"SC","PWRWEC",2050,0.4455
"SC","PWRDIE",2019,0.19818619355657
"SC","PWRDIE",2020,0.19818619355657
"SC","PWRDIE",2021,0.19818619355657
"SC","PWRDIE",2022,0.19818619355657
"SC","PWRDIE",2023,0.19818619355657
"SC","PWRDIE",2024,0.203159014141986
"SC","PWRDIE",2025,0.203159014141986
"SC","PWRDIE",2026,0.203159014141986
"SC","PWRDIE",2027,0.203159014141986
"SC","PWRDIE",2028,0.203159014141986
"SC","PWRDIE",2029,0.203159014141986
"SC","PWRDIE",2030,0.203159014141986
"SC","PWRDIE",2031,0.203159014141986
"SC","PWRDIE",2032,0.203159014141986
"SC","PWRDIE",2033,0.203159014141986
"SC","PWRDIE",2034,0.0792744774226281
"SC","PWRDIE",2035,0.0792744774226281
"SC","PWRDIE",2036,0.0792744774226281
"SC","PWRDIE",2037,0.0792744774226281
"SC","PWRDIE",2038,0.0792744774226281
"SC","PWRDIE",2039,0.0743016568372121
"SC","PWRDIE",2040,0.0743016568372121
"SC","PWRDIE",2041,0.0743016568372121
"SC","PWRDIE",2042,0.0743016568372121
"SC","PWRDIE",2043,0.0743016568372121
"SC","PWRDIE",2044,0.0743016568372121
"SC","PWRDIE",2045,0.0743016568372121
"SC","PWRDIE",2046,0.0743016568372121
"SC","PWRDIE",2047,0.0743016568372121
"SC","PWRDIE",2048,0.0743016568372121
"SC","PWRWND",2019,0.168336
"SC","PWRWND",2020,0.164784
"SC","PWRWND",2021,0.34944
"SC","PWRWND",2022,0.341848
"SC","PWRWND",2023,0.334152
"SC","PWRWND",2024,0.32656
"SC","PWRWND",2025,0.318968
"SC","PWRWND",2026,0.311272
"SC","PWRWND",2027,0.30368
"SC","PWRWND",2028,0.296088
"SC","PWRWND",2029,0.288392
"SC","PWRWND",2030,0.2808
"SC","PWRWND",2031,0.2756
"SC","PWRWND",2032,0.2704
"SC","PWRWND",2033,0.204
"SC","PWRWND",2034,0.2
"SC","PWRWND",2035,0.196
"SC","PWRWND",2036,0.192
"SC","PWRWND",2037,0.188
"SC","PWRWND",2038,0.184
"SC","PWRWND",2039,0.18
"SC","PWRWND",2040,0.176
"SC","PWRWND",2041,0.172
"SC","PWRWND",2042,0.168
"SC","PWRWND",2043,0.164
"SC","PWRWND",2044,0.112
"SC","PWRWND",2045,0.1092
"SC","PWRSOL",2019,0.0002175
"SC","PWRSOL",2020,0.01701
"SC","PWRSOL",2021,0.057280608
"SC","PWRSOL",2022,0.055159104
"SC","PWRSOL",2023,0.0530376
"SC","PWRSOL",2024,0.050916096
"SC","PWRSOL",2025,0.048794592
"SC","PWRSOL",2026,0.046673088
"SC","PWRSOL",2027,0.044551584
"SC","PWRSOL",2028,0.04243008
"SC","PWRSOL",2029,0.040308576
"SC","PWRSOL",2030,0.038187072
"SC","PWRSOL",2031,0.0379749216
"SC","PWRSOL",2032,0.0377627712
"SC","PWRSOL",2033,0.0375506208
"SC","PWRSOL",2034,0.0373384704
"SC","PWRSOL",2035,0.03712632
"SC","PWRSOL",2036,0.0369141696
"SC","PWRSOL",2037,0.0402414860025801
"SC","PWRSOL",2038,0.0414550846308498
"SC","PWRSOL",2039,0.0426570706662032
"SC","PWRSOL",2040,0.0424076141125997
"SC","PWRSOL",2041,0.0421581575589961
"SC","PWRSOL",2042,0.0417827010053926
"SC","PWRSOL",2043,0.0415339944517891
"SC","PWRSOL",2044,0.056736173770874
"SC","PWRSOL",2045,0.0563943895915314
"SC","PWRSOL",2046,0.093925562010349
"SC","PWRSOL",2047,0.0954382746892998
"SC","PWRSOL",2048,0.0969253992759748
"SC","PWRSOL",2049,0.102024607975952
"SC","PWRSOL",2050,0.0939613787176782
"SC","PWRSOLDIST",2019,0.00655232881750009
"SC","PWRSOLDIST",2020,0.00788852469915293
"SC","PWRSOLDIST",2021,0.0194003096648847
"SC","PWRSOLDIST",2022,0.0186817796772963
"SC","PWRSOLDIST",2023,0.017963249689708
"SC","PWRSOLDIST",2024,0.0172447197021197
"SC","PWRSOLDIST",2025,0.0165261897145314
"SC","PWRSOLDIST",2026,0.0158076597269431
"SC","PWRSOLDIST",2027,0.0150891297393547
"SC","PWRSOLDIST",2028,0.0143705997517664
"SC","PWRSOLDIST",2029,0.0136520697641781
"SC","PWRSOLDIST",2030,0.0129335397765898
"SC","PWRSOLDIST",2031,0.0128616867778309
"SC","PWRSOLDIST",2032,0.0127898337790721
"SC","PWRSOLDIST",2033,0.0127179807803133
"SC","PWRSOLDIST",2034,0.0126461277815544
"SC","PWRSOLDIST",2035,0.0125742747827956
"SC","PWRSOLDIST",2036,0.0125024217840368
"SC","PWRSOLDIST",2037,0.012430568785278
"SC","PWRSOLDIST",2038,0.0123587157865191
"SC","PWRSOLDIST",2039,0.0122868627877603
"SC","PWRSOLDIST",2040,0.0122150097890015
"SC","PWRSOLDIST",2041,0.0121431567902426
"SC","PWRSOLDIST",2042,0.0120713037914838
"SC","PWRSOLDIST",2043,0.011999450792725
"SC","PWRSOLDIST",2044,0.0119275977939661
"SC","PWRSOLDIST",2045,0.0118557447952073
"SC","PWRSOLDIST",2046,0.0117838917964485
"SC","PWRSOLDIST",2047,0.0117120387976896
"SC","PWRSOLDIST",2048,0.0116401857989308
"SC","PWRSOLDIST",2049,0.00793066059459433
"SC","PWRSOLDIST",2050,0.00698875140189717
"STC","PWRWEC",2030,0.0054661
"STC","PWRWEC",2031,0.00536787
"STC","PWRWEC",2032,0.00526917
"STC","PWRWEC",2033,0.00517094
"STC","PWRWEC",2034,0.00507271
"STC","PWRWEC",2035,0.31749
"STC","PWRWEC",2036,0.31122
"STC","PWRWEC",2037,0.30492
"STC","PWRWEC",2038,0.29865
"STC","PWRWEC",2039,0.29235
"STC","PWRWEC",2040,0.5721
"STC","PWRWEC",2041,0.5595
"STC","PWRWEC",2042,0.54684
"STC","PWRWEC",2043,0.53424
"STC","PWRWEC",2044,0.52158
"STC","PWRWEC",2045,0.76347
"STC","PWRWEC",2046,0.74439
"STC","PWRWEC",2047,0.7254
"STC","PWRWEC",2048,0.70641
"STC","PWRWEC",2049,0.68733
"STC","PWRWEC",2050,0.891
"STC","PWRDIE",2019,0.309994916513445
"STC","PWRDIE",2020,0.309994916513445
"STC","PWRDIE",2021,0.309994916513445
"STC","PWRDIE",2022,0.35843275638847
"STC","PWRDIE",2023,0.35843275638847
"STC","PWRDIE",2024,0.35843275638847
"STC","PWRDIE",2025,0.35843275638847
"STC","PWRDIE",2026,0.35843275638847
"STC","PWRDIE",2027,0.35843275638847
"STC","PWRDIE",2028,0.35843275638847
"STC","PWRDIE",2029,0.35843275638847
"STC","PWRDIE",2030,0.35843275638847
"STC","PWRDIE",2031,0.35843275638847
"STC","PWRDIE",2032,0.35843275638847
"STC","PWRDIE",2033,0.35843275638847
"STC","PWRDIE",2034,0.0951293729071537
"STC","PWRDIE",2035,0.0951293729071537
"STC","PWRDIE",2036,0.0951293729071537
"STC","PWRDIE",2037,0.0792744774226283
"STC","PWRDIE",2038,0.0792744774226283
"STC","PWRDIE",2039,0.0792744774226283
"STC","PWRDIE",2040,0.0792744774226283
"STC","PWRDIE",2041,0.0792744774226283
"STC","PWRDIE",2042,0.0792744774226283
"STC","PWRDIE",2043,0.0792744774226283
"STC","PWRDIE",2044,0.0792744774226283
"STC","PWRDIE",2045,0.0792744774226283
"STC","PWRDIE",2046,0.0792744774226283
"STC","PWRDIE",2047,0.0792744774226283
"STC","PWRDIE",2048,0.0792744774226283
"STC","PWRDIE",2049,0.0325829443904996
"STC","PWRDIE",2050,0.0325829443904996
"STC","PWRWND",2019,0.0789075
"STC","PWRWND",2020,0.0772425
"STC","PWRWND",2021,0.0756
"STC","PWRWND",2022,0.0739575
"STC","PWRWND",2023,0.0722925
"STC","PWRWND",2024,0.27632
"STC","PWRWND",2025,0.269896
"STC","PWRWND",2026,0.263384
"STC","PWRWND",2027,0.25696
"STC","PWRWND",2028,0.250536
"STC","PWRWND",2029,0.244024
"STC","PWRWND",2030,0.2376
"STC","PWRWND",2031,0.2332
"STC","PWRWND",2032,0.2288
"STC","PWRWND",2033,0.2244
"STC","PWRWND",2034,0.22
"STC","PWRWND",2035,0.2156
"STC","PWRWND",2036,0.2112
"STC","PWRWND",2037,0.2068
"STC","PWRWND",2038,0.2024
"STC","PWRWND",2039,0.198
"STC","PWRWND",2040,0.1441
"STC","PWRWND",2041,0.140825
"STC","PWRWND",2042,0.13755
"STC","PWRWND",2043,0.134275
"STC","PWRWND",2044,0.131
"STC","PWRWND",2045,0.127725
"STC","PWRWND",2046,0.12445
"STC","PWRWND",2047,0.121175
"STC","PWRWND",2048,0.1179
"STC","PWRSOL",2019,0.027794064
"STC","PWRSOL",2020,0.026835648
"STC","PWRSOL",2021,0.025877232
"STC","PWRSOL",2022,0.024918816
"STC","PWRSOL",2023,0.0239604
"STC","PWRSOL",2024,0.102201984
"STC","PWRSOL",2025,0.097943568
"STC","PWRSOL",2026,0.093685152
"STC","PWRSOL",2027,0.089426736
"STC","PWRSOL",2028,0.08516832
"STC","PWRSOL",2029,0.080909904
"STC","PWRSOL",2030,0.127805949226834
"STC","PWRSOL",2031,0.130634716818939
"STC","PWRSOL",2032,0.133292720935179
"STC","PWRSOL",2033,0.135900837133333
"STC","PWRSOL",2034,0.1383081216
"STC","PWRSOL",2035,0.13752228
"STC","PWRSOL",2036,0.1367364384
"STC","PWRSOL",2037,0.1359505968
"STC","PWRSOL",2038,0.1351647552
"STC","PWRSOL",2039,0.1343789136
"STC","PWRSOL",2040,0.133593072
"STC","PWRSOL",2041,0.157421180438999
"STC","PWRSOL",2042,0.159307465825657
"STC","PWRSOL",2043,0.161183116053871
"STC","PWRSOL",2044,0.16453992342465
"STC","PWRSOL",2045,0.16354871906667
"STC","PWRSOL",2046,0.16255751470869
"STC","PWRSOL",2047,0.16156631035071
"STC","PWRSOL",2048,0.145956661986049
"STC","PWRSOL",2049,0.216432684021238
"STC","PWRSOL",2050,0.215088381636013
"STC","PWRSOLDIST",2019,0.00501565206161285
"STC","PWRSOLDIST",2020,0.00484269854224689
"STC","PWRSOLDIST",2021,0.00578425691092951
"STC","PWRSOLDIST",2022,0.0251477617703061
"STC","PWRSOLDIST",2023,0.0241805401637559
"STC","PWRSOLDIST",2024,0.0232133185572056
"STC","PWRSOLDIST",2025,0.0222460969506554
"STC","PWRSOLDIST",2026,0.0212788753441052
"STC","PWRSOLDIST",2027,0.0203116537375549
"STC","PWRSOLDIST",2028,0.0193444321310047
"STC","PWRSOLDIST",2029,0.0183772105244545
"STC","PWRSOLDIST",2030,0.0174099889179042
"STC","PWRSOLDIST",2031,0.0173132667572492
"STC","PWRSOLDIST",2032,0.0172165445965942
"STC","PWRSOLDIST",2033,0.0171198224359392
"STC","PWRSOLDIST",2034,0.0170231002752841
"STC","PWRSOLDIST",2035,0.0169263781146291
"STC","PWRSOLDIST",2036,0.0168296559539741
"STC","PWRSOLDIST",2037,0.0167329337933191
"STC","PWRSOLDIST",2038,0.016636211632664
"STC","PWRSOLDIST",2039,0.016539489472009
"STC","PWRSOLDIST",2040,0.016442767311354
"STC","PWRSOLDIST",2041,0.016346045150699
"STC","PWRSOLDIST",2042,0.016249322990044
"STC","PWRSOLDIST",2043,0.0161526008293889
"STC","PWRSOLDIST",2044,0.0160558786687339
"STC","PWRSOLDIST",2045,0.0159591565080789
"STC","PWRSOLDIST",2046,0.0158624343474239
"STC","PWRSOLDIST",2047,0.0157657121867688
"STC","PWRSOLDIST",2048,0.0156689900261138
"STC","PWRSOLDIST",2049,0.0133581394396018
"STC","PWRSOLDIST",2050,0.013275169629418
"IS","PWRWEC",2030,0.0054661
"IS","PWRWEC",2031,0.00536787
"IS","PWRWEC",2032,0.00526917
"IS","PWRWEC",2033,0.00517094
"IS","PWRWEC",2034,0.0477689320618795
"IS","PWRWEC",2035,0.063498
"IS","PWRWEC",2036,0.062244
"IS","PWRWEC",2037,0.060984
"IS","PWRWEC",2038,0.05973
"IS","PWRWEC",2039,0.05847
"IS","PWRWEC",2040,0.09535
"IS","PWRWEC",2041,0.09325
"IS","PWRWEC",2042,0.09114
"IS","PWRWEC",2043,0.08904
"IS","PWRWEC",2044,0.08693
"IS","PWRWEC",2045,0.118762
"IS","PWRWEC",2046,0.115794
"IS","PWRWEC",2047,0.11284
"IS","PWRWEC",2048,0.109886
"IS","PWRWEC",2049,0.106918
"IS","PWRWEC",2050,0.129195
"IS","PWRDIE",2019,0.1337
"IS","PWRDIE",2020,0.1337
"IS","PWRDIE",2021,0.1337
"IS","PWRDIE",2022,0.1337
"IS","PWRDIE",2023,0.1337
"IS","PWRDIE",2024,0.1337
"IS","PWRDIE",2025,0.1352426
"IS","PWRDIE",2026,0.1367854
"IS","PWRDIE",2027,0.138328
"IS","PWRDIE",2028,0.1398708
"IS","PWRDIE",2029,0.1414134
"IS","PWRDIE",2030,0.1414134
"IS","PWRDIE",2031,0.1414134
"IS","PWRDIE",2032,0.1414134
"IS","PWRDIE",2033,0.1414134
"IS","PWRDIE",2034,0.00771340000000001
"IS","PWRDIE",2035,0.00771340000000001
"IS","PWRDIE",2036,0.00771340000000001
"IS","PWRDIE",2037,0.00771340000000001
"IS","PWRDIE",2038,0.00771340000000001
"IS","PWRDIE",2039,0.00771340000000001
"IS","PWRDIE",2040,0.00617080000000002
"IS","PWRDIE",2041,0.00462800000000001
"IS","PWRDIE",2042,0.00308540000000002
"IS","PWRDIE",2043,0.00154260000000001
"IS","PWRSOL",2019,0.016705044
"IS","PWRSOL",2020,0.016129008
"IS","PWRSOL",2021,0.015552972
"IS","PWRSOL",2022,0.014976936
"IS","PWRSOL",2023,0.0151333228991621
"IS","PWRSOL",2024,0.0317958912
"IS","PWRSOL",2025,0.0304710624
"IS","PWRSOL",2026,0.0291462336
"IS","PWRSOL",2027,0.0278214048
"IS","PWRSOL",2028,0.026496576
"IS","PWRSOL",2029,0.0251717472
"IS","PWRSOL",2030,0.0238469184
"IS","PWRSOL",2031,0.02371443552
"IS","PWRSOL",2032,0.02358195264
"IS","PWRSOL",2033,0.02344946976
"IS","PWRSOL",2034,0.0425077688089881
"IS","PWRSOL",2035,0.0422662473953007
"IS","PWRSOL",2036,0.0420247259816133
"IS","PWRSOL",2037,0.0417832045679259
"IS","PWRSOL",2038,0.0415416831542384
"IS","PWRSOL",2039,0.041300161740551
"IS","PWRSOL",2040,0.0410586403268636
"IS","PWRSOL",2041,0.0408171189131761
"IS","PWRSOL",2042,0.0405755974994887
"IS","PWRSOL",2043,0.0403340760858013
"IS","PWRSOL",2044,0.0400925546721138
"IS","PWRSOL",2045,0.0398510332584264
"IS","PWRSOL",2046,0.039609511844739
"IS","PWRSOL",2047,0.0393679904310515
"IS","PWRSOL",2048,0.0391264690173641
"IS","PWRSOL",2049,0.034880790608445
"IS","PWRSOL",2050,0.0346641397351006
"IS","PWRSOLDIST",2019,0.00191967830611074
"IS","PWRSOLDIST",2020,0.00185348250245175
"IS","PWRSOLDIST",2021,0.00178728669879276
"IS","PWRSOLDIST",2022,0.00172109089513377
"IS","PWRSOLDIST",2023,0.00165489509147477
"IS","PWRSOLDIST",2024,0.00158869928781578
"IS","PWRSOLDIST",2025,0.00152250348415679
"IS","PWRSOLDIST",2026,0.0014563076804978
"IS","PWRSOLDIST",2027,0.00139011187683881
"IS","PWRSOLDIST",2028,0.00132391607317982
"IS","PWRSOLDIST",2029,0.00125772026952083
"IS","PWRSOLDIST",2030,0.00119152446586184
"IS","PWRSOLDIST",2031,0.00118490488549594
"IS","PWRSOLDIST",2032,0.00117828530513004
"IS","PWRSOLDIST",2033,0.00117166572476414
"IS","PWRSOLDIST",2034,0.00129801658598754
"IS","PWRSOLDIST",2035,0.00129064149174897
"IS","PWRSOLDIST",2036,0.0012832663975104
"IS","PWRSOLDIST",2037,0.00127589130327184
"IS","PWRSOLDIST",2038,0.00126851620903327
"IS","PWRSOLDIST",2039,0.00126114111479471
"IS","PWRSOLDIST",2040,0.00125376602055614
"IS","PWRSOLDIST",2041,0.00124639092631758
"IS","PWRSOLDIST",2042,0.00123901583207901
"IS","PWRSOLDIST",2043,0.00123164073784045
"IS","PWRSOLDIST",2044,0.00122426564360188
"IS","PWRSOLDIST",2045,0.00121689054936331
"IS","PWRSOLDIST",2046,0.00181427318268712
"IS","PWRSOLDIST",2047,0.00180321054132928
"IS","PWRSOLDIST",2048,0.00179214789997143
"IS","PWRSOLDIST",2049,0.00178108525861358
"IS","PWRSOLDIST",2050,0.00177002261725573
"FL","PWRWEC",2030,0.0054661
"FL","PWRWEC",2031,0.00536787
"FL","PWRWEC",2032,0.00526917
"FL","PWRWEC",2033,0.00517094
"FL","PWRWEC",2034,0.00507271
"FL","PWRWEC",2035,0.010583
"FL","PWRWEC",2036,0.010374
"FL","PWRWEC",2037,0.010164
"FL","PWRWEC",2038,0.009955
"FL","PWRWEC",2039,0.009745
"FL","PWRWEC",2040,0.011442
"FL","PWRWEC",2041,0.01119
"FL","PWRWEC",2042,0.0109368
"FL","PWRWEC",2043,0.0106848
"FL","PWRWEC",2044,0.0104316
"FL","PWRWEC",2045,0.0101796
"FL","PWRWEC",2046,0.0099252
"FL","PWRWEC",2047,0.009672
"FL","PWRWEC",2048,0.0094188
"FL","PWRWEC",2049,0.0091644
"FL","PWRWEC",2050,0.00891
"FL","PWRDIE",2019,0.0088
"FL","PWRDIE",2020,0.0088
"FL","PWRDIE",2021,0.0088
"FL","PWRDIE",2022,0.0088
"FL","PWRDIE",2023,0.0088
"FL","PWRDIE",2024,0.0088
"FL","PWRDIE",2025,0.0089016
"FL","PWRDIE",2026,0.009003
"FL","PWRDIE",2027,0.0091046
"FL","PWRDIE",2028,0.0092062
"FL","PWRDIE",2029,0.0093076
"FL","PWRDIE",2030,0.0093076
"FL","PWRDIE",2031,0.0093076
"FL","PWRDIE",2032,0.0093076
"FL","PWRDIE",2033,0.0093076
"FL","PWRDIE",2034,0.0093076
"FL","PWRDIE",2035,0.0093076
"FL","PWRDIE",2036,0.0093076
"FL","PWRDIE",2037,0.0093076
"FL","PWRDIE",2038,0.0093076
"FL","PWRDIE",2039,0.0093076
"FL","PWRDIE",2040,0.009206
"FL","PWRDIE",2041,0.000304599999999997
"FL","PWRDIE",2042,0.000202999999999999
"FL","PWRDIE",2043,0.000101399999999999
"FL","PWRSOL",2019,0.0004611
"FL","PWRSOL",2020,0.0004452
"FL","PWRSOL",2021,0.0004293
"FL","PWRSOL",2022,0.0004134
"FL","PWRSOL",2023,0.0003975
"FL","PWRSOL",2024,0.0003816
"FL","PWRSOL",2025,0.00216936
"FL","PWRSOL",2026,0.00207504
"FL","PWRSOL",2027,0.00198072
"FL","PWRSOL",2028,0.0018864
"FL","PWRSOL",2029,0.00179208
"FL","PWRSOL",2030,0.00169776
"FL","PWRSOL",2031,0.001688328
"FL","PWRSOL",2032,0.001678896
"FL","PWRSOL",2033,0.001669464
"FL","PWRSOL",2034,0.001660032
"FL","PWRSOL",2035,0.00137235
"FL","PWRSOL",2036,0.001364508
"FL","PWRSOL",2037,0.001356666
"FL","PWRSOL",2038,0.001348824
"FL","PWRSOL",2039,0.001340982
"FL","PWRSOL",2040,0.00133314
"FL","PWRSOL",2041,0.001325298
"FL","PWRSOL",2042,0.001317456
"FL","PWRSOL",2043,0.001309614
"FL","PWRSOL",2044,0.001301772
"FL","PWRSOL",2045,0.00129393
"FL","PWRSOL",2046,0.001286088
"FL","PWRSOL",2047,0.001278246
"FL","PWRSOL",2048,0.001270404
