REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0
"SC","MINSOL",2020,0
"SC","MINSOL",2021,0
"SC","MINSOL",2022,0
"SC","MINSOL",2023,0
"SC","MINSOL",2024,0
"SC","MINSOL",2025,0
"SC","MINSOL",2026,0
"SC","MINSOL",2027,0
"SC","MINSOL",2028,0
"SC","MINSOL",2029,0
"SC","MINSOL",2030,0
"SC","MINSOL",2031,0
"SC","MINSOL",2032,0
"SC","MINSOL",2033,0
"SC","MINSOL",2034,0
"SC","MINSOL",2035,0
"SC","MINSOL",2036,0
"SC","MINSOL",2037,0
"SC","MINSOL",2038,0
"SC","MINSOL",2039,0
"SC","MINSOL",2040,0
"SC","MINSOL",2041,0
"SC","MINSOL",2042,0
"SC","MINSOL",2043,0
"SC","MINSOL",2044,0
"SC","MINSOL",2045,0
"SC","MINSOL",2046,0
"SC","MINSOL",2047,0
"SC","MINSOL",2048,0
"SC","MINSOL",2049,0
"SC","MINSOL",2050,0
"SC","MINWND",2019,0
"SC","MINWND",2020,0
"SC","MINWND",2021,0
"SC","MINWND",2022,0
"SC","MINWND",2023,0
"SC","MINWND",2024,0
"SC","MINWND",2025,0
"SC","MINWND",2026,0
"SC","MINWND",2027,0
"SC","MINWND",2028,0
"SC","MINWND",2029,0
"SC","MINWND",2030,0
"SC","MINWND",2031,0
"SC","MINWND",2032,0
"SC","MINWND",2033,0
"SC","MINWND",2034,0
"SC","MINWND",2035,0
"SC","MINWND",2036,0
"SC","MINWND",2037,0
"SC","MINWND",2038,0
"SC","MINWND",2039,0
"SC","MINWND",2040,0
"SC","MINWND",2041,0
"SC","MINWND",2042,0
"SC","MINWND",2043,0
"SC","MINWND",2044,0
"SC","MINWND",2045,0
"SC","IMPDSL",2019,4.91535
"SC","IMPDSL",2020,3.28284
"SC","IMPDSL",2021,4.18968
"SC","IMPDSL",2022,4.51401111562501
"SC","IMPDSL",2023,5.0622
"SC","IMPDSL",2024,5.49705402675002
"SC","IMPDSL",2025,4.93613999999999
"SC","IMPDSL",2026,5.05197
"SC","IMPDSL",2027,5.19453
"SC","IMPDSL",2028,5.36679
"SC","IMPDSL",2029,5.528655
"SC","IMPDSL",2030,2.51064
"SC","IMPDSL",2031,2.6367
"SC","IMPDSL",2032,2.70666
"SC","IMPDSL",2033,2.7819
"SC","IMPDSL",2034,2.84855999999999
"SC","IMPDSL",2035,2.92379999999999
"SC","IMPDSL",2036,3.01092
"SC","MINWAVE",2030,2e-09
"SC","MINWAVE",2031,2e-09
"SC","MINWAVE",2032,2e-09
"SC","MINWAVE",2033,2e-09
"SC","MINWAVE",2034,2e-09
"SC","MINWAVE",2035,9e-08
"SC","MINWAVE",2036,9.6162749933208e-08
"SC","MINWAVE",2037,1.13894238644616e-07
"SC","MINWAVE",2038,1.12770768608665e-07
"SC","MINWAVE",2039,1.13189606122067e-07
"SC","MINWAVE",2040,1.32877038662747e-07
"SC","MINWAVE",2041,1.32989080022923e-07
"SC","MINWAVE",2042,1.35859873585373e-07
"SC","MINWAVE",2043,1.5510304926306e-07
"SC","MINWAVE",2044,2.36726962575263e-07
"SC","MINWAVE",2045,2.34888721076216e-07
"SC","MINWAVE",2046,3.78004962096158e-07
"SC","MINWAVE",2047,3.85330512330576e-07
"SC","MINWAVE",2048,3.75245562007858e-07
"SC","MINWAVE",2049,3.8050156217605e-07
"SC","MINWAVE",2050,4.54453484542511e-07
"SC","PWRWEC",2030,0.00128
