REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.27858404
"SC","PWRWEC",2035,7.70139402
"SC","PWRWEC",2040,7.27764
"SC","PWRWEC",2045,9.12832
"SC","PWRWEC",2050,4.43299
"SC","PWRDIE",2019,11.8911716133942
"SC","PWRDIE",2024,0.29836923512496
"SC","PWRDIE",2034,4.45809941023273
"SC","PWRWND",2019,5.072952
"SC","PWRWND",2021,11.35456
"SC","PWRSOL",2020,1.68
"SC","PWRSOL",2021,4.0878108
"SC","PWRSOL",2037,0.353946680258007
"SC","PWRSOL",2038,0.144620837394938
"SC","PWRSOL",2039,0.144300396925369
"SC","PWRSOL",2044,1.54508858726884
"SC","PWRSOL",2046,3.78729565981603
"SC","PWRSOL",2047,0.208542952047731
"SC","PWRSOL",2048,0.207263547433937
"SC","PWRSOL",2049,0.569751363377908
"SC","PWRSOL",2050,0.217046395896855
"SC","PWRSOLDIST",2019,0.982849322625014
"SC","PWRSOLDIST",2020,0.234320738200512
"SC","PWRSOLDIST",2021,1.76902769860522
"STC","PWRWEC",2030,0.27858404
"STC","PWRWEC",2035,15.65190402
"STC","PWRWEC",2040,14.55528
"STC","PWRWEC",2045,13.69248
"STC","PWRWEC",2050,13.29897
"STC","PWRDIE",2019,18.5996949908067
"STC","PWRDIE",2022,2.9062703925015
"STC","PWRDIE",2034,2.80149198192772
"STC","PWRDIE",2037,1.95497666342998
"STC","PWRWND",2024,12.43452
"STC","PWRSOL",2024,7.92
"STC","PWRSOL",2030,5.1154461226834
"STC","PWRSOL",2031,0.353880064336477
"STC","PWRSOL",2032,0.338780700349756
"STC","PWRSOL",2033,0.335695170902494
"STC","PWRSOL",2034,0.317508580640369
"STC","PWRSOL",2041,2.46139500389991
"STC","PWRSOL",2042,0.281777166144482
"STC","PWRSOL",2043,0.282390895336703
"STC","PWRSOL",2044,0.432197573038257
"STC","PWRSOL",2048,0.0907895193318674
"STC","PWRSOL",2049,7.13769890844853
"STC","PWRSOLDIST",2019,0.752347809241928
"STC","PWRSOLDIST",2021,0.167176783207286
"STC","PWRSOLDIST",2022,2.93666048952277
"STC","PWRSOLDIST",2049,0.0855634853902527
"IS","PWRWEC",2030,0.27858404
"IS","PWRWEC",2034,2.14042455061605
"IS","PWRWEC",2035,0.834317023581373
"IS","PWRWEC",2040,1.940704
"IS","PWRWEC",2045,1.825664
"IS","PWRWEC",2050,1.5072166
"IS","PWRDIE",2019,6.072
"IS","PWRDIE",2025,0.0925559999999991
"IS","PWRDIE",2026,0.0925680000000009
"IS","PWRDIE",2027,0.0925559999999991
"IS","PWRDIE",2028,0.0925680000000009
"IS","PWRDIE",2029,0.0925560000000004
"IS","PWRSOL",2023,0.0732422899162133
"IS","PWRSOL",2024,1.72679012168044
"IS","PWRSOL",2034,1.91907819289882
"IS","PWRSOL",2049,0.527002260476833
"IS","PWRSOLDIST",2019,0.287951745916611
"IS","PWRSOLDIST",2034,0.0199455662383941
"IS","PWRSOLDIST",2046,0.0907136591343562
"IS","PWRSOLDIST",2049,0.159862865836463
"FL","PWRWEC",2030,0.27858404
"FL","PWRWEC",2035,0.28091802
"FL","PWRWEC",2040,0.0970352
"FL","PWRDIE",2025,0.00609599999999997
"FL","PWRDIE",2026,0.534084
"FL","PWRDIE",2027,0.00609599999999992
"FL","PWRDIE",2028,0.00609599999999997
"FL","PWRDIE",2029,0.00608399999999996
"FL","PWRSOL",2025,0.180366
"FL","PWRSOLDIST",2019,0.00752274823465585
"FL","PWRSOLDIST",2020,0.00659665687688401
"FL","PWRSOLDIST",2030,0.0162
"FL","PWRSOLDIST",2040,0.0153
"FL","PWRSOLDIST",2049,0.0041764222957917
"FL","PWRSOLDIST",2050,0.00376951821536229
