REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.00460772853641773
"SC","PWRWEC",2035,0.2314238118766
"SC","PWRWEC",2040,0.279738755298471
"SC","PWRWEC",2045,0.398421235231049
"SC","PWRWEC",2050,0.207822365964355
"SC","PWRSOL",2037,0.0139128153244747
"SC","PWRSOL",2038,0.00582846045696143
"SC","PWRSOL",2039,0.00594594200211705
"SC","PWRSOL",2044,0.068958567902658
"SC","PWRSOL",2046,0.172718146434411
"SC","PWRSOL",2047,0.00959843268208501
"SC","PWRSOL",2048,0.00961897666033462
"SC","PWRSOL",2049,0.0266403156670295
"SC","PWRSOL",2050,0.0102173533222256
"STC","PWRWEC",2030,0.00460772853641773
"STC","PWRWEC",2035,0.470333459374811
"STC","PWRWEC",2040,0.559477510596943
"STC","PWRWEC",2045,0.597631852846573
"STC","PWRWEC",2050,0.623467097893065
"STC","PWRDIE",2037,0.0110668011510708
"STC","PWRSOL",2024,0.0989554295176361
"STC","PWRSOL",2030,0.148011990027394
"STC","PWRSOL",2031,0.0109247598106942
"STC","PWRSOL",2032,0.0110551949225672
"STC","PWRSOL",2033,0.0114919066377602
"STC","PWRSOL",2034,0.0113313999374898
"STC","PWRSOL",2041,0.105282748461747
"STC","PWRSOL",2042,0.0122439303819538
"STC","PWRSOL",2043,0.0124448899341961
"STC","PWRSOL",2044,0.0192893313259176
"STC","PWRSOL",2048,0.00421348702301154
"STC","PWRSOL",2049,0.333743039998935
"STC","PWRSOLDIST",2022,0.0134129888426073
"STC","PWRSOLDIST",2049,0.00400075964163281
"IS","PWRWEC",2030,0.00460772853641773
"IS","PWRWEC",2034,0.059582423540668
"IS","PWRWEC",2035,0.0250708930629082
"IS","PWRWEC",2040,0.0745970014129257
"IS","PWRWEC",2045,0.0796842470462098
"IS","PWRWEC",2050,0.0706596044278807
"IS","PWRSOL",2023,0.000638646221080045
"IS","PWRSOL",2024,0.0215751588608205
"IS","PWRSOL",2034,0.0684889916083324
"IS","PWRSOL",2049,0.0246414620109101
"IS","PWRSOLDIST",2034,0.000711827023922022
"IS","PWRSOLDIST",2046,0.00413696116419126
"IS","PWRSOLDIST",2049,0.00747483460867925
"FL","PWRWEC",2030,0.00460772853641773
"FL","PWRWEC",2035,0.00844147421160345
"FL","PWRWEC",2040,0.00372985007064629
"FL","PWRSOL",2025,0.0028724998195618
"FL","PWRSOLDIST",2030,0.000468736094748659
"FL","PWRSOLDIST",2040,0.000643010012827942
"FL","PWRSOLDIST",2049,0.000195280284471936
"FL","PWRSOLDIST",2050,0.000177448233138249
