REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"SC","MINSOL","SOL",2019,0.00311451304492869
"SC","MINSOL","SOL",2020,0.00394743631816645
"SC","MINSOL","SOL",2021,0.00881252771520769
"SC","MINSOL","SOL",2022,0.0170524654336042
"SC","MINSOL","SOL",2023,0.0102951535816105
"SC","MINSOL","SOL",2024,0.0107509975475575
"SC","MINSOL","SOL",2025,0.0153507816948471
"SC","MINSOL","SOL",2026,0.0173119499920072
"SC","MINSOL","SOL",2027,0.0170125120560265
"SC","MINSOL","SOL",2028,0.0180290114093408
"SC","MINSOL","SOL",2029,0.0247472966457189
"SC","MINSOL","SOL",2030,0.0303664684625234
"SC","MINSOL","SOL",2031,0.0251091617063844
"SC","MINSOL","SOL",2032,0.0290958341763766
"SC","MINSOL","SOL",2033,0.0373375044929199
"SC","MINSOL","SOL",2034,0.0408232369878737
"SC","MINSOL","SOL",2035,0.0289666332758724
"SC","MINSOL","SOL",2036,0.0323899502372279
"SC","MINSOL","SOL",2037,0.0369019907447477
"SC","MINSOL","SOL",2038,0.0380024139023717
"SC","MINSOL","SOL",2039,0.0397443733951249
"SC","MINSOL","SOL",2040,0.0368500785469702
"SC","MINSOL","SOL",2041,0.0391776134547657
"SC","MINSOL","SOL",2042,0.0388754974944959
"SC","MINSOL","SOL",2043,0.0424895476392189
"SC","MINSOL","SOL",2044,0.0520309101882952
"SC","MINSOL","SOL",2045,0.0509732188863543
"SC","MINSOL","SOL",2046,0.0813656943869793
"SC","MINSOL","SOL",2047,0.0829737537302974
"SC","MINSOL","SOL",2048,0.0845605004673315
"SC","MINSOL","SOL",2049,0.0863751745269209
"SC","MINSOL","SOL",2050,0.0763893761353775
"SC","MINWND","WND",2019,0.0120107173821221
"SC","MINWND","WND",2020,0.0169454246489519
"SC","MINWND","WND",2021,0.0132903002425545
"SC","MINWND","WND",2022,0.0186011951074627
"SC","MINWND","WND",2023,0.0274596632142525
"SC","MINWND","WND",2024,0.0233881957022797
"SC","MINWND","WND",2025,0.0344792777780782
"SC","MINWND","WND",2026,0.022725973957978
"SC","MINWND","WND",2027,0.0234507932149074
"SC","MINWND","WND",2028,0.0306702519210406
"SC","MINWND","WND",2029,0.0304161331790473
"SC","MINWND","WND",2030,0.0492516976047398
"SC","MINWND","WND",2031,0.0499883011156355
"SC","MINWND","WND",2032,0.051469101514633
"SC","MINWND","WND",2033,0.051855482658077
"SC","MINWND","WND",2034,0.0470478264432387
"SC","MINWND","WND",2035,0.0450810745816166
"SC","MINWND","WND",2036,0.0440369831661002
