REGION,TECHNOLOGY,YEAR,VALUE
"SC","PWRWEC",2030,0.0972865516211142
"SC","PWRWEC",2035,4.88623069752102
"SC","PWRWEC",2040,5.90634162639475
"SC","PWRWEC",2045,8.41217701127598
"SC","PWRWEC",2050,4.38791503766236
"SC","PWRSOL",2037,0.293752076660279
"SC","PWRSOL",2038,0.123060812857399
"SC","PWRSOL",2039,0.125541291973514
"SC","PWRSOL",2044,1.45597580737596
"SC","PWRSOL",2046,3.64673238368728
"SC","PWRSOL",2047,0.202659164754839
"SC","PWRSOL",2048,0.203092925725063
"SC","PWRSOL",2049,0.562477677419381
"SC","PWRSOL",2050,0.215726916973859
"STC","PWRWEC",2030,0.0972865516211142
"STC","PWRWEC",2035,9.93051565710913
"STC","PWRWEC",2040,11.8126832527895
"STC","PWRWEC",2045,12.618265516914
"STC","PWRWEC",2050,13.1637451129871
"STC","PWRDIE",2037,0.23366196878892
"STC","PWRSOL",2024,2.08932284657584
"STC","PWRSOL",2030,3.12509211307376
"STC","PWRSOL",2031,0.230662939639597
"STC","PWRSOL",2032,0.23341691747144
"STC","PWRSOL",2033,0.242637551128104
"STC","PWRSOL",2034,0.239248648492463
"STC","PWRSOL",2041,2.22291644615844
"STC","PWRSOL",2042,0.258515612570211
"STC","PWRSOL",2043,0.262758627691102
"STC","PWRSOL",2044,0.40727063518256
"STC","PWRSOL",2048,0.0889626243233059
"STC","PWRSOL",2049,7.0465760368528
"STC","PWRSOLDIST",2022,0.283198851910715
"STC","PWRSOLDIST",2049,0.084471145885252
"IS","PWRWEC",2030,0.0972865516211142
"IS","PWRWEC",2034,1.25800998858471
"IS","PWRWEC",2035,0.529341238936854
"IS","PWRWEC",2040,1.57502443370527
"IS","PWRWEC",2045,1.6824354022552
"IS","PWRWEC",2050,1.4918911128052
"IS","PWRSOL",2023,0.0134842337311472
"IS","PWRSOL",2024,0.455533087432881
"IS","PWRSOL",2034,1.44606127833266
"IS","PWRSOL",2049,0.520274327577443
"IS","PWRSOLDIST",2034,0.0150293568643983
"IS","PWRSOLDIST",2046,0.0873468744249283
"IS","PWRSOLDIST",2049,0.157821989136089
"FL","PWRWEC",2030,0.0972865516211142
"FL","PWRWEC",2035,0.178231401905447
"FL","PWRWEC",2040,0.0787512216852633
"FL","PWRSOL",2025,0.0606493198912935
"FL","PWRSOLDIST",2030,0.00989678925701163
"FL","PWRSOLDIST",2040,0.0135763698558755
"FL","PWRSOLDIST",2049,0.0041231043291094
"FL","PWRSOLDIST",2050,0.00374660237833827
