REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00767380342861326
"SC","MINSOL",2020,0.0118959021203796
"SC","MINSOL",2021,0.0246760221005031
"SC","MINSOL",2022,0.0471027391985697
"SC","MINSOL",2023,0.0244038238984764
"SC","MINSOL",2024,0.0247695718527912
"SC","MINSOL",2025,0.0497337155968293
"SC","MINSOL",2026,0.0604688943570568
"SC","MINSOL",2027,0.0639261435735176
"SC","MINSOL",2028,0.0598377716908055
"SC","MINSOL",2029,0.0709943177593872
"SC","MINSOL",2030,0.0964576155428361
"SC","MINSOL",2031,0.0762381753343635
"SC","MINSOL",2032,0.0964576155428361
"SC","MINSOL",2033,0.0964576155428361
"SC","MINSOL",2034,0.0964576155428361
"SC","MINSOL",2035,0.0960173233467724
"SC","MINSOL",2036,0.0964576155428361
"SC","MINSOL",2037,0.10340633414427
"SC","MINSOL",2038,0.106262052738985
"SC","MINSOL",2039,0.109128106943281
"SC","MINSOL",2040,0.108629978790435
"SC","MINSOL",2041,0.109128106943281
"SC","MINSOL",2042,0.108873380373201
"SC","MINSOL",2043,0.108873380373201
"SC","MINSOL",2044,0.140485839514243
"SC","MINSOL",2045,0.140485839514243
"SC","MINSOL",2046,0.218918752791222
"SC","MINSOL",2047,0.223264064111438
"SC","MINSOL",2048,0.227609375431654
"SC","MINSOL",2049,0.23195468675187
"SC","MINSOL",2050,0.214289003288082
"SC","MINWND",2019,0.0371043375561216
"SC","MINWND",2020,0.047862374902272
"SC","MINWND",2021,0.0343194888337223
"SC","MINWND",2022,0.060859155034504
"SC","MINWND",2023,0.0619212426812928
"SC","MINWND",2024,0.0619212426812928
"SC","MINWND",2025,0.0575491564748997
"SC","MINWND",2026,0.0851844717176292
"SC","MINWND",2027,0.0619212426812928
"SC","MINWND",2028,0.050504953861017
"SC","MINWND",2029,0.0503747848484148
"SC","MINWND",2030,0.102246784364275
"SC","MINWND",2031,0.0964152021254749
"SC","MINWND",2032,0.102246784364275
"SC","MINWND",2033,0.098263923825024
"SC","MINWND",2034,0.0877019375132593
"SC","MINWND",2035,0.0859301079814838
"SC","MINWND",2036,0.102213692781696
"SC","MINWND",2037,0.107108274495744
"SC","MINWND",2038,0.107108274495744
"SC","MINWND",2039,0.107108274495744
"SC","MINWND",2040,0.107108274495744
"SC","MINWND",2041,0.107108274495744
"SC","MINWND",2042,0.107108274495744
"SC","MINWND",2043,0.107108274495744
"SC","MINWND",2044,0.0749757921470208
"SC","MINWND",2045,0.0749757921470208
"SC","IMPDSL",2019,0.164999994720001
"SC","IMPDSL",2020,0.16499999472
"SC","IMPDSL",2021,0.163114204902058
"SC","IMPDSL",2022,0.16499999472
"SC","IMPDSL",2023,0.16499999472
"SC","IMPDSL",2024,0.169140118487516
"SC","IMPDSL",2025,0.169140118487516
"SC","IMPDSL",2026,0.168901818236876
"SC","IMPDSL",2027,0.169140118487516
"SC","IMPDSL",2028,0.169140118487516
"SC","IMPDSL",2029,0.169140118487516
"SC","IMPDSL",2030,0.169140118487516
"SC","IMPDSL",2031,0.169140118487516
"SC","IMPDSL",2032,0.169140118487516
"SC","IMPDSL",2033,0.168410883974308
"SC","IMPDSL",2034,0.065999997888
"SC","IMPDSL",2035,0.065999997888
"SC","IMPDSL",2036,0.065999997888
"SC","MINWAVE",2030,0.000323719645635063
"SC","MINWAVE",2031,0.000285814620930613
"SC","MINWAVE",2032,0.000309766850057144
"SC","MINWAVE",2033,0.000379736572294738
"SC","MINWAVE",2034,0.000321851548061539
"SC","MINWAVE",2035,0.012346905239975
"SC","MINWAVE",2036,0.0127211165568
"SC","MINWAVE",2037,0.01395468
"SC","MINWAVE",2038,0.01395468
"SC","MINWAVE",2039,0.01395468
"SC","MINWAVE",2040,0.0197507804829649
"SC","MINWAVE",2041,0.0208923407301819
"SC","MINWAVE",2042,0.0197084889581014
"SC","MINWAVE",2043,0.0258539641702491
"SC","MINWAVE",2044,0.02790936
"SC","MINWAVE",2045,0.0331934761160583
"SC","MINWAVE",2046,0.0465156
"SC","MINWAVE",2047,0.0465156
"SC","MINWAVE",2048,0.0465156
"SC","MINWAVE",2049,0.0465156
"SC","MINWAVE",2050,0.05581872
"SC","PWRWEC",2030,4.7e-05
"SC","PWRWEC",2031,4.7e-05
"SC","PWRWEC",2032,4.7e-05
"SC","PWRWEC",2033,4.7e-05
"SC","PWRWEC",2034,4.7e-05
"SC","PWRWEC",2035,0.0015
"SC","PWRWEC",2036,0.0015
"SC","PWRWEC",2037,0.0015
"SC","PWRWEC",2038,0.0015
"SC","PWRWEC",2039,0.0015
"SC","PWRWEC",2040,0.003
"SC","PWRWEC",2041,0.003
"SC","PWRWEC",2042,0.003
"SC","PWRWEC",2043,0.003
"SC","PWRWEC",2044,0.003
"SC","PWRWEC",2045,0.005
"SC","PWRWEC",2046,0.005
"SC","PWRWEC",2047,0.005
"SC","PWRWEC",2048,0.005
"SC","PWRWEC",2049,0.005
"SC","PWRWEC",2050,0.006
"SC","PWRDIE",2019,0.00990930967782851
"SC","PWRDIE",2020,0.00990930967782851
"SC","PWRDIE",2021,0.00990930967782851
"SC","PWRDIE",2022,0.00990930967782851
"SC","PWRDIE",2023,0.00990930967782851
"SC","PWRDIE",2024,0.0101579507070993
"SC","PWRDIE",2025,0.0101579507070993
"SC","PWRDIE",2026,0.0101579507070993
"SC","PWRDIE",2027,0.0101579507070993
"SC","PWRDIE",2028,0.0101579507070993
