REGION,TECHNOLOGY,YEAR,VALUE
"SC","MINSOL",2019,0.00311451304492869
"SC","MINSOL",2020,0.00394743631816645
"SC","MINSOL",2021,0.00881252771520769
"SC","MINSOL",2022,0.0170524654336042
"SC","MINSOL",2023,0.0102951535816105
"SC","MINSOL",2024,0.0107509975475575
"SC","MINSOL",2025,0.0153507816948471
"SC","MINSOL",2026,0.0173119499920072
"SC","MINSOL",2027,0.0170125120560265
"SC","MINSOL",2028,0.0180290114093408
"SC","MINSOL",2029,0.0247472966457189
"SC","MINSOL",2030,0.0303664684625234
"SC","MINSOL",2031,0.0251091617063844
"SC","MINSOL",2032,0.0290958341763766
"SC","MINSOL",2033,0.0373375044929199
"SC","MINSOL",2034,0.0408232369878737
"SC","MINSOL",2035,0.0289666332758724
"SC","MINSOL",2036,0.0323899502372279
"SC","MINSOL",2037,0.0369019907447477
"SC","MINSOL",2038,0.0380024139023717
"SC","MINSOL",2039,0.0397443733951249
"SC","MINSOL",2040,0.0368500785469702
"SC","MINSOL",2041,0.0391776134547657
"SC","MINSOL",2042,0.0388754974944959
"SC","MINSOL",2043,0.0424895476392189
"SC","MINSOL",2044,0.0520309101882952
"SC","MINSOL",2045,0.0509732188863543
"SC","MINSOL",2046,0.0813656943869793
"SC","MINSOL",2047,0.0829737537302974
"SC","MINSOL",2048,0.0845605004673315
"SC","MINSOL",2049,0.0863751745269209
"SC","MINSOL",2050,0.0763893761353775
"SC","MINWND",2019,0.0120107173821221
"SC","MINWND",2020,0.0169454246489519
"SC","MINWND",2021,0.0132903002425545
"SC","MINWND",2022,0.0186011951074627
"SC","MINWND",2023,0.0274596632142525
"SC","MINWND",2024,0.0233881957022797
"SC","MINWND",2025,0.0344792777780782
"SC","MINWND",2026,0.022725973957978
"SC","MINWND",2027,0.0234507932149074
"SC","MINWND",2028,0.0306702519210406
"SC","MINWND",2029,0.0304161331790473
"SC","MINWND",2030,0.0492516976047398
"SC","MINWND",2031,0.0499883011156355
"SC","MINWND",2032,0.051469101514633
"SC","MINWND",2033,0.051855482658077
"SC","MINWND",2034,0.0470478264432387
"SC","MINWND",2035,0.0450810745816166
"SC","MINWND",2036,0.0440369831661002
"SC","MINWND",2037,0.0592515994008632
"SC","MINWND",2038,0.0595229908303557
"SC","MINWND",2039,0.0591842150110149
"SC","MINWND",2040,0.0609408000818856
"SC","MINWND",2041,0.0657798858440643
"SC","MINWND",2042,0.0591181217286999
"SC","MINWND",2043,0.0608710288241009
"SC","MINWND",2044,0.0406970923628769
"SC","MINWND",2045,0.0414057924613817
"SC","IMPDSL",2019,0.165
"SC","IMPDSL",2020,0.132
"SC","IMPDSL",2021,0.132
"SC","IMPDSL",2022,0.1444483557
"SC","IMPDSL",2023,0.165
"SC","IMPDSL",2024,0.1691401239
"SC","IMPDSL",2025,0.1485
"SC","IMPDSL",2026,0.1485
"SC","IMPDSL",2027,0.1485
"SC","IMPDSL",2028,0.1485
"SC","IMPDSL",2029,0.1485
"SC","IMPDSL",2030,0.066
"SC","IMPDSL",2031,0.066
"SC","IMPDSL",2032,0.066
"SC","IMPDSL",2033,0.0659999999999999
"SC","IMPDSL",2034,0.0659999999999999
"SC","IMPDSL",2035,0.0660000000000001
"SC","IMPDSL",2036,0.0659999999999999
"SC","MINWAVE",2030,0.0002
"SC","MINWAVE",2031,0.0002
"SC","MINWAVE",2032,0.0002
"SC","MINWAVE",2033,0.0002
"SC","MINWAVE",2034,0.0002
"SC","MINWAVE",2035,0.009
"SC","MINWAVE",2036,0.0096162749933208
"SC","MINWAVE",2037,0.0113894238644616
"SC","MINWAVE",2038,0.0112770768608665
"SC","MINWAVE",2039,0.0113189606122067
"SC","MINWAVE",2040,0.0132877038662747
"SC","MINWAVE",2041,0.0132989080022923
"SC","MINWAVE",2042,0.0135859873585373
"SC","MINWAVE",2043,0.015510304926306
"SC","MINWAVE",2044,0.0236726962575263
"SC","MINWAVE",2045,0.0234888721076216
"SC","MINWAVE",2046,0.0378004962096159
"SC","MINWAVE",2047,0.0385330512330576
"SC","MINWAVE",2048,0.0375245562007858
"SC","MINWAVE",2049,0.038050156217605
"SC","MINWAVE",2050,0.0454453484542511
"SC","PWRWEC",2030,0.0002
"SC","PWRWEC",2031,0.0002
"SC","PWRWEC",2032,0.0002
"SC","PWRWEC",2033,0.0002
"SC","PWRWEC",2034,0.0002
"SC","PWRWEC",2035,0.009
"SC","PWRWEC",2036,0.009
"SC","PWRWEC",2037,0.0105448503374352
"SC","PWRWEC",2038,0.0105448503374352
"SC","PWRWEC",2039,0.0105448503374352
"SC","PWRWEC",2040,0.013
"SC","PWRWEC",2041,0.013
"SC","PWRWEC",2042,0.0133141782300768
"SC","PWRWEC",2043,0.0142265252300768
"SC","PWRWEC",2044,0.0210897006748704
"SC","PWRWEC",2045,0.0224775116748703
"SC","PWRWEC",2046,0.035149501124784
"SC","PWRWEC",2047,0.035149501124784
"SC","PWRWEC",2048,0.035149501124784
"SC","PWRWEC",2049,0.035149501124784
"SC","PWRWEC",2050,0.0421794013497408
"SC","PWRDIE",2019,0.0500000000000001
"SC","PWRDIE",2020,0.0399999999999999
"SC","PWRDIE",2021,0.04
"SC","PWRDIE",2022,0.043772229
"SC","PWRDIE",2023,0.0499999999999999
"SC","PWRDIE",2024,0.0512545830000001
"SC","PWRDIE",2025,0.045
"SC","PWRDIE",2026,0.0449999999999999
"SC","PWRDIE",2027,0.0450000000000001
"SC","PWRDIE",2028,0.045
"SC","PWRDIE",2029,0.045
"SC","PWRDIE",2030,0.02
"SC","PWRDIE",2031,0.02
"SC","PWRDIE",2032,0.02
"SC","PWRDIE",2033,0.02
"SC","PWRDIE",2034,0.02
"SC","PWRDIE",2035,0.02
"SC","PWRDIE",2036,0.02
"SC","PWRWND",2019,0.008249
"SC","PWRWND",2020,0.007759
"SC","PWRWND",2021,0.005322
"SC","PWRWND",2022,0.009749
"SC","PWRWND",2023,0.0102396245051395
"SC","PWRWND",2024,0.011796
"SC","PWRWND",2025,0.015417529752106
