REGION,TECHNOLOGY,VALUE
"SC","MINSOL",1.15722357827744
"SC","MINWND",1.09893991997796
"SC","IMPDSL",2.11208847960001
"SC","MINWAVE",0.353799817164729
"SC","PWRWEC",0.330519872671075
"SC","PWRDIE",0.640026812000007
"SC","PWRWND",0.889228531676856
"SC","PWRSOL",0.771005759804253
"SC","TXE",0.077762426259036
"SC","ELECNERA",0.234509857242983
"SC","BAT",0.565615499111765
"SC","DEMRESELC",0.889354961668065
"SC","DEMCOMELC",1.64492393893477
"SC","PWRSOLDIST",0.210968714847814
"STC","MINSOL",3.36362226514933
"STC","MINWND",1.59881378218655
"STC","IMPDSL",4.44793243841696
"STC","MINWAVE",0.68548486992077
"STC","PWRWEC",0.619561685350786
"STC","PWRDIE",1.34785831467179
"STC","PWRWND",1.14165247180395
"STC","PWRSOL",2.25635294896595
"STC","TXE",0.125389087017911
"STC","ELECNERA",0.543486836182453
"STC","BAT",1.95830760848948
"STC","DEMRESELC",2.01872340616818
"STC","DEMCOMELC",2.98268863998269
"STC","PWRDIST",5.53400063720275
"STC","PWRSOLDIST",0.28726661120751
"IS","MINSOL",0.806995151983977
"IS","IMPDSL",0.6936558387
"IS","MINWAVE",0.108002044891674
"IS","PWRWEC",0.0984687257096722
"IS","PWRDIE",0.210198739
"IS","PWRSOL",0.535007128599989
"IS","TXE",0.00904774251881175
"IS","ELECNERA",0.0244865373125826
"IS","BAT",0.480733017240449
"IS","DEMRESELC",0.297620456493848
"IS","DEMCOMELC",0.538552014815369
"IS","PWRDIST",0.847041889558073
"IS","PWRSOLDIST",0.0233027446903361
"FL","MINSOL",0.0240860560275596
"FL","IMPDSL",0.0186006200876533
"FL","MINWAVE",0.00535925129572336
"FL","PWRWEC",0.00503000000000001
"FL","PWRDIE",0.00563655154171312
"FL","PWRSOL",0.016268873762914
"FL","BAT",0.00040173754236211
"FL","DEMCOMELC",0.000793055517068371
"FL","PWRDIST",0.00157484131389997
"FL","PWRSOLDIST",0.00268364269537294
